method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm,task3,0.1T_to_1.5T,3,0.7059945359706244,0.8177274474914226,0.23508324563856273,0.07917033541724389,0.003248323083162323,0.00947904804094632
mmfm,task3,0.1T_to_3T,3,0.5313230247995371,0.7971470984361894,0.23953636965878322,0.011916929777885596,0.012923993912229093,0.011341772467185022
mmfm,task3,0.1T_to_5T,3,1.9646271531596124,0.7699043339515844,0.2470000888087737,0.10008282955032893,0.0030461004746296988,0.010563801986286881
mmfm,task3,0.1T_to_7T,3,2.6131045663105343,0.7684191513489917,0.22204176330667566,1.5035970572811725,0.016917554618726995,0.006885890757699868
mmfm,task3,1.5T_to_0.1T,3,0.49189076314586017,0.837292785224787,0.1900569767682754,0.016134580236078586,0.010481116032802126,0.01231649582622054
mmfm,task3,1.5T_to_3T,3,0.5341834741190833,0.8262201561810016,0.2036234840518393,0.06117365009385647,0.016863874187392696,0.007058829131073552
mmfm,task3,1.5T_to_5T,3,1.9637205613241087,0.7709514046554696,0.21362261142129566,0.20220190717387607,0.015888668273560287,0.010530046441184715
mmfm,task3,1.5T_to_7T,3,2.482736225570759,0.7734780722561437,0.19010688038653575,1.083855932666182,0.023775522409432773,0.0028397944504710343
mmfm,task3,3T_to_0.1T,3,0.5224503126906447,0.8248709488897118,0.20234436856143564,0.011499939914496845,0.0020302959255287293,0.012463641527882938
mmfm,task3,3T_to_1.5T,3,0.7046953711667361,0.8195595350372425,0.2139158390582303,0.0522651410262045,0.0033389140159174,0.006792128488108132
mmfm,task3,3T_to_5T,3,1.8420317524584693,0.7694643878887338,0.2164528056692436,0.03404336643367229,0.007474123942005451,0.004041722229238902
mmfm,task3,3T_to_7T,3,2.493584371133048,0.7743065618907875,0.189118432156798,1.3347119677639872,0.02160241077844946,0.005632206777383263
mmfm,task3,5T_to_0.1T,3,0.5378706753276025,0.8115394882282994,0.20869395355660758,0.006270398395427759,0.0063294874758422276,0.013364986162560101
mmfm,task3,5T_to_1.5T,3,0.7165553016272764,0.8094967788302955,0.2111353916068803,0.06904762432098237,0.008885991651948538,0.008297948915980317
mmfm,task3,5T_to_3T,3,0.5620042416308814,0.7967985526669575,0.20675923189097314,0.010242182515825284,0.00500424222609535,0.007908043266747112
mmfm,task3,5T_to_7T,3,2.3122321059039734,0.7707544675627543,0.18281263923178512,1.3140409394704209,0.021329551753917115,0.005461992582896112
mmfm,task3,7T_to_0.1T,3,0.5802766157828918,0.810300006844153,0.2107095413314328,0.014163167405349345,0.004645491985250845,0.015012410394511528
mmfm,task3,7T_to_1.5T,3,0.7955224211225699,0.8027496055211941,0.22684317118708217,0.054953354164638056,0.00607313902701365,0.013764573406621813
mmfm,task3,7T_to_3T,3,0.600862550170152,0.7934643454229158,0.23206341852986812,0.04451269845999968,0.0079368946321696,0.011019780012879293
mmfm,task3,7T_to_5T,3,2.3296695399634113,0.7526482267838892,0.23791339978055345,0.07720137184119388,0.007551214237570134,0.012567245825037241
