method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_unet,task3,0.1T_to_1.5T,3,0.25254752828333893,0.9174935511115218,0.11606643438244672,0.05547912842741852,0.004162503821922162,0.0077687571463299744
mmfm_unet,task3,0.1T_to_3T,3,0.2768848222279276,0.8787203962873079,0.14411632831405166,0.06559822168094735,0.014214294350511978,0.007063705050690997
mmfm_unet,task3,0.1T_to_5T,3,0.40965248970675044,0.9080717058941948,0.15032667466521643,0.06344045854033525,0.0034236514485243585,0.011297697275919031
mmfm_unet,task3,0.1T_to_7T,3,0.6657372874008437,0.8781707632985666,0.1448965054870767,0.32905783931565785,0.0035922311443802152,0.006852938618493688
mmfm_unet,task3,1.5T_to_0.1T,3,0.22130724366057,0.924494386656444,0.0825927347214696,0.05674727969653278,0.009405651819460216,0.0028825797523976847
mmfm_unet,task3,1.5T_to_3T,3,0.22929220735678432,0.9058966742700405,0.10514231880704343,0.0954786892289402,0.00591988101289451,0.003638730404161447
mmfm_unet,task3,1.5T_to_5T,3,0.6619276273677542,0.9087723800359427,0.11154815932239749,0.08495428420908181,0.008555393167194244,0.010392464880576534
mmfm_unet,task3,1.5T_to_7T,3,0.9846136395326096,0.8736859336371515,0.12331854638852403,0.644229285486074,0.023063628068836887,0.013399073797442634
mmfm_unet,task3,3T_to_0.1T,3,0.1863186556420814,0.9376059405489654,0.07244811539868286,0.03440489889160814,0.008686033075775467,0.007611734896814568
mmfm_unet,task3,3T_to_1.5T,3,0.19732528184830625,0.9455240808479014,0.07126839306778131,0.07450351974799639,0.010287869048890156,0.016292514259392456
mmfm_unet,task3,3T_to_5T,3,0.4995942424714017,0.933516469932168,0.09519160068081789,0.08477705869894056,0.005364008462678859,0.011080140279260105
mmfm_unet,task3,3T_to_7T,3,0.8785751509146159,0.8935025527970394,0.10304358447702967,0.6864877639082887,0.02833299753093324,0.013585087686233809
mmfm_unet,task3,5T_to_0.1T,3,0.3328838680856551,0.9220890807707449,0.08330153834947497,0.04127239824881938,0.010396046144019436,0.013502158560330244
mmfm_unet,task3,5T_to_1.5T,3,0.44220592798755076,0.908661160305404,0.0854049496644792,0.028229024816216114,0.011708270049245137,0.011131712593814735
mmfm_unet,task3,5T_to_3T,3,0.3738612366874427,0.9103195025948212,0.0830349435677269,0.06318907784580023,0.011123859011618909,0.004821147813691119
mmfm_unet,task3,5T_to_7T,3,0.5333381532293914,0.9155560103091043,0.08180567112064883,0.23362835920596614,0.0010714419064448962,0.006404247082626008
mmfm_unet,task3,7T_to_0.1T,3,0.36007863084140457,0.8806846671603824,0.10451564279783461,0.06803372931785709,0.011252728071866572,0.006074205995654871
mmfm_unet,task3,7T_to_1.5T,3,0.45920690035925843,0.8780203570116635,0.11766898595793547,0.12386378071805644,0.03168475429981421,0.015818703179061762
mmfm_unet,task3,7T_to_3T,3,0.3997671787559984,0.8735518502088336,0.12072184430868288,0.14515044324916204,0.03719064570114689,0.0101353153466976
mmfm_unet,task3,7T_to_5T,3,0.39973300021358876,0.9178275095098049,0.1151415089206614,0.012615131021011602,0.009250230021108136,0.01100934424467203
