method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_unet,task3,0.1T_to_1.5T,3,0.246069519617979,0.8878653304853618,0.1420823658596215,0.04590291040450248,0.0023058030102129897,0.008891810829007977
mmfm_unet,task3,0.1T_to_3T,3,0.241092074792717,0.8559052670530742,0.16212320650412668,0.023890015806064473,0.008733604512713558,0.00832621683486116
mmfm_unet,task3,0.1T_to_5T,3,0.4923493345650749,0.8944668713547524,0.1679813609963852,0.08335973047605705,0.009545129857953511,0.012549612633232078
mmfm_unet,task3,0.1T_to_7T,3,0.7827129433604384,0.8629444605084206,0.16806265743663995,0.46697823486102974,0.0009920889482124913,0.008392352876194028
mmfm_unet,task3,1.5T_to_0.1T,3,0.23036092198765357,0.9011422388901705,0.09346258165253539,0.055536495192949197,0.005672645042764395,0.00572596139152624
mmfm_unet,task3,1.5T_to_3T,3,0.2549945476818421,0.8513864228127449,0.1480318793480828,0.09053532090213012,0.0030455584979391256,0.008434947836541366
mmfm_unet,task3,1.5T_to_5T,3,0.692880405660981,0.8794443905774659,0.15169125397078795,0.07821912501667579,0.0077575142903793725,0.012086983834807913
mmfm_unet,task3,1.5T_to_7T,3,1.035370746228628,0.8464440078233922,0.16290549513145103,0.6797985138218577,0.010722736940806221,0.006233758934021264
mmfm_unet,task3,3T_to_0.1T,3,0.19746041239340573,0.9138021032941098,0.07968409308224715,0.035956927841554014,0.005291020817992183,0.005348648266591257
mmfm_unet,task3,3T_to_1.5T,3,0.22743808381360928,0.891917881130556,0.11948304976770903,0.06309327692232694,0.009664028185271534,0.015757629091934115
mmfm_unet,task3,3T_to_5T,3,0.526276563532491,0.8961458709808987,0.1454551715787574,0.08597082490190058,0.005225308668113365,0.014229310926967656
mmfm_unet,task3,3T_to_7T,3,0.9066319014584184,0.8585428473779367,0.15502847809138273,0.678575115820115,0.012483721763884624,0.004899675861900654
mmfm_unet,task3,5T_to_0.1T,3,0.3405841057795967,0.8992768959131782,0.0794026200586384,0.03876193943004069,0.00990179071877878,0.0069174183455732
mmfm_unet,task3,5T_to_1.5T,3,0.45573411365751176,0.8635609349338821,0.12993118756034355,0.02605746841056515,0.010286328682090347,0.011963409706726899
mmfm_unet,task3,5T_to_3T,3,0.39326313330706836,0.8432032318630062,0.14170012819467973,0.06153190841510546,0.011936421719245669,0.006224289215024567
mmfm_unet,task3,5T_to_7T,3,0.5596195805066486,0.8774242777728037,0.1458425312801197,0.22179088082970053,0.01116969322473483,0.011223994818179673
mmfm_unet,task3,7T_to_0.1T,3,0.46262251267559007,0.8486922982449787,0.12611967664032636,0.11115392178949057,0.021406350611421366,0.03126808199263042
mmfm_unet,task3,7T_to_1.5T,3,0.5356635094343519,0.8313535762428687,0.1733345846759784,0.13115517268603555,0.01597787496526902,0.005918305266745464
mmfm_unet,task3,7T_to_3T,3,0.48474404644988844,0.8178475412058406,0.1700458706364769,0.15778620275328661,0.023184909803320854,0.005850724222460155
mmfm_unet,task3,7T_to_5T,3,0.4658806773553355,0.8820925423791568,0.16830291183819787,0.03578874305827833,0.0049860927877988,0.00731877238215174
