method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.2580605704941608,0.8873162928217854,0.1420385740183203,0.04423553681618154,0.0024449253164811964,0.008879096684078096
mmfm_v2,task3,0.1T_to_3T,3,0.24670432609477536,0.8553049748900969,0.16270220338315122,0.034881054769001024,0.009219077883536493,0.007721088183571401
mmfm_v2,task3,0.1T_to_5T,3,0.4258254465591245,0.8973825930748855,0.16699561657912323,0.05690083106446239,0.008010521348663535,0.011739580294308794
mmfm_v2,task3,0.1T_to_7T,3,0.6822031884103025,0.8692997030885378,0.1615872619220002,0.4133198156984011,0.0036869941069996265,0.008533131915000809
mmfm_v2,task3,1.5T_to_0.1T,3,0.24384333982477713,0.8982884256172595,0.098634581038283,0.060617205405826595,0.007634327574120609,0.007563562845250048
mmfm_v2,task3,1.5T_to_3T,3,0.2526047557133519,0.8520978058405705,0.1488672692669227,0.07931988831670808,0.0031908155449438956,0.008200320697064504
mmfm_v2,task3,1.5T_to_5T,3,0.6174116113512268,0.8832917652524719,0.1511928189408792,0.07897651022946424,0.00838037781701672,0.012251965776431938
mmfm_v2,task3,1.5T_to_7T,3,0.8606648450764043,0.8537697605822051,0.1561287364480727,0.5198108281952586,0.004985346296885337,0.006975039947790244
mmfm_v2,task3,3T_to_0.1T,3,0.2131928145167059,0.9080500920328465,0.09464786870431753,0.05328112819710945,0.00872009407036636,0.01190457490557817
mmfm_v2,task3,3T_to_1.5T,3,0.219999817937619,0.8906734693094952,0.12195628588834888,0.05825652327469721,0.008255768408195394,0.014567378112006715
mmfm_v2,task3,3T_to_5T,3,0.49492061196163056,0.8984339172968957,0.14542857427147668,0.08244963007203072,0.005409082328330182,0.013712645607280338
mmfm_v2,task3,3T_to_7T,3,0.8169910538091615,0.8636254923549246,0.15036700066681466,0.5895377852412945,0.00919650713322429,0.005276502266950585
mmfm_v2,task3,5T_to_0.1T,3,0.2913500238292403,0.8994320425208399,0.08957782762839306,0.03499166474201202,0.007898974628274817,0.006054702588905164
mmfm_v2,task3,5T_to_1.5T,3,0.421419832639728,0.86706819715139,0.13117620760638485,0.022837498720395134,0.009511335083816689,0.011957847501729789
mmfm_v2,task3,5T_to_3T,3,0.372622738268855,0.8445268955699593,0.14111494573196082,0.0634580684616197,0.01221557057157221,0.00699272015167683
mmfm_v2,task3,5T_to_7T,3,0.5280409921319081,0.8803522191759411,0.14383107187007774,0.1697596467650962,0.014479196921499902,0.012437955538631678
mmfm_v2,task3,7T_to_0.1T,3,0.3927478454427855,0.8730183373016409,0.10163034880750936,0.17768525463724533,0.0279193370717073,0.013444891817393865
mmfm_v2,task3,7T_to_1.5T,3,0.4766367899801602,0.8460173619230127,0.151853284937058,0.16800227946746385,0.028325669043264945,0.014130672973708075
mmfm_v2,task3,7T_to_3T,3,0.4457624886575444,0.8263309414949044,0.1592252657693353,0.18152080158169134,0.026862489152245476,0.005110356139428904
mmfm_v2,task3,7T_to_5T,3,0.46049384698688084,0.8849307167267787,0.16262307616174168,0.03237831503472634,0.005891211020023981,0.008027935901488061
