method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.25293279189771134,0.8872044234737456,0.14262263970831632,0.04163817930462964,0.002209696276228358,0.00890590037761636
mmfm_v2,task3,0.1T_to_3T,3,0.25264424297855054,0.853316959473427,0.1647153093936128,0.018089639773493076,0.010843829416240736,0.010075094368634333
mmfm_v2,task3,0.1T_to_5T,3,0.4348958499678675,0.8902061924414602,0.17232801578283677,0.030297956059853807,0.013083561283592341,0.016274799136775424
mmfm_v2,task3,0.1T_to_7T,3,0.7374815970203357,0.8588623345710579,0.16870090116246805,0.4960234229319749,0.003695331509485611,0.010255256671287204
mmfm_v2,task3,1.5T_to_0.1T,3,0.23049201127736282,0.9010775367525539,0.09346249728348259,0.05561093629337099,0.005718171043170126,0.005732182540058211
mmfm_v2,task3,1.5T_to_3T,3,0.2549158135806778,0.8514532502267672,0.14806399033244233,0.09048709522386365,0.0030586121312236644,0.00841857677730076
mmfm_v2,task3,1.5T_to_5T,3,0.6921798048276138,0.8796193238848592,0.15178082853727734,0.07843985820641232,0.007786787751298745,0.012067645303616861
mmfm_v2,task3,1.5T_to_7T,3,1.0342935625694916,0.8466689201875764,0.16292314828804275,0.6792780107960347,0.010714622826395662,0.0062303800446184
mmfm_v2,task3,3T_to_0.1T,3,0.21379676645269222,0.9054005326970117,0.08829326826731115,0.04001497554837086,0.008221850983795785,0.007869285013661803
mmfm_v2,task3,3T_to_1.5T,3,0.22783413045018777,0.8911449119207392,0.12096711329193566,0.06366554627678005,0.010720352181820414,0.017894819403836495
mmfm_v2,task3,3T_to_5T,3,0.5232773928595317,0.8964460513114864,0.14561698408467885,0.0897170048138847,0.005470062137943229,0.014381042160165593
mmfm_v2,task3,3T_to_7T,3,0.8934172282487394,0.8600038175456958,0.15417566228385238,0.6885131424402811,0.014039689493927116,0.003701255659339329
mmfm_v2,task3,5T_to_0.1T,3,0.30545555137442254,0.891382980249572,0.09345218522176264,0.07350067381936622,0.010199176034387728,0.007917458027518778
mmfm_v2,task3,5T_to_1.5T,3,0.42187070946022054,0.8653760036449044,0.13326626243849748,0.03682359618034662,0.012704863961161383,0.013560051771940657
mmfm_v2,task3,5T_to_3T,3,0.3835138228597794,0.843961941979542,0.141799988771718,0.05977667089301178,0.012080121099863408,0.006257713446818604
mmfm_v2,task3,5T_to_7T,3,0.552624028285985,0.8779201706970321,0.14544797444551774,0.21177926792834093,0.011676058940976937,0.01141189788104569
mmfm_v2,task3,7T_to_0.1T,3,0.44164191727853924,0.8692061193491614,0.10084591191638505,0.12886786329496477,0.018886687747615188,0.005783224196432672
mmfm_v2,task3,7T_to_1.5T,3,0.5211747371078072,0.8413272057694964,0.1584231525024314,0.14509479074911216,0.025140445248394906,0.015100499881705136
mmfm_v2,task3,7T_to_3T,3,0.479458017295938,0.8230302292415161,0.16487260965342868,0.16190902369428026,0.024615982836875955,0.004265807052812067
mmfm_v2,task3,7T_to_5T,3,0.46496265624686445,0.8827910590270202,0.1667495366872727,0.03540148090001181,0.005629729813090922,0.009360560738161269
