method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm,task3,0.1T_to_1.5T,3,0.608908123454729,0.8101003744360852,0.2233682699716939,0.03977149661764191,0.00859865327956237,0.021434046696396147
mmfm,task3,0.1T_to_3T,3,0.5570730238724114,0.7927913549804592,0.23607341186054942,0.05347553856006941,0.00545106577509547,0.01868421074594782
mmfm,task3,0.1T_to_5T,3,1.7760868333153377,0.7745145868133031,0.23511995503015273,0.1375871246931723,0.015072251959053134,0.0211663247780768
mmfm,task3,0.1T_to_7T,3,2.2959887674040753,0.770665563131114,0.21052458996555157,1.1956494056487958,0.01123079947912534,0.014339225492255091
mmfm,task3,1.5T_to_0.1T,3,0.5443490687021717,0.8078173117312971,0.19907596986895218,0.01992850967472997,0.006503885994529826,0.01828563258758085
mmfm,task3,1.5T_to_3T,3,0.5968500935999148,0.7923899290727281,0.21979429500085576,0.022851879520163522,0.006167933597959889,0.012517175788370504
mmfm,task3,1.5T_to_5T,3,1.741015049622332,0.773034795746585,0.22055925130978749,0.23049279808201795,0.015262693040288152,0.015054696606349277
mmfm,task3,1.5T_to_7T,3,2.0968656542005326,0.7738584883665425,0.19415253348547745,0.8873585793316828,0.013271317401738753,0.006728668468627344
mmfm,task3,3T_to_0.1T,3,0.5353611254400628,0.803747929231812,0.20017015422770312,0.00929778905427351,0.003720195287232619,0.02508719891620363
mmfm,task3,3T_to_1.5T,3,0.6327540706188829,0.8041563746667183,0.21017241245686535,0.038819409325052914,0.005309461764427138,0.018555386540373264
mmfm,task3,3T_to_5T,3,1.731276342325849,0.7709476079116508,0.21595718786255047,0.16890103053976332,0.016330031733971056,0.01814300473315331
mmfm,task3,3T_to_7T,3,2.165518799927528,0.7728304042319895,0.18721223689023678,1.0463284635280115,0.014933139788582177,0.009743574880368706
mmfm,task3,5T_to_0.1T,3,0.5805944454417707,0.7887800172093478,0.20876917113864735,0.004159895178034952,0.0009037334894249632,0.024492126423083443
mmfm,task3,5T_to_1.5T,3,0.6564542289985026,0.793988983009647,0.2107664871616827,0.024181844047316867,0.003465455294770552,0.01625720644613347
mmfm,task3,5T_to_3T,3,0.6351559060404132,0.7822632034268908,0.21617882989016254,0.02231440261197883,0.0042507034914895,0.014669609150618875
mmfm,task3,5T_to_7T,3,2.0752993838186415,0.7759201673026279,0.183477886576603,1.0378315734260444,0.015725946719208482,0.009526510228759387
mmfm,task3,7T_to_0.1T,3,0.6091937333887308,0.7788156290823606,0.20969329823999971,0.04852362165572309,0.007611908638856519,0.02580960676220745
mmfm,task3,7T_to_1.5T,3,0.6712246635985233,0.7821902884117815,0.21827612354394463,0.043488087804255525,0.008386880365314806,0.019655340965493758
mmfm,task3,7T_to_3T,3,0.6548476917424613,0.7753738915392598,0.22651844367572718,0.04473731299125733,0.006495685093103849,0.017191679696910402
mmfm,task3,7T_to_5T,3,1.6380262611584053,0.7643782032262458,0.21966811533838104,0.01521851569149936,0.00691536035199683,0.017335702986750995
