volume,modality,field,variant,rel_l2,cos
R_T2FLAIR_3T_0360,T2FLAIR,3T,inference,1.1761,0.6096
R_T2FLAIR_3T_0360,T2FLAIR,3T,orient,0.7071,0.83744
R_T2FLAIR_3T_0360,T2FLAIR,3T,orient_norm,0.1256,0.99209
R_T2FLAIR_3T_0360,T2FLAIR,3T,precompute,0.0916,0.99584
R_T2FLAIR_1.5T_0295,T2FLAIR,1.5T,inference,0.5569,0.87106
R_T2FLAIR_1.5T_0295,T2FLAIR,1.5T,orient,0.0835,0.99673
R_T2FLAIR_1.5T_0295,T2FLAIR,1.5T,orient_norm,0.0545,0.99852
R_T2FLAIR_1.5T_0295,T2FLAIR,1.5T,precompute,0.0357,0.99936
R_T2W_7T_0758,T2W,7T,inference,0.4063,0.92484
R_T2W_7T_0758,T2W,7T,orient,0.207,0.9814
R_T2W_7T_0758,T2W,7T,orient_norm,0.0523,0.99864
R_T2W_7T_0758,T2W,7T,precompute,0.034,0.99942
R_T2W_1.5T_0292,T2W,1.5T,inference,0.468,0.89815
R_T2W_1.5T_0292,T2W,1.5T,orient,0.1802,0.9838
R_T2W_1.5T_0292,T2W,1.5T,orient_norm,0.0526,0.99862
R_T2W_1.5T_0292,T2W,1.5T,precompute,0.0306,0.99953
R_T1W_7T_0875,T1W,7T,inference,0.6797,0.8091
R_T1W_7T_0875,T1W,7T,orient,0.1077,0.99442
R_T1W_7T_0875,T1W,7T,orient_norm,0.0873,0.99627
R_T1W_7T_0875,T1W,7T,precompute,0.0529,0.99861
R_T1W_0.1T_0080,T1W,0.1T,inference,1.0154,0.50783
R_T1W_0.1T_0080,T1W,0.1T,orient,0.9602,0.5592
R_T1W_0.1T_0080,T1W,0.1T,orient_norm,0.0478,0.99892
R_T1W_0.1T_0080,T1W,0.1T,precompute,0.0262,0.99966
R_T1W_0.1T_0033,T1W,0.1T,inference,0.6195,0.83291
R_T1W_0.1T_0033,T1W,0.1T,orient,0.0934,0.99574
R_T1W_0.1T_0033,T1W,0.1T,orient_norm,0.065,0.99793
R_T1W_0.1T_0033,T1W,0.1T,precompute,0.0322,0.99948
R_T1W_7T_0949,T1W,7T,inference,0.6354,0.81364
R_T1W_7T_0949,T1W,7T,orient,0.1637,0.98652
R_T1W_7T_0949,T1W,7T,orient_norm,0.0767,0.99715
R_T1W_7T_0949,T1W,7T,precompute,0.0572,0.99836
R_T1W_3T_0464,T1W,3T,inference,0.6321,0.83469
R_T1W_3T_0464,T1W,3T,orient,0.0722,0.99739
R_T1W_3T_0464,T1W,3T,orient_norm,0.0728,0.99735
R_T1W_3T_0464,T1W,3T,precompute,0.0481,0.99886
R_T1W_1.5T_0201,T1W,1.5T,inference,0.7165,0.84079
R_T1W_1.5T_0201,T1W,1.5T,orient,0.4745,0.93166
R_T1W_1.5T_0201,T1W,1.5T,orient_norm,0.056,0.99844
R_T1W_1.5T_0201,T1W,1.5T,precompute,0.0332,0.99945
