method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_inr,task3,0.1T_to_1.5T,3,0.6813677639810435,0.8346504306934205,0.1707046041246465,0.06471054516506526,0.014050572326355417,0.016519813076535595
mmfm_inr,task3,0.1T_to_3T,3,0.7426989407508374,0.7944491300994801,0.1922897192478191,0.06363469856220287,0.014824777915544074,0.017585387300743827
mmfm_inr,task3,0.1T_to_5T,3,0.6834055338658954,0.8182805537989868,0.18836683721135397,0.08587673852572936,0.009072321147569153,0.01628309720286292
mmfm_inr,task3,0.1T_to_7T,3,0.6790686975816892,0.8358647471571666,0.1757100800523901,0.13253387007544673,0.01564455017224229,0.01842450252846828
mmfm_inr,task3,1.5T_to_0.1T,3,0.32934030881956095,0.8708348591156492,0.13347142438879733,0.08297203304712875,0.017769570945128873,0.024854893773543104
mmfm_inr,task3,1.5T_to_3T,3,0.36249491929714944,0.8166610926757936,0.17423996032852263,0.014858845224663672,0.009205616839380744,0.012295439903709997
mmfm_inr,task3,1.5T_to_5T,3,0.3656877066354136,0.8408634078917885,0.17101513163351947,0.030168703419471383,0.00903772664462933,0.011261818921611546
mmfm_inr,task3,1.5T_to_7T,3,0.42314144646556834,0.8573221570122688,0.15914966111953288,0.05063188677072668,0.01863671754049993,0.014316456636481198
mmfm_inr,task3,3T_to_0.1T,3,0.3426787740689234,0.8834525065387294,0.14077929438878425,0.07889065421557394,0.021121526638044404,0.018726481198748892
mmfm_inr,task3,3T_to_1.5T,3,0.27659405245669694,0.8858273582744814,0.13776278193690664,0.014933159562243408,0.009826780246931332,0.01132007562714765
mmfm_inr,task3,3T_to_5T,3,0.33236975606749747,0.8656146329747587,0.15707820903984193,0.023335426429873306,0.009045229224507269,0.012277634896030253
mmfm_inr,task3,3T_to_7T,3,0.385161356212848,0.8819934291820629,0.14590238398244912,0.04785692232062361,0.01546177718110803,0.013369170741759686
mmfm_inr,task3,5T_to_0.1T,3,0.39098685139653827,0.8771485904777792,0.13761079780551952,0.06766172461844593,0.021381372786849873,0.018068719149952568
mmfm_inr,task3,5T_to_1.5T,3,0.28870748096478144,0.8823998079251073,0.13895291648414276,0.019980968644631066,0.01062324340495524,0.011936874403959788
mmfm_inr,task3,5T_to_3T,3,0.32592870352392606,0.8394401563134415,0.1608664117795722,0.02631583632885854,0.011196574907669333,0.013103890698868158
mmfm_inr,task3,5T_to_7T,3,0.3561778866304082,0.8829813804205124,0.14356911814617654,0.04225670520942595,0.015534417991978824,0.013247727825172032
mmfm_inr,task3,7T_to_0.1T,3,0.40213946681813356,0.8703587732766218,0.15234618550199172,0.0851748129858274,0.026695420575366086,0.025681349115786394
mmfm_inr,task3,7T_to_1.5T,3,0.4051793316328305,0.8669006328171626,0.15538744217864764,0.026999116514080206,0.011914069311094453,0.016417522095426212
mmfm_inr,task3,7T_to_3T,3,0.42209874947815607,0.8285262039902782,0.17290138730792295,0.03119954864252071,0.012207987867037352,0.016599676692287114
mmfm_inr,task3,7T_to_5T,3,0.39629707332141856,0.8517054135683931,0.17121455467755595,0.015129229302796254,0.011529896660218194,0.017099914595730452
