method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_inr,task3,0.1T_to_1.5T,3,0.30530276262688566,0.860364732338783,0.14989944453869064,0.037785417628915983,0.0032235092889705574,0.008296446204111279
mmfm_inr,task3,0.1T_to_3T,3,0.2823709770781527,0.8277199643607247,0.16073162009573574,0.0417033738003763,0.01030746022736471,0.009656394968990992
mmfm_inr,task3,0.1T_to_5T,3,0.4289114846572913,0.879291173971264,0.16236741083167194,0.07941347720632717,0.0088068670135822,0.014022041136067158
mmfm_inr,task3,0.1T_to_7T,3,0.7179398064517525,0.8507207436226296,0.17278982975418647,0.4057501116006454,0.005589326573752438,0.014940031368672545
mmfm_inr,task3,1.5T_to_0.1T,3,0.18665481507380574,0.8892034298653896,0.13370916393558283,0.023072285758852343,0.0029405815886665754,0.0070026610752897634
mmfm_inr,task3,1.5T_to_3T,3,0.2612225441641051,0.8337482425185025,0.15508918297388083,0.006760700052209695,0.008344177321308313,0.011020913087792367
mmfm_inr,task3,1.5T_to_5T,3,0.5102872437732744,0.8794316858057879,0.15620800750903338,0.07095995388966825,0.007298680826218068,0.014026016664745808
mmfm_inr,task3,1.5T_to_7T,3,0.8234274681023099,0.848686570169653,0.17296353622938945,0.5153551859144085,0.0016422963246231926,0.010497838040842172
mmfm_inr,task3,3T_to_0.1T,3,0.17136380919897473,0.8937742710545282,0.13081821272365482,0.002973968790635922,0.00418924229390968,0.00886605457426231
mmfm_inr,task3,3T_to_1.5T,3,0.28316127802428004,0.8698917348591699,0.14502660679966886,0.024419393433946376,0.00485599337817812,0.008991974035663614
mmfm_inr,task3,3T_to_5T,3,0.444103186110495,0.8871376152007283,0.15234838440541082,0.06666139698609856,0.008198588332326342,0.014063383209718363
mmfm_inr,task3,3T_to_7T,3,0.7596995297174277,0.854275229017026,0.16992958636751107,0.45635780034396156,0.0024807889027146286,0.01254549552620649
mmfm_inr,task3,5T_to_0.1T,3,0.22278842160720166,0.8796652157802289,0.15186669428959057,0.02439086144407645,0.006963656655693118,0.0069781962237941775
mmfm_inr,task3,5T_to_1.5T,3,0.2866218179752346,0.8654337804226145,0.14834716361328223,0.005907863104553767,0.0057672540718558315,0.00855477923113066
mmfm_inr,task3,5T_to_3T,3,0.26880795000168956,0.8342913230742278,0.1547594386959863,0.027969657348478956,0.009668507125791781,0.011520297408600454
mmfm_inr,task3,5T_to_7T,3,0.7508104427004175,0.8530621800939721,0.17205731821594672,0.47782875101796324,0.0009916068574610038,0.01235803314760182
mmfm_inr,task3,7T_to_0.1T,3,0.27019887975978324,0.866075049040996,0.15834463446252198,0.021616949892913108,0.008787692327819627,0.008517651185312544
mmfm_inr,task3,7T_to_1.5T,3,0.4150485105250655,0.8429096886423589,0.15992586026516495,0.00442462965869975,0.010810604934536233,0.012291633935922482
mmfm_inr,task3,7T_to_3T,3,0.39397844871092486,0.8162614555131317,0.1671482919848548,0.050361376983527904,0.011049091508486548,0.01570581905679894
mmfm_inr,task3,7T_to_5T,3,0.357175153257772,0.8807584530171314,0.1692041201387474,0.05533769136033055,0.011079014341347566,0.023986348928869396
