method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.2405919888091849,0.9184032484944175,0.10928000189722083,0.0485711298534811,0.001999345569376146,0.008480120677702376
mmfm_v2,task3,0.1T_to_3T,3,0.22933522622283956,0.8936437302264885,0.1327782154947456,0.03321236202691378,0.011350679346395155,0.00794343291494784
mmfm_v2,task3,0.1T_to_5T,3,0.4419869881421546,0.9180546090730268,0.14012598530907736,0.0782709079771482,0.008352319865811772,0.012171300791514386
mmfm_v2,task3,0.1T_to_7T,3,0.6980320590440051,0.88994153387232,0.13183429685105807,0.4454658803820427,0.006185960157172757,0.004640731965306702
mmfm_v2,task3,1.5T_to_0.1T,3,0.22885543028889432,0.911990978678512,0.08698862545511103,0.05834479987985851,0.007234366174722406,0.00320850563056696
mmfm_v2,task3,1.5T_to_3T,3,0.23090046314511117,0.8919797822773389,0.10031894563838055,0.09108019948063752,0.0017089369624114868,0.004335029658712796
mmfm_v2,task3,1.5T_to_5T,3,0.6457926335655202,0.9024325981148795,0.10431360163605674,0.07935318653687173,0.009215423183236234,0.00963509561987994
mmfm_v2,task3,1.5T_to_7T,3,0.9345328207688697,0.8724509510031453,0.11559263057178921,0.6326660450340998,0.020121105603257226,0.011794164897492878
mmfm_v2,task3,3T_to_0.1T,3,0.19673305804704674,0.9200613871649231,0.08124550617511507,0.041995669144476104,0.008400990075643234,0.00814226297262783
mmfm_v2,task3,3T_to_1.5T,3,0.2005622261423654,0.9294402373234161,0.06408791272544002,0.07223189006618377,0.009197656542883112,0.010637304969080922
mmfm_v2,task3,3T_to_5T,3,0.4889362619092468,0.92138265699778,0.08544949501394428,0.09126313537385468,0.006364773514456766,0.008023441350019095
mmfm_v2,task3,3T_to_7T,3,0.8395804876355689,0.8877231801285904,0.09505123881385712,0.667097801825434,0.024730582215449215,0.012643640564955878
mmfm_v2,task3,5T_to_0.1T,3,0.3062321999770073,0.9074130739859085,0.09537182021953083,0.04043132419156561,0.009495605293457478,0.013946420817990355
mmfm_v2,task3,5T_to_1.5T,3,0.42778775830763244,0.8977004589547368,0.07259567520890849,0.02572535512542357,0.011997842962683705,0.0075393389196178
mmfm_v2,task3,5T_to_3T,3,0.3724233632987349,0.8892225292721436,0.0694812539232114,0.06344235704682034,0.009060762982825894,0.005938225081842237
mmfm_v2,task3,5T_to_7T,3,0.5189521800280087,0.9061839737086032,0.07092200336804454,0.2015642446646445,0.002316760640794982,0.003916309945328238
mmfm_v2,task3,7T_to_0.1T,3,0.3701376344633975,0.8835671583325636,0.1013643062428407,0.13667754270252808,0.013612243960012404,0.0041616807174144396
mmfm_v2,task3,7T_to_1.5T,3,0.4649435513509916,0.8751351399442346,0.10604464628499592,0.15690844852120042,0.03179436327250806,0.011276713640389777
mmfm_v2,task3,7T_to_3T,3,0.4335391077735704,0.8649417983092625,0.10432748683634507,0.1783632228501232,0.03373124280114973,0.002397629086299132
mmfm_v2,task3,7T_to_5T,3,0.4477496423250676,0.9047914096140447,0.10018824899487848,0.03523755817379654,0.008107563189595431,0.009512819425550326
