method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.24060139757150398,0.9185249496050821,0.10939848725603361,0.048511676761564745,0.002073957379151469,0.008543654617647669
mmfm_v2,task3,0.1T_to_3T,3,0.22919088278224783,0.8937013350502916,0.13304766034079438,0.03326308954631921,0.011315166567031331,0.00804424691411157
mmfm_v2,task3,0.1T_to_5T,3,0.4419189461701472,0.9182972317511394,0.1403596496553833,0.07883050133221067,0.008550777501687567,0.012328359911615246
mmfm_v2,task3,0.1T_to_7T,3,0.6978967636726564,0.8900973223145568,0.13216974388129452,0.4460575515338259,0.006130202375480935,0.004637590586627676
mmfm_v2,task3,1.5T_to_0.1T,3,0.22833300769488063,0.9118857582975087,0.08699669549700406,0.057560228070635405,0.006948419597542172,0.003143792384506629
mmfm_v2,task3,1.5T_to_3T,3,0.23068742899163017,0.8918728243362161,0.10079981312000165,0.09133314290036255,0.0018557799988815355,0.0041831897934347965
mmfm_v2,task3,1.5T_to_5T,3,0.6511439514313718,0.9020489514381905,0.10511722056453916,0.07871495651681336,0.009144041395694415,0.009714145850852082
mmfm_v2,task3,1.5T_to_7T,3,0.9564941872827797,0.8713397556809815,0.1166132865939458,0.6623079353751576,0.021344653473250156,0.01250841933571041
mmfm_v2,task3,3T_to_0.1T,3,0.19585041692897517,0.9203310275709361,0.08082799083961799,0.040560107493022836,0.00841239693943879,0.008544067810338335
mmfm_v2,task3,3T_to_1.5T,3,0.20074805001847662,0.9297633782704474,0.06412755347095737,0.07215071147170599,0.00924138832947415,0.010430495295211143
mmfm_v2,task3,3T_to_5T,3,0.4890997737949896,0.9216601033692187,0.0857767822398513,0.09266515887679523,0.00655203353656279,0.008131947848030044
mmfm_v2,task3,3T_to_7T,3,0.8444237218740517,0.8876465358410566,0.09547305521788545,0.6760789830274097,0.02532927335260562,0.012964441087255514
mmfm_v2,task3,5T_to_0.1T,3,0.3023258142610297,0.9071576639525173,0.096043887755285,0.03990753300683462,0.009476682581475515,0.01428133119623509
mmfm_v2,task3,5T_to_1.5T,3,0.42479579158726705,0.8982394216704092,0.07241166123572965,0.02492024554421797,0.01182014553776807,0.007429287939886568
mmfm_v2,task3,5T_to_3T,3,0.3707580612678078,0.8894368811808503,0.06903635729804898,0.063991840551717,0.009095540827382731,0.005501667498090151
mmfm_v2,task3,5T_to_7T,3,0.5175586640991309,0.906356064343397,0.07065135544933042,0.20024972773271874,0.0024907006289403284,0.003835918051928849
mmfm_v2,task3,7T_to_0.1T,3,0.356358037597956,0.8862480797245543,0.10045965519959525,0.11682645154967884,0.00921734969927288,0.004121953516547006
mmfm_v2,task3,7T_to_1.5T,3,0.4559332118117026,0.8777813736748974,0.10469796962430862,0.1436818460813084,0.028394306418028384,0.010442072112500481
mmfm_v2,task3,7T_to_3T,3,0.4266879068451315,0.8669809889605099,0.10386080305138823,0.16702062091048575,0.03093071634507493,0.0018238757167592246
mmfm_v2,task3,7T_to_5T,3,0.4403046619397996,0.9062390947823141,0.09935704121570756,0.026241068537775625,0.0061266305644471055,0.010426815829961182
