method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.5083256825829913,0.8860410283906862,0.131582867058007,0.16409605666570956,0.01808423698384114,0.011908267966095301
mmfm_v2,task3,0.1T_to_3T,3,0.5272444351374823,0.858339080995493,0.14349205753200941,0.17679374081549504,0.0161972188339129,0.011091354946579677
mmfm_v2,task3,0.1T_to_5T,3,0.44710707273188727,0.8765683183529186,0.142563162377516,0.07066749279721458,0.010322423058057393,0.00918961633770376
mmfm_v2,task3,0.1T_to_7T,3,0.4199393786549172,0.8914680392175355,0.13017373263891896,0.10112414537228423,0.01715149508943333,0.015144602940912315
mmfm_v2,task3,1.5T_to_0.1T,3,0.3484098035493715,0.8945501416612359,0.08633805452379258,0.06815021723635854,0.015947750888568517,0.012460714704195325
mmfm_v2,task3,1.5T_to_3T,3,0.26715855888827067,0.8957721680934352,0.08362733247349256,0.01895682640664054,0.007913311826291236,0.008089484585020304
mmfm_v2,task3,1.5T_to_5T,3,0.29747001915879806,0.9052234989458586,0.0894493495062522,0.030463230154948694,0.007964897027435473,0.008773042647155402
mmfm_v2,task3,1.5T_to_7T,3,0.39628287828634773,0.903618436855847,0.08939126984866948,0.04137144076668154,0.010708375848708186,0.011618936594687818
mmfm_v2,task3,3T_to_0.1T,3,0.33726684755898234,0.882608331326554,0.09555218240249863,0.0735904735100126,0.01540689896981678,0.009200102495497645
mmfm_v2,task3,3T_to_1.5T,3,0.23922407366627083,0.9113296358002972,0.06447394118826515,0.015713718007283287,0.007702973478030342,0.00783031792723964
mmfm_v2,task3,3T_to_5T,3,0.25308423135176406,0.9181529530960285,0.064425806997901,0.04418583972715419,0.009658093295833843,0.008268355452746986
mmfm_v2,task3,3T_to_7T,3,0.347663636620447,0.9090907333696535,0.07276931118014947,0.05934716612826879,0.014364492191772929,0.010414773551676072
mmfm_v2,task3,5T_to_0.1T,3,0.30338117789147556,0.8847870437230605,0.09946131623560162,0.036425253886527446,0.007923140245559823,0.0057600380451028705
mmfm_v2,task3,5T_to_1.5T,3,0.26422076002270567,0.9115997081570084,0.06395026016116441,0.03734635545297691,0.006895183022026421,0.005373302563414374
mmfm_v2,task3,5T_to_3T,3,0.24669863266826808,0.9063734797323167,0.06038301254901848,0.04954827773482229,0.0077343912568759825,0.006217659499650705
mmfm_v2,task3,5T_to_7T,3,0.29209162153450513,0.9220079789198827,0.06267108611601885,0.009685874637475096,0.008143026875558665,0.0090750648373049
mmfm_v2,task3,7T_to_0.1T,3,0.2893986755243434,0.8938541226319695,0.09272926776069783,0.06654917152798728,0.018732789131209314,0.013800182671418628
mmfm_v2,task3,7T_to_1.5T,3,0.3769426378724983,0.9061883318039406,0.07932717085057944,0.07331470480157065,0.010687682609321198,0.010422771342785969
mmfm_v2,task3,7T_to_3T,3,0.3629856027133042,0.893100245204859,0.0847853384826724,0.08854241428914916,0.012174774720080972,0.010736628539445717
mmfm_v2,task3,7T_to_5T,3,0.3138796053537248,0.9113968434451999,0.08467229637290537,0.0068651511793339235,0.010748613491531304,0.01311015296731855
