method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.3050419236557647,0.8603212659641538,0.1470881202689177,0.03776270878941818,0.0032066857000012487,0.007832057281527789
mmfm_v2,task3,0.1T_to_3T,3,0.282552718512986,0.8275524257002713,0.15688157493102903,0.04126929743021278,0.010184336781781034,0.009626010817774342
mmfm_v2,task3,0.1T_to_5T,3,0.42975533974957364,0.8790251196497473,0.15840130457888912,0.0794669954814925,0.00882028836903558,0.013967461212996525
mmfm_v2,task3,0.1T_to_7T,3,0.7186367437027433,0.8504698308385487,0.17078224541165443,0.4062044894848895,0.005538693753144688,0.015214395758962957
mmfm_v2,task3,1.5T_to_0.1T,3,0.1875584182294551,0.8882777754226195,0.13988098760250037,0.023288603327524398,0.0029196133260872724,0.007421275663567819
mmfm_v2,task3,1.5T_to_3T,3,0.26162229531460934,0.8334923977994507,0.15205472267122008,0.007157466420035021,0.0082576850526738,0.010854356292539244
mmfm_v2,task3,1.5T_to_5T,3,0.5114017572602508,0.879148371120222,0.15305046434605793,0.07094248544618198,0.007290619827653876,0.013808281563416406
mmfm_v2,task3,1.5T_to_7T,3,0.8244355644524349,0.8484294058639744,0.17138468096787998,0.5160058126667568,0.0016709162083188833,0.010432954088179782
mmfm_v2,task3,3T_to_0.1T,3,0.17183596809476465,0.8926951707133338,0.136659195961187,0.0028062017944088576,0.004214129926270457,0.009692006970227866
mmfm_v2,task3,3T_to_1.5T,3,0.28288503190686304,0.8697005941499114,0.14249939296910066,0.024385718259379057,0.004879843256482842,0.008524292339759388
mmfm_v2,task3,3T_to_5T,3,0.44489288612349687,0.8868181600057451,0.14931216123630922,0.06667475851637344,0.00820133573886822,0.013921390234769238
mmfm_v2,task3,3T_to_7T,3,0.7603680785003512,0.854035749246015,0.16850697975668427,0.45685450580592996,0.002427117413105495,0.012608535045400026
mmfm_v2,task3,5T_to_0.1T,3,0.22349433363940197,0.87874062503581,0.15675001461530294,0.024685683631517356,0.006956398666110533,0.005616851850148184
mmfm_v2,task3,5T_to_1.5T,3,0.28649048761054,0.8652303572887314,0.14588796614236135,0.005916766928521914,0.005820929916447238,0.008087964023817769
mmfm_v2,task3,5T_to_3T,3,0.2690892342288668,0.8339922065131096,0.15148501492856192,0.027475168235253106,0.009581676614620498,0.011344155601291506
mmfm_v2,task3,5T_to_7T,3,0.7515768832034909,0.8528079961612215,0.17065363087173938,0.47834616880078557,0.0009565709536339356,0.012400544085952493
mmfm_v2,task3,7T_to_0.1T,3,0.2706652657541433,0.8649474241435439,0.16312469229043444,0.021497694770073593,0.008956791792238593,0.009853544329566631
mmfm_v2,task3,7T_to_1.5T,3,0.4149735323568369,0.8426046732425414,0.1578174184882647,0.0043981705070295285,0.010877255379241939,0.012066167438519883
mmfm_v2,task3,7T_to_3T,3,0.3940494059670104,0.8159675219132095,0.16350623457938662,0.050140352194743366,0.01093674792642333,0.015458312739931208
mmfm_v2,task3,7T_to_5T,3,0.35781127932859763,0.8804049369956916,0.16585373619869126,0.05528590649060606,0.011065785170799567,0.02359025980471775
