method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.23950275607783986,0.9189788956939534,0.10317184104217521,0.04881240740767144,0.0021370470404850246,0.008082709614572536
mmfm_v2,task3,0.1T_to_3T,3,0.229222178229442,0.8944802044271177,0.1271047348270273,0.032850046266863865,0.011267190881238176,0.007933534073508046
mmfm_v2,task3,0.1T_to_5T,3,0.44337466565915395,0.918520429653499,0.13540147721044496,0.07992266689777988,0.008481894731904235,0.012082117401453691
mmfm_v2,task3,0.1T_to_7T,3,0.6985955579468052,0.8904014318450075,0.12815090730974152,0.44608973056476803,0.006272824829634087,0.004264533562341735
mmfm_v2,task3,1.5T_to_0.1T,3,0.23343177436568507,0.9047313574293986,0.09869537750489783,0.05750127073211323,0.006032273560522471,0.0010807103422964895
mmfm_v2,task3,1.5T_to_3T,3,0.23364616575506544,0.8889416805334024,0.09714068280824667,0.09224187902907534,0.0019099010537204433,0.003652112948489153
mmfm_v2,task3,1.5T_to_5T,3,0.6557911353393769,0.8999926032623399,0.09919412222185835,0.07894057388892849,0.009291208365468552,0.00904387827300685
mmfm_v2,task3,1.5T_to_7T,3,0.9610372178943679,0.8697714193866138,0.11357062974079102,0.6637491002026379,0.020990591308012934,0.013788501944923726
mmfm_v2,task3,3T_to_0.1T,3,0.19971911818236965,0.9119662094812027,0.09304558800414038,0.0409010970454633,0.007825200405714737,0.009515461021593619
mmfm_v2,task3,3T_to_1.5T,3,0.2006229587203039,0.9268369401428393,0.057747850291231494,0.07158944827247139,0.008988924367489779,0.008788546321048914
mmfm_v2,task3,3T_to_5T,3,0.49278507575304653,0.9188133715069823,0.07910083563175241,0.09301959229977513,0.006735220768878534,0.00694064931771345
mmfm_v2,task3,3T_to_7T,3,0.8472960292848651,0.8859336618482089,0.09214803056884113,0.6779360261400728,0.02535203302514597,0.014472803217232722
mmfm_v2,task3,5T_to_0.1T,3,0.30500545830152387,0.8978404542302668,0.10890829454853801,0.0396960378934824,0.009831957928058759,0.01605453843599257
mmfm_v2,task3,5T_to_1.5T,3,0.4251366142028344,0.8946799539578437,0.06826260816272377,0.024907686078155387,0.01219724836741871,0.007240322399880345
mmfm_v2,task3,5T_to_3T,3,0.3717894139766622,0.8860480311960764,0.06813864221150177,0.06264990383691225,0.007529388157723181,0.004960536058925425
mmfm_v2,task3,5T_to_7T,3,0.5203684094786002,0.9033818501755425,0.07030597596256018,0.20231084267596236,0.0019028270587803122,0.004901717901231337
mmfm_v2,task3,7T_to_0.1T,3,0.35980520065245675,0.8791938454141728,0.11107471281473165,0.11481412385206766,0.007676645519456644,0.005897657386503272
mmfm_v2,task3,7T_to_1.5T,3,0.4573108312564007,0.8745271105104253,0.09808851070350892,0.14242290456240042,0.027055042243447177,0.00962792253552262
mmfm_v2,task3,7T_to_3T,3,0.42884340912401414,0.8639255017355074,0.09816603176159817,0.16525338267342038,0.029172429806251583,0.0025066087559077526
mmfm_v2,task3,7T_to_5T,3,0.44457478846549164,0.903161074324263,0.09153277830023047,0.024349280937064923,0.005202809425116295,0.009762058058462983
