split,field,subject,inr_nrmse,inr_ssim,vae_nrmse,vae_ssim,inr_fit_time_s
prospective,0.1T,0006,0.2256066513789803,0.6538761955867675,0.0838070644378616,0.9502656614831466,1.12
prospective,1.5T,0006,0.23597314105505612,0.5032783095364941,0.1351840416110291,0.9084764509078508,0.36
prospective,3T,0006,0.23148869136436118,0.6858073163663013,0.14334489702975195,0.907223001877322,0.36
prospective,5T,0006,0.2577524610595322,0.635770436598448,0.17974675373791854,0.8892575530429523,0.36
prospective,7T,0006,0.43875191760773447,0.6552281417601825,0.21969043741998545,0.8997910168625701,0.36
prospective,0.1T,0007,0.21114216000642916,0.5588988215804095,0.08440729811023487,0.9440492401558781,0.37
prospective,1.5T,0007,0.21007254700894024,0.536409855621271,0.12246085921179424,0.9003997288561904,0.37
prospective,3T,0007,0.23912545466259166,0.682269647726854,0.12805803724001483,0.9041221168218214,0.37
prospective,5T,0007,0.25861408456753565,0.5221559347757716,0.1678447211496404,0.8785777618810936,0.37
prospective,7T,0007,0.3900285253702653,0.6537495023401927,0.20818029061142346,0.8921779267320596,0.36
prospective,0.1T,0009,0.26430254794639324,0.6806830525209004,0.09063846342180616,0.9452038525578363,0.37
prospective,1.5T,0009,0.23260423107660785,0.630954556247661,0.1284447991636305,0.9090182330921143,0.37
prospective,3T,0009,0.27223173876224327,0.5500740580499835,0.1284044505812533,0.9123347107351824,0.36
prospective,5T,0009,0.26997054644746,0.5839916375150763,0.16785774436293663,0.8944199792707822,0.36
prospective,7T,0009,0.3474449966557038,0.630169329238918,0.2485074609172054,0.8935701417747921,0.37
retro_train,0.1T,0001.nii,0.28414178623443875,0.5656945832097452,0.10177038073395055,0.945607420632569,0.37
retro_train,0.1T,0002.nii,0.2573947907469183,0.6068808040616714,0.10480664058274507,0.9339825291563303,0.37
retro_train,0.1T,0003.nii,0.3137250160511908,0.4652333483989162,0.11157619066730085,0.9400898071771472,0.36
retro_train,1.5T,0101.nii,0.27111198726221375,0.6366223518636239,0.1292701846051059,0.9238702180287024,0.36
retro_train,1.5T,0107.nii,0.24765688991301577,0.7033675018449521,0.12285023753678168,0.9177135085065552,0.37
retro_train,1.5T,0109.nii,0.24773851356779877,0.4783036173088713,0.12073136253549732,0.924138875944264,0.37
retro_train,3T,0329.nii,0.3884878596722223,0.6645687330888288,0.21956985398904766,0.905570309405401,0.36
retro_train,3T,0330.nii,0.5089943345190283,0.5552000484375045,0.2044344635552599,0.9170009586072031,0.37
retro_train,3T,0331.nii,0.4565289775838711,0.42524019642895916,0.19608805475925373,0.9108275347225537,0.37
retro_train,5T,0515.nii,0.29139675128979875,0.6539835025246473,0.19389167992202858,0.8803302203102776,0.37
retro_train,5T,0516.nii,0.28373702023515013,0.5969546512087109,0.1881857732116174,0.8819119903640091,0.37
retro_train,5T,0517.nii,0.306872613855492,0.6324440475662471,0.21002011331648798,0.8870197972445796,0.36
retro_train,7T,0822.nii,0.40124179974044394,0.440544105027665,0.1889208172689275,0.9044647787710836,0.37
retro_train,7T,0823.nii,0.47148093345004355,0.4377757053970221,0.2409869113369517,0.8967894411366264,0.36
retro_train,7T,0824.nii,0.31362720102318004,0.6825515544850616,0.19687134895455438,0.8937514519875699,0.36
