split,field,subject,inr_nrmse,inr_ssim,vae_nrmse,vae_ssim,inr_fit_time_s
prospective,0.1T,0006,0.27730242064373134,0.7564784150940631,0.08380548991550656,0.9502596876027299,1.1
prospective,1.5T,0006,0.2481392165917787,0.48796096671365524,0.1351840416110291,0.9084764509078508,0.36
prospective,3T,0006,0.24294260461347636,0.5172583747305843,0.14334489702975195,0.907223001877322,0.36
prospective,5T,0006,0.26271679641585394,0.4695135035807725,0.17974675373791854,0.8892575530429523,0.36
prospective,7T,0006,0.41609294580150524,0.7034311052932264,0.21968903979776722,0.8998095524706428,0.36
prospective,0.1T,0007,0.2245355912716744,0.47854283723181607,0.08440729811023487,0.9440492401558781,0.36
prospective,1.5T,0007,0.24323948451573374,0.46004374765661005,0.12246085921179424,0.9003997288561904,0.36
prospective,3T,0007,0.23698101060760454,0.4597984424344731,0.12805803724001483,0.9041221168218214,0.36
prospective,5T,0007,0.2568806179584959,0.4448375076589008,0.1678447211496404,0.8785777618810936,0.36
prospective,7T,0007,0.4165923288177551,0.5841017359352949,0.20817870174964656,0.8921832986785379,0.36
prospective,0.1T,0009,0.22559180269812146,0.7233424169140996,0.09063846342180616,0.9452038525578363,0.36
prospective,1.5T,0009,0.3073097092098971,0.6809268138237539,0.1284447991636305,0.9090182330921143,0.36
prospective,3T,0009,0.21852793903499168,0.6601211967518494,0.1284044505812533,0.9123347107351824,0.36
prospective,5T,0009,0.28537465416790775,0.678135454527266,0.16786308321885432,0.8944233280091967,0.36
prospective,7T,0009,0.40474839881829733,0.663644559379116,0.2485074609172054,0.8935701417747921,0.36
retro_train,0.1T,0001.nii,0.2900274225606939,0.6001897504579893,0.10177038073395055,0.945607420632569,0.36
retro_train,0.1T,0002.nii,0.26949355861990837,0.7132030370044761,0.10480664058274507,0.9339825291563303,0.36
retro_train,0.1T,0003.nii,0.2322074124739667,0.7092884157399933,0.11157619066730085,0.9400898071771472,0.37
retro_train,1.5T,0101.nii,0.29103384509774344,0.6138507761513734,0.1292701846051059,0.9238702180287024,0.36
retro_train,1.5T,0107.nii,0.24305500328345062,0.5836504112033349,0.12285023753678168,0.9177135085065552,0.36
retro_train,1.5T,0109.nii,0.2286332631451278,0.6347326787834904,0.12073136253549732,0.924138875944264,0.36
retro_train,3T,0329.nii,0.3371417650841622,0.7152400302276631,0.2195713235125796,0.9054388525617368,0.36
retro_train,3T,0330.nii,0.4207435455994779,0.602239403858933,0.2044323528160555,0.9169732690575164,0.36
retro_train,3T,0331.nii,0.2708048721722462,0.681151497131669,0.19607703665453527,0.9108144659908521,0.37
retro_train,5T,0515.nii,0.37530943383017723,0.6882508173839327,0.19389167992202858,0.8803302203102776,0.37
retro_train,5T,0516.nii,0.28117782396581026,0.4377644010101642,0.18819645545184518,0.8819104154002902,0.37
retro_train,5T,0517.nii,0.30313947684575204,0.6987378492728039,0.21002011331648798,0.8870197972445796,0.38
retro_train,7T,0822.nii,0.27831592566128815,0.6972218056621292,0.1889208172689275,0.9044647787710836,0.36
retro_train,7T,0823.nii,0.3320225176821723,0.6767502855814341,0.24098219342431634,0.8967855692291746,0.37
retro_train,7T,0824.nii,0.3073569309157021,0.6942857116833805,0.19687082421668736,0.8939067699725824,0.37
