resolution,spacing_mm,variant,subject,field,nrmse,ssim,seconds
2mm_96x112x96,2.0,inr,0006,0.1T,0.14763,0.88257,2.7
2mm_96x112x96,2.0,inr,0006,3T,0.18897,0.83079,2.0
2mm_96x112x96,2.0,inr,0006,7T,0.28593,0.80252,2.0
2mm_96x112x96,2.0,inr,0007,0.1T,0.14597,0.85712,2.1
2mm_96x112x96,2.0,inr,0007,3T,0.17266,0.81741,2.1
2mm_96x112x96,2.0,inr,0007,7T,0.27226,0.78226,2.0
2mm_96x112x96,2.0,inr,0009,0.1T,0.1551,0.88421,2.1
2mm_96x112x96,2.0,inr,0009,3T,0.17327,0.845,2.0
2mm_96x112x96,2.0,inr,0009,7T,0.30518,0.808,2.1
1mm_192x224x192,1.0,inr,0006,0.1T,0.15478,0.85673,2.1
1mm_192x224x192,1.0,inr,0006,3T,0.19352,0.80077,2.1
1mm_192x224x192,1.0,inr,0006,7T,0.28872,0.78164,2.1
1mm_192x224x192,1.0,inr,0007,0.1T,0.14984,0.83505,2.1
1mm_192x224x192,1.0,inr,0007,3T,0.17614,0.78225,2.1
1mm_192x224x192,1.0,inr,0007,7T,0.27417,0.76138,2.1
1mm_192x224x192,1.0,inr,0009,0.1T,0.16016,0.85555,2.1
1mm_192x224x192,1.0,inr,0009,3T,0.17683,0.8128,2.1
1mm_192x224x192,1.0,inr,0009,7T,0.30696,0.78623,2.1
