method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_inr,task3,0.1T_to_1.5T,3,0.364808846613343,0.8248998298813426,0.19451499742584122,0.03791185560333612,0.0043509061792422025,0.010551606630789133
mmfm_inr,task3,0.1T_to_3T,3,0.35065611293876575,0.7942967769271929,0.20349817193869138,0.048850510973154335,0.009094634257288365,0.009442829482762547
mmfm_inr,task3,0.1T_to_5T,3,0.429477519567767,0.8587649394786058,0.19345910601593552,0.08155932089429987,0.006179337595679116,0.015155611770823906
mmfm_inr,task3,0.1T_to_7T,3,0.6650330068135792,0.8377505156446122,0.20398208737502702,0.2810895987627827,0.010610131131637106,0.012585838942951259
mmfm_inr,task3,1.5T_to_0.1T,3,0.2815161693332226,0.8424346103051438,0.18863291504494337,0.02556123565901091,0.002484134052714818,0.0015117582944716807
mmfm_inr,task3,1.5T_to_3T,3,0.31959583137323017,0.8015002154766869,0.19548871118324596,0.019923461583634075,0.009045167142303419,0.011790949262332564
mmfm_inr,task3,1.5T_to_5T,3,0.5056073196517619,0.8610904900146416,0.18675679870914827,0.050237092911033066,0.006141542121169436,0.015922898772634347
mmfm_inr,task3,1.5T_to_7T,3,0.8123648480358892,0.832372742020827,0.20501910977816604,0.43102851032165185,0.007223954704024082,0.014304154289678178
mmfm_inr,task3,3T_to_0.1T,3,0.2732169463220742,0.8477463110943363,0.1857775175582446,0.019533965544987368,0.0028777661159592764,0.0018966697174371391
mmfm_inr,task3,3T_to_1.5T,3,0.3291928920773391,0.8398620640464592,0.1843800599340618,0.01750027303361532,0.007090573657928533,0.010446632238930446
mmfm_inr,task3,3T_to_5T,3,0.4794099388659634,0.8671481301046599,0.1825892484207232,0.030319623154037755,0.006176408262107173,0.015698261123334792
mmfm_inr,task3,3T_to_7T,3,0.7901034351337692,0.8390711840192587,0.19833856349115073,0.4518373103167512,0.005819306302696954,0.010030954385659202
mmfm_inr,task3,5T_to_0.1T,3,0.3806335064040063,0.8427753724816802,0.17046250708688002,0.05450924831066269,0.012511034461788754,0.011425682985886384
mmfm_inr,task3,5T_to_1.5T,3,0.5008990685076277,0.8222467922928454,0.18922931258122544,0.026353603881749014,0.011843668673079549,0.018263429849657727
mmfm_inr,task3,5T_to_3T,3,0.449548115683817,0.7983174887077665,0.1918422177545719,0.04248204969985102,0.00941012047136351,0.014584632059269593
mmfm_inr,task3,5T_to_7T,3,0.5967866003178962,0.8498232765973199,0.19946674703282583,0.16690786089637014,0.016828001269119475,0.020147951741065907
mmfm_inr,task3,7T_to_0.1T,3,0.34783177578168306,0.8402619204927159,0.17509855126233898,0.054696525610854266,0.007879915118125988,0.0012703535866360265
mmfm_inr,task3,7T_to_1.5T,3,0.4639189447938749,0.821186580974687,0.192595281953019,0.07503965408171,0.009904221546171951,0.014561793297526859
mmfm_inr,task3,7T_to_3T,3,0.41886667767818325,0.7946589504367116,0.1969129062999322,0.09122766786755765,0.00832510986271786,0.011004191846759473
mmfm_inr,task3,7T_to_5T,3,0.37326959126982834,0.8670660092570173,0.19079418954176583,0.023055645286264415,0.005115952145574416,0.019051632921470076
