method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_unet,task3,0.1T_to_1.5T,3,0.2461233001686245,0.8878629670927496,0.14208590005737184,0.04587200443114793,0.0023019966613436684,0.008891701240045555
mmfm_unet,task3,0.1T_to_3T,3,0.24121071413645553,0.8559104316801228,0.16215056333934869,0.023749447476381653,0.00873375212046534,0.008353403793720331
mmfm_unet,task3,0.1T_to_5T,3,0.491698805198544,0.8945310322055325,0.16802269389716054,0.08320239402737682,0.009521127713991093,0.012562165379834659
mmfm_unet,task3,0.1T_to_7T,3,0.7822309942518378,0.8630237782200769,0.1680855153526933,0.46721309158295565,0.0009987809461742192,0.008410570021798045
mmfm_unet,task3,1.5T_to_0.1T,3,0.23043135479529267,0.9011191079642625,0.09348912617918671,0.05546009273580696,0.005656425656945729,0.005678009168941922
mmfm_unet,task3,1.5T_to_3T,3,0.25499131304241174,0.8513873881184514,0.1480309778044477,0.09052871467918253,0.003049099782427551,0.00843481690612929
mmfm_unet,task3,1.5T_to_5T,3,0.6928668887950035,0.8794477658567513,0.15169317508770117,0.07822948407924418,0.007758860345432263,0.01209278905675934
mmfm_unet,task3,1.5T_to_7T,3,1.0353323597742876,0.8464519984074221,0.16290257572641675,0.6797892693593283,0.010723028424947696,0.006231414019369742
mmfm_unet,task3,3T_to_0.1T,3,0.19745839927519526,0.913800657689189,0.07968453175266342,0.03595399183872127,0.005288865947345942,0.005345155759536192
mmfm_unet,task3,3T_to_1.5T,3,0.22743307016073447,0.891920815216479,0.11948305657635293,0.06309264646551346,0.009664275127944563,0.015759919183049358
mmfm_unet,task3,3T_to_5T,3,0.52626814213478,0.8961462962072826,0.1454573321748773,0.08596957867823364,0.005223321187863187,0.014230123762692563
mmfm_unet,task3,3T_to_7T,3,0.9066064833429116,0.8585464838621558,0.1550268076581791,0.678544794274923,0.012483320480547991,0.004895883819908588
mmfm_unet,task3,5T_to_0.1T,3,0.34053374678020654,0.8992836441679947,0.07940141398396423,0.03877259682511557,0.009904448649285802,0.006924168594335214
mmfm_unet,task3,5T_to_1.5T,3,0.4557021282791231,0.8635628777715431,0.12993387156283512,0.026050669540038863,0.010284004127093979,0.011962946992651572
mmfm_unet,task3,5T_to_3T,3,0.39325976589040423,0.8432035969066186,0.141698642423573,0.06152793980000748,0.011934793810949052,0.006227467980110656
mmfm_unet,task3,5T_to_7T,3,0.5596023180492379,0.8774285110717921,0.14583171154652777,0.2217659515710673,0.01117069397662279,0.011214600272922546
mmfm_unet,task3,7T_to_0.1T,3,0.43885546880911974,0.8702432559637966,0.10019752429324817,0.1281769363893232,0.019067959527925633,0.006203431656274818
mmfm_unet,task3,7T_to_1.5T,3,0.5207749789706901,0.8418283689958358,0.15870215214669864,0.1442122404815149,0.024997119045419413,0.014464794932355342
mmfm_unet,task3,7T_to_3T,3,0.4779965621926645,0.8235198476993899,0.16535934747966788,0.16183448229046427,0.024596372372504196,0.00385396182513245
mmfm_unet,task3,7T_to_5T,3,0.46322184829081126,0.8830561893271103,0.16672639295289624,0.03597363393274249,0.00569632285028124,0.009147437885383905
