method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.24079882100558378,0.9182436355590992,0.10944302906889687,0.048503756959703284,0.0019383725593928765,0.008430368619795266
mmfm_v2,task3,0.1T_to_3T,3,0.23049501612093906,0.8932140653679103,0.1331192661662905,0.03264171673974763,0.01139802915448172,0.008208894669235927
mmfm_v2,task3,0.1T_to_5T,3,0.4434046783277798,0.9175720330124469,0.14064974365910562,0.08103239681054018,0.008609314155038593,0.011989511927425981
mmfm_v2,task3,0.1T_to_7T,3,0.6989885209131961,0.889308853585678,0.1326804910111259,0.4434418538808178,0.006040298792129331,0.004388875500922412
mmfm_v2,task3,1.5T_to_0.1T,3,0.22820726851747278,0.9119871972901858,0.08700271866253544,0.05711537404647648,0.00688268355842874,0.003041515955389752
mmfm_v2,task3,1.5T_to_3T,3,0.23108729439836306,0.8916970512961352,0.10071229932182298,0.09157521834444356,0.0018613102624402953,0.004342979041500629
mmfm_v2,task3,1.5T_to_5T,3,0.653724775706537,0.9017142304895002,0.10512618959065904,0.07934729388151095,0.009072797697389999,0.009658347756503276
mmfm_v2,task3,1.5T_to_7T,3,0.9629015682203453,0.8708101350054728,0.11713137200329969,0.6667140618522401,0.021288176440514093,0.012484280357929723
mmfm_v2,task3,3T_to_0.1T,3,0.19600200503817464,0.9198055188733255,0.08143206384545984,0.039514472712314445,0.008188220364310158,0.008493646411438764
mmfm_v2,task3,3T_to_1.5T,3,0.2007419691410164,0.9295142514234295,0.0639395091170395,0.071969571040077,0.009221976309419039,0.010647284071158098
mmfm_v2,task3,3T_to_5T,3,0.49053922365763897,0.9212048761854623,0.08577938187650519,0.0927887756244774,0.006466104009426894,0.007833261240820902
mmfm_v2,task3,3T_to_7T,3,0.8470725905289767,0.8872109797434219,0.09586112248406846,0.6784011009332147,0.025264744554151175,0.013306041762726479
mmfm_v2,task3,5T_to_0.1T,3,0.30124854088197794,0.9068063745710188,0.09602711417794384,0.0381311417721266,0.009201487062293635,0.013667716244071103
mmfm_v2,task3,5T_to_1.5T,3,0.4235834045563908,0.8982194657930695,0.0725721598599519,0.025028118700620976,0.01179602634650491,0.007563169797292683
mmfm_v2,task3,5T_to_3T,3,0.3700176580098495,0.8895253809238562,0.06935816072105314,0.06473403484927007,0.009004098135210425,0.005783693852987848
mmfm_v2,task3,5T_to_7T,3,0.5181782270689943,0.9063338511063925,0.07079481637911833,0.20087803545612123,0.002421134972604433,0.003703861698003712
mmfm_v2,task3,7T_to_0.1T,3,0.3531640944225168,0.8858410683771787,0.10102401438300442,0.11711448964175213,0.009202487152346808,0.004501019644106873
mmfm_v2,task3,7T_to_1.5T,3,0.4522701395834437,0.877839028945572,0.10430556523087897,0.14499813643220205,0.028385853806526196,0.010764644737718699
mmfm_v2,task3,7T_to_3T,3,0.4244278031648497,0.8669313694354104,0.1030595779035511,0.1686161892226392,0.03088757812526344,0.0018461505901113454
mmfm_v2,task3,7T_to_5T,3,0.44095689519333,0.9061645155976118,0.099159354385079,0.026359424843116243,0.0062961214788098685,0.010092601128800421
