20 paires communes

                                     UNet réf             UNet AdaGN          écart
  NRMSE                                0.4617                 0.4623      +0.0007 ✗
  SSIM                                 0.8955                 0.8954      -0.0001 ✗
  LPIPS                                0.1014                 0.1015      +0.0001 ✗

  paires gagnées en nRMSE : 3/20

--- nRMSE par champ CIBLE ---
   cible   n               UNet réf             UNet AdaGN          écart
    0.1T   4                 0.3017                 0.3027      +0.0010 ✗
    1.5T   4                 0.3526                 0.3530      +0.0004 ✗
      3T   4                 0.3299                 0.3302      +0.0003 ✗
      5T   4                 0.5286                 0.5293      +0.0007 ✗
      7T   4                 0.7956                 0.7966      +0.0009 ✗

--- détail par paire (nRMSE) ---
  0.1T_to_1.5T             0.2332 ->   0.2329   -0.0003 ✓
  1.5T_to_0.1T             0.2236 ->   0.2235   -0.0001 ✓
  0.1T_to_3T               0.2251 ->   0.2250   -0.0000 ✓
  7T_to_5T                 0.4604 ->   0.4604   +0.0000 ✗
  1.5T_to_3T               0.2332 ->   0.2333   +0.0001 ✗
  3T_to_1.5T               0.2061 ->   0.2063   +0.0002 ✗
  3T_to_0.1T               0.1930 ->   0.1933   +0.0003 ✗
  5T_to_7T                 0.5337 ->   0.5340   +0.0003 ✗
  7T_to_3T                 0.4758 ->   0.4763   +0.0005 ✗
  3T_to_5T                 0.5037 ->   0.5042   +0.0005 ✗
  7T_to_1.5T               0.5206 ->   0.5213   +0.0007 ✗
  1.5T_to_5T               0.6765 ->   0.6773   +0.0008 ✗
  3T_to_7T                 0.8774 ->   0.8782   +0.0008 ✗
  5T_to_3T                 0.3854 ->   0.3862   +0.0008 ✗
  1.5T_to_7T               1.0131 ->   1.0141   +0.0010 ✗
  5T_to_1.5T               0.4505 ->   0.4515   +0.0010 ✗
  0.1T_to_5T               0.4738 ->   0.4751   +0.0014 ✗
  0.1T_to_7T               0.7585 ->   0.7601   +0.0017 ✗
  7T_to_0.1T               0.4482 ->   0.4500   +0.0018 ✗
  5T_to_0.1T               0.3420 ->   0.3440   +0.0020 ✗
