method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_unet,task3,0.1T_to_1.5T,3,0.2328957744729422,0.9190648165003092,0.10936080723774538,0.048393989709409446,0.001417785249284626,0.008492915055473994
mmfm_unet,task3,0.1T_to_3T,3,0.22504135900950697,0.893634180631579,0.13349969981765283,0.02670784702302445,0.011168902205842192,0.00838670387415885
mmfm_unet,task3,0.1T_to_5T,3,0.47513632388259697,0.9159446117563889,0.1421935181722769,0.08610168978914776,0.009353700916411757,0.012328427029140016
mmfm_unet,task3,0.1T_to_7T,3,0.7601408520778422,0.8844443654213379,0.13770003859736996,0.4699109066908562,0.006866111449704451,0.004210112904185736
mmfm_unet,task3,1.5T_to_0.1T,3,0.22350630523717574,0.9125102393191172,0.08665166985303185,0.05683934003028725,0.0063489165317216325,0.0035083439389966237
mmfm_unet,task3,1.5T_to_3T,3,0.2332573743107985,0.8905465287698275,0.10148649252642623,0.09568412326450541,0.001965959093106003,0.0043762340314817865
mmfm_unet,task3,1.5T_to_5T,3,0.6772586702605058,0.8993639317279692,0.10670380844938343,0.08082618512179231,0.008851116172156597,0.009790339266246595
mmfm_unet,task3,1.5T_to_7T,3,1.014083344787455,0.8665733872199034,0.12100733338523617,0.6869569796630187,0.021234094718083792,0.012054348183403155
mmfm_unet,task3,3T_to_0.1T,3,0.19328442447821081,0.9195607032033631,0.08195471856236523,0.03474426415959411,0.00743271587738007,0.008423918432528276
mmfm_unet,task3,3T_to_1.5T,3,0.20628213475020937,0.9293741645968797,0.06336495121566489,0.07498084374652073,0.009790946960602861,0.010787354417551524
mmfm_unet,task3,3T_to_5T,3,0.5042466419494916,0.9199897922445661,0.08689761674337332,0.09030252161755482,0.006576300828631153,0.0076670128688412385
mmfm_unet,task3,3T_to_7T,3,0.8781733219727794,0.8845147070908497,0.09910639445821566,0.6884697745333533,0.025382649987809935,0.013391878348825357
mmfm_unet,task3,5T_to_0.1T,3,0.34395866751372656,0.9005520706363085,0.10298366254309878,0.03998556902850924,0.010899103679053017,0.015451331539053668
mmfm_unet,task3,5T_to_1.5T,3,0.4515220211508227,0.8934045904545296,0.07400618181230535,0.027561588588902283,0.012309959628951872,0.007564957320121366
mmfm_unet,task3,5T_to_3T,3,0.38619244805156017,0.8873236050216448,0.07004745522343044,0.061354236311463674,0.008922732503926402,0.005619646906976287
mmfm_unet,task3,5T_to_7T,3,0.5339665289964407,0.9045233914737335,0.07276594878548198,0.2236988731018333,0.001196787907681837,0.004311175158039696
mmfm_unet,task3,7T_to_0.1T,3,0.44998331629847904,0.865917744596254,0.11464463241793277,0.12946169597322504,0.014884317709076667,0.0021304415388320856
mmfm_unet,task3,7T_to_1.5T,3,0.5212937497764013,0.8632803350958085,0.11399036012602369,0.14961936208401538,0.033408140223086094,0.013776089345379345
mmfm_unet,task3,7T_to_3T,3,0.4763183851752537,0.8574511430151402,0.10881193032044507,0.16739181210022946,0.03431153445257759,0.0023536019425947296
mmfm_unet,task3,7T_to_5T,3,0.46040502955307244,0.9003790338520399,0.10250927323824317,0.04261483307591225,0.009729611800683236,0.009901070493007006
