20 paires communes

                                     IDENTITE              Vectorise          écart
  NRMSE                                0.9273                 0.4354      -0.4920 ✓
  SSIM                                 0.8699                 0.8995      +0.0296 ✓
  LPIPS                                0.1055                 0.0985      -0.0070 ✓

  paires gagnées en nRMSE : 18/20

--- nRMSE par champ CIBLE ---
   cible   n               IDENTITE              Vectorise          écart
    0.1T   4                 0.4554                 0.2697      -0.1857 ✓
    1.5T   4                 0.4458                 0.3293      -0.1164 ✓
      3T   4                 0.4369                 0.3140      -0.1229 ✓
      5T   4                 1.3596                 0.5072      -0.8525 ✓
      7T   4                 1.9391                 0.7568      -1.1823 ✓

--- détail par paire (nRMSE) ---
  0.1T_to_7T               2.6413 ->   0.6990   -1.9423 ✓
  3T_to_7T                 2.5063 ->   0.8471   -1.6592 ✓
  0.1T_to_5T               1.9501 ->   0.4434   -1.5067 ✓
  3T_to_5T                 1.6957 ->   0.4905   -1.2051 ✓
  1.5T_to_7T               2.0272 ->   0.9629   -1.0643 ✓
  1.5T_to_5T               1.3536 ->   0.6537   -0.6999 ✓
  5T_to_0.1T               0.6666 ->   0.3012   -0.3654 ✓
  7T_to_0.1T               0.7142 ->   0.3532   -0.3610 ✓
  5T_to_3T                 0.6298 ->   0.3700   -0.2598 ✓
  7T_to_3T                 0.6743 ->   0.4244   -0.2499 ✓
  7T_to_1.5T               0.6441 ->   0.4523   -0.1919 ✓
  5T_to_1.5T               0.5808 ->   0.4236   -0.1572 ✓
  0.1T_to_1.5T             0.3092 ->   0.2408   -0.0684 ✓
  5T_to_7T                 0.5815 ->   0.5182   -0.0633 ✓
  3T_to_1.5T               0.2489 ->   0.2007   -0.0482 ✓
  1.5T_to_0.1T             0.2438 ->   0.2282   -0.0156 ✓
  0.1T_to_3T               0.2337 ->   0.2305   -0.0032 ✓
  3T_to_0.1T               0.1969 ->   0.1960   -0.0009 ✓
  7T_to_5T                 0.4391 ->   0.4410   +0.0018 ✗
  1.5T_to_3T               0.2097 ->   0.2311   +0.0213 ✗
