method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.496828214879633,0.8874028727929996,0.1310038313227958,0.16148518254841424,0.017985474893288955,0.011960417383324649
mmfm_v2,task3,0.1T_to_3T,3,0.505279138051102,0.8602743384813586,0.14243889984259803,0.16965384109916443,0.01550748385700904,0.01075393934784352
mmfm_v2,task3,0.1T_to_5T,3,0.4213990998102444,0.8789714866600206,0.14137303605244742,0.061898747018931485,0.009055506598995,0.009121634028107197
mmfm_v2,task3,0.1T_to_7T,3,0.36719573010370765,0.8972502129285348,0.12669715617204952,0.0808567359126246,0.015067727901285407,0.014554738915447316
mmfm_v2,task3,1.5T_to_0.1T,3,0.3352830497701595,0.8963693139276057,0.08607671340230033,0.06655177443323612,0.01541486485934773,0.012870795967298164
mmfm_v2,task3,1.5T_to_3T,3,0.2749902814034333,0.8951436602013195,0.08332163791864249,0.0185037579275104,0.007867493154629557,0.008259598468351767
mmfm_v2,task3,1.5T_to_5T,3,0.3282547896911903,0.8987986795707562,0.09059524274316579,0.03636213740247139,0.00805934737491417,0.010159206635944398
mmfm_v2,task3,1.5T_to_7T,3,0.417159143575019,0.8871627789618716,0.09032082024736264,0.052254888361034334,0.010884635616189853,0.01098229050037551
mmfm_v2,task3,3T_to_0.1T,3,0.3130835521431445,0.8860534196047612,0.09526845896470161,0.06878466615025014,0.01447616586788738,0.008995990398105643
mmfm_v2,task3,3T_to_1.5T,3,0.2419041997574781,0.9118112082716573,0.06422980301157148,0.014834619034833374,0.007727152557177043,0.007839078614467386
mmfm_v2,task3,3T_to_5T,3,0.2673709681660043,0.9155619648112228,0.06551009362593914,0.048024869591725514,0.01042521808050789,0.00870433867613012
mmfm_v2,task3,3T_to_7T,3,0.3616246403417112,0.9046885506147463,0.0740230296034046,0.0688916630149586,0.015653732033631546,0.010012727778983006
mmfm_v2,task3,5T_to_0.1T,3,0.2783048352495448,0.8905243998809956,0.09633264031880018,0.03148620736582938,0.008179374329881252,0.005755600803440937
mmfm_v2,task3,5T_to_1.5T,3,0.27581159811195527,0.9122619453993184,0.06447189113638434,0.04423849857153139,0.007806193315171734,0.005760015921602395
mmfm_v2,task3,5T_to_3T,3,0.25268685132146135,0.9056268809054249,0.061615891540474456,0.05434981715594496,0.008137049236447907,0.006474447652777133
mmfm_v2,task3,5T_to_7T,3,0.3019217466702539,0.9192032401879854,0.06382991070263676,0.012879925367613917,0.007228185708291482,0.00842565373399151
mmfm_v2,task3,7T_to_0.1T,3,0.24394404308305898,0.9038381275266373,0.08776138875394952,0.03867591121654976,0.013943903582873535,0.01189072624770871
mmfm_v2,task3,7T_to_1.5T,3,0.3876348624660458,0.9067354500210317,0.08233861221987938,0.08826382299344829,0.010037457992318335,0.01129894296874297
mmfm_v2,task3,7T_to_3T,3,0.3697432611412599,0.8907542101072611,0.08921481544599957,0.09890841081855964,0.012548207399738864,0.011991717411564797
mmfm_v2,task3,7T_to_5T,3,0.31205651159530023,0.9114253931766515,0.08614203465041337,0.013833391805091015,0.0100544115032499,0.013415073798529818
