20 paires communes

                                    sans flip              avec flip          écart
  NRMSE                                0.4354                 0.4353      -0.0001 ✓
  SSIM                                 0.8995                 0.8997      +0.0002 ✓
  LPIPS                                0.0985                 0.0983      -0.0001 ✓

  paires gagnées en nRMSE : 13/20

--- nRMSE par champ CIBLE ---
   cible   n              sans flip              avec flip          écart
    0.1T   4                 0.2697                 0.2709      +0.0013 ✗
    1.5T   4                 0.3293                 0.3306      +0.0013 ✗
      3T   4                 0.3140                 0.3146      +0.0005 ✗
      5T   4                 0.5072                 0.5061      -0.0011 ✓
      7T   4                 0.7568                 0.7542      -0.0026 ✓

--- détail par paire (nRMSE) ---
  1.5T_to_7T               0.9629 ->   0.9569   -0.0060 ✓
  3T_to_7T                 0.8471 ->   0.8449   -0.0022 ✓
  1.5T_to_5T               0.6537 ->   0.6517   -0.0020 ✓
  5T_to_7T                 0.5182 ->   0.5171   -0.0011 ✓
  0.1T_to_3T               0.2305 ->   0.2295   -0.0010 ✓
  0.1T_to_7T               0.6990 ->   0.6980   -0.0010 ✓
  0.1T_to_5T               0.4434 ->   0.4425   -0.0009 ✓
  3T_to_5T                 0.4905 ->   0.4899   -0.0007 ✓
  7T_to_5T                 0.4410 ->   0.4404   -0.0006 ✓
  0.1T_to_1.5T             0.2408 ->   0.2405   -0.0003 ✓
  1.5T_to_3T               0.2311 ->   0.2309   -0.0002 ✓
  3T_to_1.5T               0.2007 ->   0.2006   -0.0001 ✓
  3T_to_0.1T               0.1960 ->   0.1959   -0.0001 ✓
  1.5T_to_0.1T             0.2282 ->   0.2283   +0.0001 ✗
  5T_to_3T                 0.3700 ->   0.3709   +0.0009 ✗
  5T_to_0.1T               0.3012 ->   0.3026   +0.0014 ✗
  5T_to_1.5T               0.4236 ->   0.4250   +0.0014 ✗
  7T_to_3T                 0.4244 ->   0.4270   +0.0026 ✗
  7T_to_0.1T               0.3532 ->   0.3568   +0.0036 ✗
  7T_to_1.5T               0.4523 ->   0.4564   +0.0042 ✗
