20 paires communes

                                         UNet         vectorise+flip          écart
  NRMSE                                0.4617                 0.4353      -0.0264 ✓
  SSIM                                 0.8955                 0.8997      +0.0041 ✓
  LPIPS                                0.1014                 0.0983      -0.0031 ✓

  paires gagnées en nRMSE : 16/20

--- nRMSE par champ CIBLE ---
   cible   n                   UNet         vectorise+flip          écart
    0.1T   4                 0.3017                 0.2709      -0.0308 ✓
    1.5T   4                 0.3526                 0.3306      -0.0219 ✓
      3T   4                 0.3299                 0.3146      -0.0153 ✓
      5T   4                 0.5286                 0.5061      -0.0225 ✓
      7T   4                 0.7956                 0.7542      -0.0414 ✓

--- détail par paire (nRMSE) ---
  7T_to_0.1T               0.4482 ->   0.3568   -0.0915 ✓
  7T_to_1.5T               0.5206 ->   0.4564   -0.0641 ✓
  0.1T_to_7T               0.7585 ->   0.6980   -0.0604 ✓
  1.5T_to_7T               1.0131 ->   0.9569   -0.0562 ✓
  7T_to_3T                 0.4758 ->   0.4270   -0.0488 ✓
  5T_to_0.1T               0.3420 ->   0.3026   -0.0394 ✓
  3T_to_7T                 0.8774 ->   0.8449   -0.0325 ✓
  0.1T_to_5T               0.4738 ->   0.4425   -0.0313 ✓
  5T_to_1.5T               0.4505 ->   0.4250   -0.0255 ✓
  1.5T_to_5T               0.6765 ->   0.6517   -0.0248 ✓
  7T_to_5T                 0.4604 ->   0.4404   -0.0200 ✓
  5T_to_7T                 0.5337 ->   0.5171   -0.0166 ✓
  5T_to_3T                 0.3854 ->   0.3709   -0.0145 ✓
  3T_to_5T                 0.5037 ->   0.4899   -0.0139 ✓
  3T_to_1.5T               0.2061 ->   0.2006   -0.0055 ✓
  1.5T_to_3T               0.2332 ->   0.2309   -0.0023 ✓
  3T_to_0.1T               0.1930 ->   0.1959   +0.0029 ✗
  0.1T_to_3T               0.2251 ->   0.2295   +0.0044 ✗
  1.5T_to_0.1T             0.2236 ->   0.2283   +0.0047 ✗
  0.1T_to_1.5T             0.2332 ->   0.2405   +0.0073 ✗
