method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.21278765409814412,0.8583745454396219,0.23172779894537396,0.043050100029058215,0.005638487273441595,0.009719541303930695
mmfm_v2,task3,0.1T_to_3T,3,0.21232419881049625,0.8211182344852617,0.29068531493345895,0.06435071021828996,0.009732059309847694,0.008763482485747391
mmfm_v2,task3,0.1T_to_5T,3,0.3444659283983797,0.8599983987644954,0.3039988438288371,0.07697886760290953,0.005063103290595107,0.006233948031512777
mmfm_v2,task3,0.1T_to_7T,3,0.5190728226679061,0.8251034797877851,0.295312985446718,0.333254840712777,0.01780157798507032,0.0050227646398424315
mmfm_v2,task3,1.5T_to_0.1T,3,0.16872211306740992,0.8869823286636443,0.14575523345006838,0.04031471169629088,0.0128900233965795,0.015495110490587629
mmfm_v2,task3,1.5T_to_3T,3,0.20374553761502523,0.8384058138960101,0.22776894519726434,0.05799695008410684,0.004350803473864283,0.004315756879147558
mmfm_v2,task3,1.5T_to_5T,3,0.5342187756584768,0.8579138740504421,0.2354099909464518,0.11872196246904926,0.011882694918901001,0.00855511815032743
mmfm_v2,task3,1.5T_to_7T,3,0.6834376442565119,0.8262595235361706,0.2409933292203479,0.5358165611388205,0.03230807358766753,0.03032916803845111
mmfm_v2,task3,3T_to_0.1T,3,0.15084341121122266,0.9022053978776358,0.12673353155454,0.033363567858182105,0.018530190419746177,0.021965474217652253
mmfm_v2,task3,3T_to_1.5T,3,0.17277905803704421,0.8836967725288295,0.14518116994036567,0.060647765169916615,0.010029372107714327,0.0163733406019602
mmfm_v2,task3,3T_to_5T,3,0.4297508735916297,0.8858712307202117,0.18998952110608416,0.08063408028497088,0.01719002362598476,0.003683558793590791
mmfm_v2,task3,3T_to_7T,3,0.6567484620089105,0.843905133335305,0.20670977665318382,0.5824355489288655,0.03726533456640017,0.029427559971346294
mmfm_v2,task3,5T_to_0.1T,3,0.24170696623377477,0.8935024768041439,0.13156680837273596,0.043677199447811725,0.009402740633869363,0.01701131168088338
mmfm_v2,task3,5T_to_1.5T,3,0.3585019908606482,0.8532531936520157,0.16311488184663983,0.054497673343699385,0.021340996011901668,0.008086312084478334
mmfm_v2,task3,5T_to_3T,3,0.3297887567864181,0.8460893139242539,0.17136750651730429,0.05468375718044737,0.010142861738003675,0.016659006497055307
mmfm_v2,task3,5T_to_7T,3,0.4811579139531088,0.8566106157522774,0.1613093261917432,0.11568240123620961,0.02837514373671547,0.005331546795950126
mmfm_v2,task3,7T_to_0.1T,3,0.24408196950461494,0.8671707202158645,0.1619907027317418,0.12320653232309818,0.013992686094060493,0.02081326178641154
mmfm_v2,task3,7T_to_1.5T,3,0.3208213594551335,0.8342681662915554,0.19016193697849912,0.17299723922228566,0.03521234897817729,0.023039397739823095
mmfm_v2,task3,7T_to_3T,3,0.307469717549198,0.8161646142522989,0.21408929145998426,0.19929074218678722,0.04045497267783441,0.009208398428916482
mmfm_v2,task3,7T_to_5T,3,0.44438128207937594,0.8665495222584646,0.19701243655549158,0.05489829265971618,0.009668092753578286,0.005395872671257455
