method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.17457451112470437,0.8051694230553315,0.2325767914454142,0.05356725864644079,0.04513478804958431,0.014201159874937766
mmfm_v2,task3,0.1T_to_3T,3,0.31321379329405935,0.7715985543745023,0.26893204715516833,0.11439216744412832,0.04768774059004012,0.03140477736859362
mmfm_v2,task3,0.1T_to_5T,3,0.24067172705981135,0.7947883157466538,0.2597872247298558,0.10563412498862958,0.03801387261100283,0.028423713381110695
mmfm_v2,task3,0.1T_to_7T,3,0.42659417510235204,0.8458328149825048,0.22130246195528244,0.15772613495095586,0.02422481855475602,0.01323233172535249
mmfm_v2,task3,1.5T_to_0.1T,3,0.180138262006572,0.8170313209587067,0.16719268129931555,0.0659823850114981,0.04175508404588914,0.02634006214732363
mmfm_v2,task3,1.5T_to_3T,3,0.25316355385491734,0.8318020894997878,0.17189133299721612,0.13016218289987025,0.031286089656383916,0.02179922157013962
mmfm_v2,task3,1.5T_to_5T,3,0.21325388562114958,0.8548731243774935,0.17023115307092665,0.10775930394547621,0.02128036341098229,0.026142302441954673
mmfm_v2,task3,1.5T_to_7T,3,0.43644292807049584,0.8810220136183221,0.1328330925769276,0.1129283077171271,0.028105228540984066,0.010893838889129962
mmfm_v2,task3,3T_to_0.1T,3,0.2811032114237681,0.8072583940979922,0.1860500337349044,0.1401446426793045,0.04851578983539965,0.050715693491101145
mmfm_v2,task3,3T_to_1.5T,3,0.2184984676032462,0.8531759997763269,0.1564304472671615,0.17854290909923806,0.02853480252720459,0.01500525224464245
mmfm_v2,task3,3T_to_5T,3,0.12682728384257333,0.8578775272396827,0.16621574577358034,0.030078571483422672,0.01301307562039958,0.020885578714828483
mmfm_v2,task3,3T_to_7T,3,0.700717884426874,0.8497856784974919,0.14683078544007408,0.3476785179007599,0.027592075668616867,0.02381709097263889
mmfm_v2,task3,5T_to_0.1T,3,0.22719428138190753,0.8062144554776678,0.16599472678369945,0.12127591160346599,0.05313763101252644,0.03415841546923543
mmfm_v2,task3,5T_to_1.5T,3,0.21242502235951086,0.8593131036749844,0.13178924297293027,0.14109979054732816,0.024252180073888952,0.003983516564050191
mmfm_v2,task3,5T_to_3T,3,0.17839867452769084,0.8470932607194511,0.1512635408176316,0.0211953916977278,0.01421832601782222,0.006464923434660448
mmfm_v2,task3,5T_to_7T,3,0.6475341208400822,0.8549611094134094,0.12319595482614304,0.35435103200957446,0.034023141785566306,0.010275655517113043
mmfm_v2,task3,7T_to_0.1T,3,0.28453867945884076,0.8029230881158028,0.17230748832225798,0.07276799041189405,0.04268335624167254,0.026939070071020418
mmfm_v2,task3,7T_to_1.5T,3,0.2880862295891389,0.8405228764436795,0.1591888921128379,0.053643898675965376,0.005585358619271492,0.00865884295794875
mmfm_v2,task3,7T_to_3T,3,0.4191584687987613,0.7972057568948415,0.182466653154956,0.12331215806425515,0.04038909296049017,0.019572207528042455
mmfm_v2,task3,7T_to_5T,3,0.3695432752386713,0.8202337038985629,0.16853602793481615,0.14384134745213129,0.02952449741821954,0.01661354292646444
