method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.5502732679466181,0.8214613843057936,0.2659735995862219,0.23065256748923477,0.03680249870270636,0.014493783403632261
mmfm_v2,task3,0.1T_to_3T,3,0.5340157421112465,0.7817676995584056,0.3049505121178097,0.24420659420763313,0.03636786707017069,0.017492405443528015
mmfm_v2,task3,0.1T_to_5T,3,0.4359257161039396,0.810611895471046,0.3033967210186852,0.11394527973310238,0.02100504932087111,0.010022661417111854
mmfm_v2,task3,0.1T_to_7T,3,0.29519111281277277,0.841059868107684,0.26510206229156924,0.06171846619747577,0.01223681306024211,0.013092023066753692
mmfm_v2,task3,1.5T_to_0.1T,3,0.3506810137639427,0.827854632855765,0.16203064049283664,0.1005477447972512,0.02889084712474139,0.029176314172178835
mmfm_v2,task3,1.5T_to_3T,3,0.24429786076582763,0.8528160398357144,0.17527424544095993,0.010931316838501553,0.004686658745050454,0.002409407211651803
mmfm_v2,task3,1.5T_to_5T,3,0.3142408547519537,0.8203328318069518,0.20047926273610858,0.020178524477514097,0.04200989174791759,0.012062062120370613
mmfm_v2,task3,1.5T_to_7T,3,0.4249214347554382,0.7287477672105295,0.20257599353790282,0.12759469488688702,0.11818585981530355,0.01810572787259593
mmfm_v2,task3,3T_to_0.1T,3,0.3214606059506589,0.8332497914888565,0.1634768108526866,0.12014716074633106,0.03236779112200617,0.021324710818302693
mmfm_v2,task3,3T_to_1.5T,3,0.2008511523750609,0.8883560136652814,0.1339092711607615,0.007200082092100139,0.004053268447234927,0.0050381047236855514
mmfm_v2,task3,3T_to_5T,3,0.2534923601164641,0.885425578821604,0.15919612265295455,0.0381246644187228,0.011793727029155371,0.007726068793092268
mmfm_v2,task3,3T_to_7T,3,0.3987632711506655,0.8446059553005444,0.17473982589112388,0.1046768121711019,0.03332399366534113,0.012431510823644793
mmfm_v2,task3,5T_to_0.1T,3,0.26906911627287183,0.8456433486377599,0.15131313668357002,0.07593390076008665,0.01594215487780751,0.019796355601482706
mmfm_v2,task3,5T_to_1.5T,3,0.24537043710086662,0.8816219929785712,0.14169825232691236,0.031852367532771084,0.00500445032822068,0.0019897317189193652
mmfm_v2,task3,5T_to_3T,3,0.23053096907188286,0.8654552727652621,0.14740201483170193,0.04922094290869364,0.012297357373275176,0.008595308917728283
mmfm_v2,task3,5T_to_7T,3,0.31919614534145313,0.8773817202670049,0.1386305501063665,0.06666899731433157,0.014194404464153723,0.015279154893128347
mmfm_v2,task3,7T_to_0.1T,3,0.20277478856245235,0.8651580225303844,0.14308255828089186,0.04164437455494882,0.026586725027521588,0.03509666483107297
mmfm_v2,task3,7T_to_1.5T,3,0.4364140081031252,0.8554037021043562,0.17831174946493575,0.1696942542513574,0.022686983698493222,0.0007611154973113126
mmfm_v2,task3,7T_to_3T,3,0.4279686468813632,0.8298014594005924,0.20426589118109809,0.14654473384858935,0.02032327303288921,0.009767090379137802
mmfm_v2,task3,7T_to_5T,3,0.3423803819578953,0.8680747463071641,0.18466818928718567,0.05563228086212639,0.007697839193433291,0.007763702014807679
