method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.21222521183329116,0.8528032354484899,0.22077467540899912,0.040963126893083096,0.005034757778134697,0.009164055438018945
mmfm_v2,task3,0.1T_to_3T,3,0.21244063561687154,0.8121953888277272,0.27494622667630514,0.06045845301884798,0.009353176427994669,0.005318796245546329
mmfm_v2,task3,0.1T_to_5T,3,0.38485336455837915,0.8491194351898033,0.2837347620063358,0.08643597789492781,0.004386702469360767,0.008594068455841134
mmfm_v2,task3,0.1T_to_7T,3,0.5039778562362014,0.8218460016981938,0.2697278940015369,0.3537867154132881,0.010864127542753226,0.008117929030059827
mmfm_v2,task3,1.5T_to_0.1T,3,0.17280674998136203,0.8735359866720618,0.15889369737770823,0.03860688847347585,0.01098861866427604,0.013215551324379739
mmfm_v2,task3,1.5T_to_3T,3,0.20681546965556905,0.825481438433183,0.2055020206504398,0.0661301702512149,0.0029449528611701966,0.004427325999474533
mmfm_v2,task3,1.5T_to_5T,3,0.5959219004941607,0.8376235085008362,0.209692410296864,0.09248060565195257,0.006166800486466194,0.01179497111090522
mmfm_v2,task3,1.5T_to_7T,3,0.6741682276721158,0.8161106453669694,0.21751477287875284,0.5479265668617501,0.033088171958136736,0.03767678417591922
mmfm_v2,task3,3T_to_0.1T,3,0.15188223991000824,0.8803724975268389,0.1479688559141424,0.03170133339768424,0.010702042324044137,0.021783081474119108
mmfm_v2,task3,3T_to_1.5T,3,0.1755961191949763,0.8715484879986156,0.13056344158119626,0.060524719718055744,0.013085131600012817,0.012498756895587814
mmfm_v2,task3,3T_to_5T,3,0.46531211179036064,0.8681696267388501,0.16413238826725218,0.09675590258807917,0.020095425818527166,0.003068641660913476
mmfm_v2,task3,3T_to_7T,3,0.6450318260632055,0.8332197364199551,0.18577803290552564,0.5918211047052447,0.03709720677316036,0.03275705087770716
mmfm_v2,task3,5T_to_0.1T,3,0.26583793784696624,0.86362011317695,0.15813183668586941,0.042774521453942206,0.012955665687330819,0.02500078780847537
mmfm_v2,task3,5T_to_1.5T,3,0.3838383947086325,0.8314570426967016,0.1444914379053646,0.0279068540269031,0.01894849109795457,0.005845406648223611
mmfm_v2,task3,5T_to_3T,3,0.34970830717556045,0.8254636227243104,0.14275657286246618,0.059852566171050364,0.012888950544880057,0.021093372422514144
mmfm_v2,task3,5T_to_7T,3,0.4726996867928082,0.8507333812847345,0.13902338503135578,0.12293316433374339,0.021219483342042954,0.005675283266638797
mmfm_v2,task3,7T_to_0.1T,3,0.2483067840728704,0.841464210490721,0.1718585213025411,0.12650565973757252,0.012318443146022288,0.012913302261899648
mmfm_v2,task3,7T_to_1.5T,3,0.33285348637648393,0.8184836147826356,0.18250480708148745,0.1665084239788027,0.03768722962614622,0.017350854590024205
mmfm_v2,task3,7T_to_3T,3,0.3235519086822454,0.804866490990888,0.206283432410823,0.18982937717828904,0.03822909308191939,0.014156851615463154
mmfm_v2,task3,7T_to_5T,3,0.4399287417031413,0.8551651128496928,0.17461884783373938,0.038012104629091846,0.006836728555043076,0.005060636639479924
