method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.20011618912744397,0.8021436213905884,0.23285178128216,0.06696191764771277,0.0502283126361661,0.014249573005248444
mmfm_v2,task3,0.1T_to_3T,3,0.23667527744913372,0.7823788128121977,0.25979997184541487,0.041195762348770155,0.0366146485762977,0.022277306045528262
mmfm_v2,task3,0.1T_to_5T,3,0.2046029576461111,0.799105592013229,0.2563074913289812,0.06178049658916917,0.033916299967108585,0.024967471697167017
mmfm_v2,task3,0.1T_to_7T,3,0.42855593127567876,0.8475932711992696,0.22105114062627154,0.15576327915862923,0.024913083941901268,0.012826374565531502
mmfm_v2,task3,1.5T_to_0.1T,3,0.19405848342527132,0.8185179873421271,0.16929828044441012,0.062010710756362095,0.0406227323795961,0.02902255445522099
mmfm_v2,task3,1.5T_to_3T,3,0.21488332199726165,0.8394883834218216,0.16803781522644892,0.07961312155435332,0.023346029453107184,0.013215065860299658
mmfm_v2,task3,1.5T_to_5T,3,0.21338373767207475,0.8561820272545265,0.16270452191432316,0.11119669992523598,0.020766278027929304,0.019715764513273906
mmfm_v2,task3,1.5T_to_7T,3,0.367710333234155,0.8883515875219796,0.1289012766546673,0.15944203249157018,0.03471555871275363,0.0042512101576003235
mmfm_v2,task3,3T_to_0.1T,3,0.19691000062562103,0.807466018564449,0.18394701778888703,0.06700383480941088,0.05012778777969467,0.046846659506223846
mmfm_v2,task3,3T_to_1.5T,3,0.18872175824947823,0.8568253819615936,0.15232365826765695,0.13305872967392776,0.02396188018778626,0.01157797648013133
mmfm_v2,task3,3T_to_5T,3,0.13289284565644416,0.8577465411216089,0.16303456988599566,0.022394867817322417,0.013350627704101631,0.01901612065076549
mmfm_v2,task3,3T_to_7T,3,0.4667058214131779,0.875370966282524,0.13937610023551517,0.1813941369003884,0.020766056654470157,0.017032018569603652
mmfm_v2,task3,5T_to_0.1T,3,0.2118945713174786,0.805086599243292,0.16725051883194184,0.10253928284482547,0.05537054134010151,0.03392236037208184
mmfm_v2,task3,5T_to_1.5T,3,0.21682967016382623,0.8593499809421837,0.13314100686046815,0.1548868005412116,0.025228867682335378,0.005503944964612294
mmfm_v2,task3,5T_to_3T,3,0.16540078158048524,0.834844730328481,0.1715710532334116,0.01251245679487934,0.024511680802089927,0.026766268834639766
mmfm_v2,task3,5T_to_7T,3,0.5527148653465401,0.8631596469219128,0.12258863771955171,0.27426887800826233,0.02978027686149191,0.008335535367987942
mmfm_v2,task3,7T_to_0.1T,3,0.28575701809396103,0.801840741538321,0.17324972881211176,0.06678565852357023,0.04206475924451079,0.02759506651432372
mmfm_v2,task3,7T_to_1.5T,3,0.23995468648038154,0.8403799983855583,0.16311629712581635,0.08690456907696475,0.007136944454576171,0.005043808790781018
mmfm_v2,task3,7T_to_3T,3,0.3472607522619922,0.8114769592603603,0.18369773841566508,0.1006494821537782,0.019410707138257884,0.016187302083197467
mmfm_v2,task3,7T_to_5T,3,0.335874941179471,0.8273377070337996,0.1722306882341703,0.13707936423556746,0.02036066508022866,0.019713973872336824
