method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.2171752835347488,0.8074116218144277,0.2488749192820655,0.06754579999402543,0.04246070222738011,0.01590143699206776
mmfm_v2,task3,0.1T_to_3T,3,0.44871793050806036,0.7551515416523493,0.2924395716852612,0.08987424360955971,0.05382068961453667,0.031307931073958684
mmfm_v2,task3,0.1T_to_5T,3,0.3228889554911014,0.7925827409307121,0.2789138047231568,0.07996420395382935,0.0401114251697906,0.023224852757883996
mmfm_v2,task3,0.1T_to_7T,3,0.3304733735532448,0.8586863871062329,0.23603245119253793,0.04845765010621806,0.008782179001898748,0.017661088695046803
mmfm_v2,task3,1.5T_to_0.1T,3,0.20920569706718686,0.8376594375649162,0.17305654386679334,0.11592588612312768,0.05023390267725333,0.03604776047487244
mmfm_v2,task3,1.5T_to_3T,3,0.326322158937807,0.8325520861374066,0.1909778055217531,0.12367057637103826,0.048020016624548925,0.03233917610631542
mmfm_v2,task3,1.5T_to_5T,3,0.2129664436377191,0.8572815834065216,0.1972402842508422,0.1201514814374771,0.022300689612464723,0.020533751416407866
mmfm_v2,task3,1.5T_to_7T,3,0.3385286092495586,0.8965032463667862,0.15713841517766317,0.09143475328751274,0.025127864166652532,0.010501770050552825
mmfm_v2,task3,3T_to_0.1T,3,0.3313883476027018,0.8305835400299277,0.20135195073154236,0.15360565516303665,0.05575325532027806,0.05540022763457599
mmfm_v2,task3,3T_to_1.5T,3,0.22479137373017188,0.8528981541850659,0.18902400301562414,0.16030105648795384,0.026243892891782403,0.012491649739512618
mmfm_v2,task3,3T_to_5T,3,0.15248494425229298,0.8421027506682509,0.22124623987409806,0.049263359103093214,0.012612652013602942,0.020240531213173506
mmfm_v2,task3,3T_to_7T,3,0.6695716607181744,0.8600960266728862,0.17435600128438736,0.23781672876237242,0.0206999315123264,0.02048636869921391
mmfm_v2,task3,5T_to_0.1T,3,0.2068684344559498,0.8277666620381892,0.17103288479977183,0.07522776197742757,0.059350794175431154,0.04435204787687446
mmfm_v2,task3,5T_to_1.5T,3,0.1871580404827664,0.875945554332591,0.1574565013249715,0.0501221754654459,0.01557708313945269,0.005360921926493757
mmfm_v2,task3,5T_to_3T,3,0.30716332186762346,0.8426275887122449,0.1802690373526679,0.041122000929370496,0.02371297419554624,0.011461334641317739
mmfm_v2,task3,5T_to_7T,3,0.42297503796319136,0.8901889998932582,0.13637974816891882,0.21132537611999266,0.019946082499632305,0.0060528797625797725
mmfm_v2,task3,7T_to_0.1T,3,0.2839045904523587,0.8202818233229623,0.1746969271037314,0.00271369789274918,0.04908239235932827,0.03669542924585986
mmfm_v2,task3,7T_to_1.5T,3,0.273857246962586,0.8484113220333548,0.1982027161452505,0.06235375958129268,0.006323165274328995,0.00813546933609985
mmfm_v2,task3,7T_to_3T,3,0.5165866141799224,0.7747286886899453,0.22946600947115156,0.11626992854681034,0.051475596847326645,0.03055610152882751
mmfm_v2,task3,7T_to_5T,3,0.38400887010090273,0.8213659477040776,0.2087844618492656,0.17347243115456096,0.041344344375162705,0.023421883152139774
