method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.16962062032870232,0.8379498903044054,0.2169786055882772,0.027283207435980554,0.0031803333849082386,0.010011022277932557
mmfm_v2,task3,0.1T_to_3T,3,0.2950507293640851,0.784848813352494,0.29043308662043676,0.0618305404765326,0.011243517434895127,0.009259888548461218
mmfm_v2,task3,0.1T_to_5T,3,0.5077378901223121,0.827052163573078,0.2875791231791178,0.0887631843793266,0.006346959053823465,0.0124675401173272
mmfm_v2,task3,0.1T_to_7T,3,0.6313661272149773,0.8105277668694294,0.2722565429078208,0.4961533862462144,0.01909464716026571,0.0034029544946646926
mmfm_v2,task3,1.5T_to_0.1T,3,0.1482753760850771,0.8677653842314239,0.15219850490490594,0.019531076161602972,0.008359987212045901,0.010307576842614654
mmfm_v2,task3,1.5T_to_3T,3,0.2928248894108861,0.8047502028016688,0.21010643591483436,0.07495696276306953,0.011617241747675117,0.014621996575033984
mmfm_v2,task3,1.5T_to_5T,3,0.505946472794226,0.8477970124612387,0.20251627680328155,0.0932988903883528,0.007321296760851871,0.00914072246043164
mmfm_v2,task3,1.5T_to_7T,3,0.5966232309199021,0.8321608493253656,0.20328328245215946,0.48382529865421314,0.028317358623078815,0.033300349874474194
mmfm_v2,task3,3T_to_0.1T,3,0.22459542041277966,0.8445904820343052,0.20799645235141118,0.041627303864854096,0.01710825694178467,0.03217815923652495
mmfm_v2,task3,3T_to_1.5T,3,0.16433652093767706,0.8265789593668676,0.18201908121506372,0.0157238647511589,0.01735600694381229,0.02984514817094248
mmfm_v2,task3,3T_to_5T,3,0.6621102070603753,0.8209806031010127,0.20010607540607453,0.03402785105788897,0.01872935435775018,0.01500797720530028
mmfm_v2,task3,3T_to_7T,3,0.8068883244144992,0.8057514265537934,0.21036744796567497,0.7308378591887651,0.04598981722916864,0.03859510430811226
mmfm_v2,task3,5T_to_0.1T,3,0.39975157290431707,0.8149327712224084,0.20637994176811644,0.06973587809706654,0.025429849913997993,0.02990070308952924
mmfm_v2,task3,5T_to_1.5T,3,0.3808613719711886,0.8316711696193275,0.14351451479726365,0.03901295205166881,0.021737934893435864,0.007702934293634215
mmfm_v2,task3,5T_to_3T,3,0.523445361265626,0.7542472403128831,0.1981295622057385,0.029159890646022202,0.008960045866102129,0.0170468957342043
mmfm_v2,task3,5T_to_7T,3,0.48587500899010544,0.853659317790853,0.1414035476744175,0.267193483796024,0.007456188381139875,0.008198498033979788
mmfm_v2,task3,7T_to_0.1T,3,0.41817000569332724,0.7699407107723735,0.22796967791186437,0.3219348077574339,0.10284547609303483,0.06076306340514217
mmfm_v2,task3,7T_to_1.5T,3,0.3958383483517964,0.7788772207586572,0.2000164834989442,0.29514152881106204,0.09072288487915207,0.06359639979949876
mmfm_v2,task3,7T_to_3T,3,0.48685629297422633,0.7463146042845255,0.2650262145532502,0.2899670900386704,0.10101136902267888,0.08452862165542542
mmfm_v2,task3,7T_to_5T,3,0.5674337595583511,0.7995133612420942,0.19964106496837405,0.13444272515756947,0.06481331618279967,0.042950745459537004
