method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.18869209844173818,0.8499825572375345,0.2278781548142433,0.04229388533431968,0.006977058705170843,0.011826536035174685
mmfm_v2,task3,0.1T_to_3T,3,0.22115085593364392,0.808769012677057,0.2847224364678065,0.06806980610271529,0.016973779920019447,0.0033775610871976105
mmfm_v2,task3,0.1T_to_5T,3,0.24009174301532676,0.8597002987101162,0.31057702336046433,0.018330455958974475,0.006046652750052947,0.004562494286706672
mmfm_v2,task3,0.1T_to_7T,3,0.5374049293867452,0.8121461078655177,0.30119890769322716,0.21438411817570152,0.02653474985504635,0.007037813768116364
mmfm_v2,task3,1.5T_to_0.1T,3,0.15367627980354862,0.8960194697967366,0.13297633454203606,0.009864288212300704,0.008983121409123052,0.012185494972506261
mmfm_v2,task3,1.5T_to_3T,3,0.23834223551790493,0.8361845017613696,0.2314348437719875,0.0400265340342979,0.0038611378754900643,0.005476698583270946
mmfm_v2,task3,1.5T_to_5T,3,0.2423187554311292,0.8772184141580959,0.23657838172382775,0.028335942409943665,0.007322850023862076,0.006226153342532046
mmfm_v2,task3,1.5T_to_7T,3,0.6450840886976654,0.8123957029507229,0.24596041788657508,0.37753179552717775,0.032879143020689255,0.023590784723884418
mmfm_v2,task3,3T_to_0.1T,3,0.21306755681822676,0.8914377114501787,0.12418961765037644,0.12816475314631684,0.017183920551017213,0.007069444761211933
mmfm_v2,task3,3T_to_1.5T,3,0.21008253150355197,0.8712130050531743,0.1474050513572163,0.11137016313103305,0.017844287830990332,0.017943314981097278
mmfm_v2,task3,3T_to_5T,3,0.21537383699815482,0.8893793357828276,0.20244817816548877,0.053133494586331605,0.007195356742163892,0.012154858603552931
mmfm_v2,task3,3T_to_7T,3,0.784554497014566,0.7893644503310701,0.2388727602031496,0.3617164910574103,0.017535759093911668,0.022145240341016934
mmfm_v2,task3,5T_to_0.1T,3,0.14696442915045335,0.8897466555567712,0.16007816725307042,0.011904863977302631,0.0030575754896741284,0.005066262921639238
mmfm_v2,task3,5T_to_1.5T,3,0.17399490109770635,0.8529735849089336,0.1736897246705161,0.011930294300473297,0.0032645516194676947,0.002079286405367958
mmfm_v2,task3,5T_to_3T,3,0.20537782396292445,0.8351335613684977,0.1828794217771954,0.029910956882908776,0.01442932530162536,0.01019476995007014
mmfm_v2,task3,5T_to_7T,3,0.6611917008971041,0.8274308544292027,0.18397754646009867,0.2891730541698407,0.019869229669288543,0.009688916535849683
mmfm_v2,task3,7T_to_0.1T,3,0.20219643969888546,0.8555719410886806,0.22508988910251193,0.020360415334394664,0.011930378542719576,0.02917943448931623
mmfm_v2,task3,7T_to_1.5T,3,0.2555249849227477,0.8156522549053878,0.22276028196016948,0.09892264892439007,0.010585558481102715,0.022233128399153815
mmfm_v2,task3,7T_to_3T,3,0.332176540209292,0.7783854831108151,0.2446253642439842,0.10681904275876397,0.024593822115951312,0.02763055717799863
mmfm_v2,task3,7T_to_5T,3,0.5050128511739026,0.8510834429313471,0.2107786814371745,0.13297890545682836,0.023630414239825696,0.006805773632037383
