method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.2177408294995051,0.8097902063579044,0.2442692910631498,0.08085190026798636,0.0496404383038186,0.01560275351255198
mmfm_v2,task3,0.1T_to_3T,3,0.2179484586801612,0.7910274478875449,0.2773915448122554,0.032585427146349946,0.03519060204682117,0.017508195250592027
mmfm_v2,task3,0.1T_to_5T,3,0.17237234228438672,0.81066978037214,0.26777682403723396,0.052951350748604485,0.032618731388433714,0.020828993948126498
mmfm_v2,task3,0.1T_to_7T,3,0.450263444051852,0.8516186015413086,0.23621750473976136,0.15328975996783062,0.019043416240809536,0.015109950316512416
mmfm_v2,task3,1.5T_to_0.1T,3,0.19076042037776944,0.8385289711120526,0.18337271180417802,0.0647146954549263,0.04504459810414764,0.03446762296669021
mmfm_v2,task3,1.5T_to_3T,3,0.20750293392114486,0.8426095972189693,0.18771931098567116,0.07605619802240311,0.021045629148374653,0.013684192989727858
mmfm_v2,task3,1.5T_to_5T,3,0.2271573910843849,0.8577961948359993,0.19040101336108314,0.11864236888211681,0.02438657860981402,0.01784580463881359
mmfm_v2,task3,1.5T_to_7T,3,0.3643130069375146,0.8910993312104712,0.1520461314254337,0.19503401304824508,0.027430566294652972,0.009390509317635685
mmfm_v2,task3,3T_to_0.1T,3,0.17404063549750126,0.8343392733319357,0.19469915346966848,0.04830237967066841,0.05107737580061428,0.04791021804013925
mmfm_v2,task3,3T_to_1.5T,3,0.18613338529847664,0.8723442112878302,0.16459045045905643,0.1267512996377046,0.021972595994563474,0.008268504332362111
mmfm_v2,task3,3T_to_5T,3,0.13222745310725534,0.8667812782212151,0.18038828919331232,0.025593950008092965,0.011703387842843086,0.019427053751716446
mmfm_v2,task3,3T_to_7T,3,0.47641986806673664,0.8832104484872815,0.15944559971491493,0.1923622833989511,0.016462677842337077,0.016243517748826528
mmfm_v2,task3,5T_to_0.1T,3,0.16431997912982957,0.8297879197169076,0.18067277537451853,0.075094527568611,0.06103696092090826,0.04244688010118702
mmfm_v2,task3,5T_to_1.5T,3,0.2198588059500867,0.8752885132224605,0.1488539531826973,0.12218242288224973,0.02094132015106379,0.0018699669520814194
mmfm_v2,task3,5T_to_3T,3,0.17024142752444546,0.8432472114682598,0.1779402999414338,0.014744840410997495,0.020339266786980125,0.017094312830374683
mmfm_v2,task3,5T_to_7T,3,0.5760605386187031,0.8726838476678568,0.14002288869685597,0.21895913373648568,0.014947495387107823,0.010299871526105644
mmfm_v2,task3,7T_to_0.1T,3,0.31399128177259955,0.8103151391589923,0.18037451025512483,0.06149496072186851,0.04645104651056329,0.03396604738484512
mmfm_v2,task3,7T_to_1.5T,3,0.25088063885368866,0.8406454096692196,0.21099522958199182,0.09594191446452588,0.009537945549212825,0.017269932231470764
mmfm_v2,task3,7T_to_3T,3,0.29917945399191676,0.8139021729730808,0.2319826737046242,0.0914936812531505,0.021714183181165334,0.03282767910882821
mmfm_v2,task3,7T_to_5T,3,0.313935414536159,0.8385286656549237,0.2038757026195526,0.09140242889786414,0.009108532780687155,0.014943514980216944
