method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.20559768223245145,0.9213510881548687,0.11127134530409559,0.0470101931306326,0.0006098712644599635,0.009250483740748246
mmfm_v2,task3,0.1T_to_3T,3,0.22739283745764052,0.8948230027409307,0.13835552936999365,0.03166998445699098,0.011933294580488854,0.008565259839770419
mmfm_v2,task3,0.1T_to_5T,3,0.493480740515305,0.915755472403965,0.14502660647808974,0.08945860006353337,0.010200139068764533,0.012930455973822764
mmfm_v2,task3,0.1T_to_7T,3,0.7377169151416605,0.8880785849800054,0.13869195147650065,0.4537489046515763,0.006062403729692414,0.004390601216886903
mmfm_v2,task3,1.5T_to_0.1T,3,0.1909857786979885,0.9257949167811187,0.0738656285694523,0.05564000309402219,0.00797700933543615,0.004250670532325612
mmfm_v2,task3,1.5T_to_3T,3,0.21768444692184916,0.9024213205299668,0.11051278798750586,0.06409970829020943,0.004168931738958447,0.005105085829740808
mmfm_v2,task3,1.5T_to_5T,3,0.6376674990382647,0.9078232626350471,0.1146453951472257,0.07913847192993402,0.008420695048782902,0.01074534629560002
mmfm_v2,task3,1.5T_to_7T,3,0.9312040186335699,0.8778767641471609,0.1208730262428032,0.6600128705899333,0.022880837470551817,0.012545490422460028
mmfm_v2,task3,3T_to_0.1T,3,0.18710947701288871,0.9331200632539417,0.0679564237834559,0.03835998536239169,0.010701659581461987,0.007367486506109861
mmfm_v2,task3,3T_to_1.5T,3,0.17995737642969134,0.9357056124167271,0.07227348630037383,0.0553913143139358,0.004957508113742091,0.0128726143058108
mmfm_v2,task3,3T_to_5T,3,0.5259853766514202,0.921748725140989,0.10056114238189806,0.08016702691938406,0.007146123349072557,0.008398916513111409
mmfm_v2,task3,3T_to_7T,3,0.8573959346462557,0.8901366716775332,0.10425492001911209,0.684327513545151,0.026838343024199032,0.013068113916040089
mmfm_v2,task3,5T_to_0.1T,3,0.34443716657349815,0.9171050007466647,0.08041839530903556,0.0386687892632583,0.010257653265648928,0.012569128200280012
mmfm_v2,task3,5T_to_1.5T,3,0.42470441349253424,0.9067818274847325,0.07931453901992142,0.028321338454695602,0.011570486137518578,0.009263294292522194
mmfm_v2,task3,5T_to_3T,3,0.4106948495971787,0.8904517493092753,0.08560843989642979,0.06103592798403746,0.012184892033768298,0.006779878586296282
mmfm_v2,task3,5T_to_7T,3,0.5172091775676354,0.9116512002232628,0.07832408299742656,0.19362065838884923,0.003280115583294705,0.003760809071594941
mmfm_v2,task3,7T_to_0.1T,3,0.403288671908389,0.8886832830466781,0.0958175639612125,0.1235308840228756,0.013354995250232251,0.0021496508649150137
mmfm_v2,task3,7T_to_1.5T,3,0.47053111067034686,0.8802322077382653,0.11454573423819629,0.15503830002123276,0.03323271660498963,0.014247295533496187
mmfm_v2,task3,7T_to_3T,3,0.4690959619775417,0.8644985377876145,0.12405290884159026,0.17831784320636304,0.040266177613014965,0.004522731690268754
mmfm_v2,task3,7T_to_5T,3,0.44911408510928047,0.9095968746130247,0.1136864070692931,0.029093373365657278,0.008775131094761256,0.010357982907183766
