method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.2365713178304889,0.8875595964989346,0.11816592671263755,0.07002316915499462,0.01861101472210192,0.015055432986350372
mmfm_v2,task3,0.1T_to_3T,3,0.3977423069728494,0.8543436166910275,0.13890083000295217,0.09571286349220284,0.0344249458964611,0.023281703818877883
mmfm_v2,task3,0.1T_to_5T,3,0.2904063016203663,0.8770257671464884,0.13066138354035092,0.08337934017467837,0.027401479957369204,0.019188701939462493
mmfm_v2,task3,0.1T_to_7T,3,0.45932621688600245,0.9126425165933639,0.1110549373489524,0.12201870279496972,0.01078203982329487,0.01475108499474723
mmfm_v2,task3,1.5T_to_0.1T,3,0.25898379954344525,0.8968762239606294,0.10583971437501245,0.11238270501186046,0.02620151104930304,0.01655674999779517
mmfm_v2,task3,1.5T_to_3T,3,0.28343973822579427,0.903171838691038,0.09012184041719717,0.10938777404368806,0.02392794352954496,0.015931809611009828
mmfm_v2,task3,1.5T_to_5T,3,0.1862436219822687,0.9215146589603749,0.08761383661325572,0.09610395705137956,0.01265261435906308,0.011901856753534832
mmfm_v2,task3,1.5T_to_7T,3,0.48890548714372706,0.9330426038359367,0.07024905858908399,0.1351756784844728,0.00613685516102796,0.006330269378392209
mmfm_v2,task3,3T_to_0.1T,3,0.4252641747776738,0.8907210237220756,0.11703861614185725,0.17523936721878758,0.0323275841702574,0.026880555490280244
mmfm_v2,task3,3T_to_1.5T,3,0.24217698857849126,0.9164728312179901,0.08823034589261403,0.1595829107972609,0.00788915092168178,0.011162521156095388
mmfm_v2,task3,3T_to_5T,3,0.14573514814072416,0.9141092133446147,0.09390200927236257,0.05274677836529797,0.0075995245942574174,0.01192605543582885
mmfm_v2,task3,3T_to_7T,3,0.8319054939748747,0.9078184082239993,0.08324628958598379,0.2660920905550965,0.018013100769448814,0.0141075491764632
mmfm_v2,task3,5T_to_0.1T,3,0.3288561097974165,0.8900212108403464,0.10606383282690306,0.14072716329153565,0.034302418226033186,0.021327255091586835
mmfm_v2,task3,5T_to_1.5T,3,0.1997906684129679,0.9302898339099345,0.0707763895715146,0.1354585734716367,0.005495999373773548,0.0038925561933498775
mmfm_v2,task3,5T_to_3T,3,0.21144446837444922,0.9135836494604778,0.0807092230035697,0.04252776053565143,0.011123899543721167,0.008056488282728053
mmfm_v2,task3,5T_to_7T,3,0.6664029348181614,0.9187709580915997,0.06910276600240677,0.3022918031664738,0.01918796237511016,0.00786289237060119
mmfm_v2,task3,7T_to_0.1T,3,0.3238487262241925,0.8839509677646769,0.10451391486743732,0.0441425890415312,0.02434847471937167,0.01725408955389421
mmfm_v2,task3,7T_to_1.5T,3,0.3213774797666612,0.9073182701847461,0.08836182323174913,0.05332239114365115,0.006797353103255827,0.0049928550044966115
mmfm_v2,task3,7T_to_3T,3,0.4919640601077229,0.8661204352832148,0.10400041605864258,0.08239050203319907,0.027253356544317046,0.017797702430820468
mmfm_v2,task3,7T_to_5T,3,0.3872307254228804,0.8904062520169793,0.1014164872287111,0.11346592125499906,0.022150139135449578,0.014627980264661068
