method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.23875529427177064,0.8836555140874703,0.11412220107872569,0.06967189057794422,0.018907143414867808,0.014766413519057994
mmfm_v2,task3,0.1T_to_3T,3,0.4011652828823011,0.8524243445523071,0.13355289162324974,0.09404599710918672,0.03349557608390653,0.0224485051435543
mmfm_v2,task3,0.1T_to_5T,3,0.29410946390889453,0.8743678778017226,0.1254859371027141,0.0814494731334864,0.02706141633146859,0.018026093668367882
mmfm_v2,task3,0.1T_to_7T,3,0.4492116904679273,0.9111434292018203,0.10593126497832671,0.11874771566543219,0.010280008122750359,0.013310817697281345
mmfm_v2,task3,1.5T_to_0.1T,3,0.2646458704336938,0.8899026886126182,0.09904074925796298,0.11475279327951075,0.02544469542181492,0.01370106372350491
mmfm_v2,task3,1.5T_to_3T,3,0.28277282513050367,0.898842491488202,0.08043370243127736,0.11026387507720242,0.02280154400553878,0.015360172725889758
mmfm_v2,task3,1.5T_to_5T,3,0.18874810703263364,0.9153863752937385,0.07909974812215663,0.09530382673166451,0.011346144873628417,0.011368015964600324
mmfm_v2,task3,1.5T_to_7T,3,0.4888780916251618,0.9275680210617043,0.06191343081112504,0.13839233925318,0.007023300022694029,0.00555515292625108
mmfm_v2,task3,3T_to_0.1T,3,0.4317002238873228,0.8865817118504874,0.11797427966339054,0.17603958610674392,0.030968245343688996,0.02535360654448733
mmfm_v2,task3,3T_to_1.5T,3,0.24606891473700143,0.9126843874930728,0.08627400965559717,0.16098049309142,0.008406571441976929,0.011022700032010384
mmfm_v2,task3,3T_to_5T,3,0.1497096577573244,0.9101996583564991,0.08953488767969182,0.054894611338253074,0.0075196576005578004,0.011253614820901989
mmfm_v2,task3,3T_to_7T,3,0.8368039695256663,0.9027805508679257,0.08072110574805497,0.26812385517882925,0.017849515928368552,0.015251737269184301
mmfm_v2,task3,5T_to_0.1T,3,0.337752279789655,0.8827423650794838,0.10158788755062276,0.1396668461629347,0.03253412303130147,0.01881630297709697
mmfm_v2,task3,5T_to_1.5T,3,0.20365746631016343,0.9211329882366872,0.06425701346026315,0.1364176702917703,0.006818736144856759,0.0030612790245264287
mmfm_v2,task3,5T_to_3T,3,0.21121142526094694,0.9068314711770205,0.07172135267645989,0.04372203611006758,0.011563136209210739,0.006681525295677301
mmfm_v2,task3,5T_to_7T,3,0.6692682730466193,0.9108980974202976,0.06300982704333301,0.30709072169350277,0.020289654739551393,0.008876446945549085
mmfm_v2,task3,7T_to_0.1T,3,0.3184655698026788,0.8780155759774626,0.09909782578850117,0.03848797017814015,0.02073714515738563,0.014476653208504631
mmfm_v2,task3,7T_to_1.5T,3,0.3138878020009319,0.9020057799192177,0.0787480260396941,0.052738290634924495,0.006741993778817672,0.004833845014818742
mmfm_v2,task3,7T_to_3T,3,0.48881336778166773,0.8619081457462596,0.09403341684466837,0.08300562881311639,0.02684262186947258,0.01716679646239263
mmfm_v2,task3,7T_to_5T,3,0.3829619062851937,0.8853843629012043,0.09148530676401627,0.11358970407965938,0.021219830644207988,0.013464731388210627
