method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.18012035824524095,0.8599732304764305,0.21447915848758484,0.03449181714688441,0.0037765030724461854,0.008915901673015904
mmfm_v2,task3,0.1T_to_3T,3,0.21071903022567992,0.8282720577274683,0.26447577923536303,0.030654792432345243,0.010212330383992692,0.010176088978829267
mmfm_v2,task3,0.1T_to_5T,3,0.5270960716857461,0.8511414504954855,0.2792527870999442,0.08854650667114432,0.008980274585526752,0.009755821947677226
mmfm_v2,task3,0.1T_to_7T,3,0.6472558094802544,0.827781445083753,0.26755842483705944,0.5371407682739406,0.02265568820319766,0.008974009754615984
mmfm_v2,task3,1.5T_to_0.1T,3,0.15743634495035716,0.8750196076578874,0.1598254258433978,0.03894777635523169,0.010820702270050702,0.01660058242077044
mmfm_v2,task3,1.5T_to_3T,3,0.20629780439231218,0.8318269684790821,0.19621798230542079,0.05484629221568103,0.004171032974752573,0.00609816845466202
mmfm_v2,task3,1.5T_to_5T,3,0.6630813872029051,0.8329314854766198,0.20187284797430038,0.08549017697438697,0.005905002037115549,0.0070716793146818535
mmfm_v2,task3,1.5T_to_7T,3,0.8041138020177582,0.8121308340830505,0.21352742181883919,0.6955981739978663,0.04393757408065954,0.0385093260733472
mmfm_v2,task3,3T_to_0.1T,3,0.16560636345933064,0.8812645876861932,0.16334934855500857,0.03194659827580826,0.015389465012217437,0.02348772313137648
mmfm_v2,task3,3T_to_1.5T,3,0.16676401094825902,0.8697812121698014,0.12937625878387027,0.051609738758874334,0.009989117028175813,0.007377560258420642
mmfm_v2,task3,3T_to_5T,3,0.5585711148681527,0.8535489281707133,0.1731255077653461,0.08155731369733836,0.021671012417438754,0.007521233640914054
mmfm_v2,task3,3T_to_7T,3,0.748562868083723,0.8282127821192019,0.1877045436037911,0.7413032948096154,0.052211327835611124,0.040697262179209444
mmfm_v2,task3,5T_to_0.1T,3,0.35708422384657795,0.854153785678657,0.1932451829314232,0.03487028101494114,0.015071806767236243,0.020444443620616263
mmfm_v2,task3,5T_to_1.5T,3,0.4282293350855599,0.8266733079126278,0.140508670028713,0.026016559140706483,0.01921181598956077,0.008581250404598778
mmfm_v2,task3,5T_to_3T,3,0.4243747730919714,0.8088479519556748,0.14570451784465047,0.060592988003575245,0.014764843840225795,0.020582645322297578
mmfm_v2,task3,5T_to_7T,3,0.48695521718322526,0.8540558608628968,0.13259381651878357,0.16728848463744078,0.012503043008430163,0.006469236555440427
mmfm_v2,task3,7T_to_0.1T,3,0.31970985991772677,0.8306063051299835,0.19801257948080697,0.18047652266540146,0.031360393977586005,0.02029891133252462
mmfm_v2,task3,7T_to_1.5T,3,0.3850572674634341,0.8105880218108809,0.1861716389656067,0.2025111539378912,0.05597668504951672,0.02971162970605114
mmfm_v2,task3,7T_to_3T,3,0.37413929383459227,0.7952076011609793,0.1961683241857423,0.2383765667651443,0.06780893112661965,0.01985264938657583
mmfm_v2,task3,7T_to_5T,3,0.45683131581011377,0.8529052041723698,0.16667337699068918,0.02493173127371593,0.014233350671943515,0.004645673466489474
