method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.2041944152342979,0.8051484618051846,0.23071822341945436,0.07517595941608408,0.046303213339512234,0.016552468340004248
mmfm_v2,task3,0.1T_to_3T,3,0.37574818392119463,0.7731299501477547,0.26400124182303747,0.09317039358608652,0.05050055456892363,0.030344312725065582
mmfm_v2,task3,0.1T_to_5T,3,0.25653749079003496,0.8042202066808318,0.25278259283966487,0.07046615389284212,0.03847044371517031,0.024779082133020037
mmfm_v2,task3,0.1T_to_7T,3,0.4399752464411126,0.8510661536993319,0.21478124194675022,0.16222992612407194,0.0218639029353309,0.015498838662479135
mmfm_v2,task3,1.5T_to_0.1T,3,0.22123433232803116,0.8228924191155733,0.16918032715717954,0.12295057313353912,0.04723782298744776,0.023085374051985085
mmfm_v2,task3,1.5T_to_3T,3,0.28015769199353874,0.8429876624821872,0.14594467704494793,0.11543624293851895,0.03517900942928203,0.026386392830128832
mmfm_v2,task3,1.5T_to_5T,3,0.18782137718581457,0.8642698043921605,0.14723466204272376,0.0983624547736712,0.015656235109446005,0.01993873751488601
mmfm_v2,task3,1.5T_to_7T,3,0.50274973770801,0.8801512417789982,0.11769053927726214,0.14374914410441228,0.031797901240488334,0.006485822579316458
mmfm_v2,task3,3T_to_0.1T,3,0.3714562993321417,0.8195437025245894,0.22265690366427104,0.16719094768476328,0.052701586965093396,0.042484682767260584
mmfm_v2,task3,3T_to_1.5T,3,0.23555333481405993,0.8510363724859217,0.17070724765459697,0.1713741369826496,0.026517670898057264,0.013107322187922748
mmfm_v2,task3,3T_to_5T,3,0.1457050730497724,0.8523981395130266,0.17822375893592834,0.056236570860289534,0.013326324702878792,0.019036989356943444
mmfm_v2,task3,3T_to_7T,3,0.8622755236384435,0.8372844741581152,0.1574730800257789,0.2679645226898546,0.02183301113354443,0.023217911865841247
mmfm_v2,task3,5T_to_0.1T,3,0.27647123992176686,0.8116429309744054,0.1784843631916576,0.11770339406368559,0.056179088567706814,0.03399228992907068
mmfm_v2,task3,5T_to_1.5T,3,0.20514808686431232,0.8648520836793018,0.12467437568638061,0.13962820038876395,0.021454812756832496,0.004419111034492863
mmfm_v2,task3,5T_to_3T,3,0.21625166503401907,0.8524602715479782,0.13475240965684254,0.04476036767724139,0.018414981552437842,0.0064716569883682
mmfm_v2,task3,5T_to_7T,3,0.6808429056236869,0.8540279711148845,0.12005793477098148,0.3167536992798072,0.03319987823180076,0.012967423180006436
mmfm_v2,task3,7T_to_0.1T,3,0.2934217008719217,0.8046973038488177,0.17193560087018542,0.08112164177975235,0.04152102658197844,0.026875654585078592
mmfm_v2,task3,7T_to_1.5T,3,0.32280613354121007,0.8454700685545277,0.14599081691768434,0.056337851755979794,0.0017720081475129288,0.013088945548560237
mmfm_v2,task3,7T_to_3T,3,0.4990015824680236,0.786939376038057,0.16890801870160632,0.08124705897004358,0.0391319813626794,0.021080375507622436
mmfm_v2,task3,7T_to_5T,3,0.3867097981829908,0.8239282861908022,0.166086960501141,0.11808471582884439,0.029328890556225798,0.018214768203046523
