volume,modality,field,subject,variant,nrmse,nrmse_full,ssim
R_T1W_0.1T_0016,T1W,0.1T,0016,conv@1mm,0.07158,0.07178,0.96253
R_T1W_0.1T_0016,T1W,0.1T,0016,inr@1mm,0.0989,0.0998,0.94617
R_T1W_0.1T_0016,T1W,0.1T,0016,conv@0.5mm,0.07415,0.07452,0.94508
R_T1W_0.1T_0016,T1W,0.1T,0016,inr@0.5mm,0.10149,0.1027,0.92739
R_T1W_0.1T_0030,T1W,0.1T,0030,conv@1mm,0.17272,0.17276,0.95625
R_T1W_0.1T_0030,T1W,0.1T,0030,inr@1mm,0.10668,0.10706,0.94439
R_T1W_0.1T_0030,T1W,0.1T,0030,conv@0.5mm,0.17919,0.17927,0.93982
R_T1W_0.1T_0030,T1W,0.1T,0030,inr@0.5mm,0.10937,0.10995,0.9259
R_T1W_0.1T_0033,T1W,0.1T,0033,conv@1mm,0.07174,0.07194,0.96228
R_T1W_0.1T_0033,T1W,0.1T,0033,inr@1mm,0.09896,0.09988,0.94634
R_T1W_0.1T_0033,T1W,0.1T,0033,conv@0.5mm,0.07415,0.07453,0.94484
R_T1W_0.1T_0033,T1W,0.1T,0033,inr@0.5mm,0.10154,0.10276,0.92764
R_T1W_0.1T_0036,T1W,0.1T,0036,conv@1mm,0.06957,0.06975,0.9636
R_T1W_0.1T_0036,T1W,0.1T,0036,inr@1mm,0.09728,0.09813,0.94656
R_T1W_0.1T_0036,T1W,0.1T,0036,conv@0.5mm,0.07434,0.07468,0.94612
R_T1W_0.1T_0036,T1W,0.1T,0036,inr@0.5mm,0.09995,0.1011,0.92777
R_T1W_0.1T_0040,T1W,0.1T,0040,conv@1mm,0.06937,0.06956,0.96342
R_T1W_0.1T_0040,T1W,0.1T,0040,inr@1mm,0.09837,0.09922,0.94612
R_T1W_0.1T_0040,T1W,0.1T,0040,conv@0.5mm,0.07301,0.07336,0.94587
R_T1W_0.1T_0040,T1W,0.1T,0040,inr@0.5mm,0.101,0.10215,0.92736
R_T1W_0.1T_0064,T1W,0.1T,0064,conv@1mm,0.3207,0.32073,0.85923
R_T1W_0.1T_0064,T1W,0.1T,0064,inr@1mm,0.21351,0.21407,0.84716
R_T1W_0.1T_0064,T1W,0.1T,0064,conv@0.5mm,0.32645,0.32649,0.82056
R_T1W_0.1T_0064,T1W,0.1T,0064,inr@0.5mm,0.21698,0.21766,0.80279
R_T1W_0.1T_0072,T1W,0.1T,0072,conv@1mm,0.31474,0.31476,0.94085
R_T1W_0.1T_0072,T1W,0.1T,0072,inr@1mm,0.17491,0.17509,0.94295
R_T1W_0.1T_0072,T1W,0.1T,0072,conv@0.5mm,0.31977,0.3198,0.93571
R_T1W_0.1T_0072,T1W,0.1T,0072,inr@0.5mm,0.17606,0.17635,0.93131
R_T1W_0.1T_0095,T1W,0.1T,0095,conv@1mm,0.16776,0.1678,0.95867
R_T1W_0.1T_0095,T1W,0.1T,0095,inr@1mm,0.09706,0.09768,0.93034
R_T1W_0.1T_0095,T1W,0.1T,0095,conv@0.5mm,0.17535,0.17547,0.94373
R_T1W_0.1T_0095,T1W,0.1T,0095,inr@0.5mm,0.09874,0.09985,0.9144
R_T1W_1.5T_0133,T1W,1.5T,0133,conv@1mm,0.08638,0.0865,0.94918
R_T1W_1.5T_0133,T1W,1.5T,0133,inr@1mm,0.10862,0.11049,0.91888
R_T1W_1.5T_0133,T1W,1.5T,0133,conv@0.5mm,0.09653,0.09683,0.92708
R_T1W_1.5T_0133,T1W,1.5T,0133,inr@0.5mm,0.11333,0.11611,0.89443
R_T1W_1.5T_0141,T1W,1.5T,0141,conv@1mm,0.14454,0.1446,0.94195
R_T1W_1.5T_0141,T1W,1.5T,0141,inr@1mm,0.10475,0.10659,0.92249
R_T1W_1.5T_0141,T1W,1.5T,0141,conv@0.5mm,0.15273,0.15301,0.91988
R_T1W_1.5T_0141,T1W,1.5T,0141,inr@0.5mm,0.10891,0.11199,0.89737
R_T1W_1.5T_0183,T1W,1.5T,0183,conv@1mm,0.09253,0.09267,0.94995
R_T1W_1.5T_0183,T1W,1.5T,0183,inr@1mm,0.11805,0.12014,0.91421
R_T1W_1.5T_0183,T1W,1.5T,0183,conv@0.5mm,0.10287,0.10328,0.9269
R_T1W_1.5T_0183,T1W,1.5T,0183,inr@0.5mm,0.12319,0.12634,0.88683
R_T1W_1.5T_0186,T1W,1.5T,0186,conv@1mm,0.07666,0.07689,0.94847
R_T1W_1.5T_0186,T1W,1.5T,0186,inr@1mm,0.11651,0.11885,0.91847
R_T1W_1.5T_0186,T1W,1.5T,0186,conv@0.5mm,0.08429,0.08494,0.92754
R_T1W_1.5T_0186,T1W,1.5T,0186,inr@0.5mm,0.12158,0.12512,0.89396
R_T1W_1.5T_0202,T1W,1.5T,0202,conv@1mm,0.0899,0.09005,0.95253
R_T1W_1.5T_0202,T1W,1.5T,0202,inr@1mm,0.1203,0.12261,0.91842
R_T1W_1.5T_0202,T1W,1.5T,0202,conv@0.5mm,0.10029,0.10078,0.93022
R_T1W_1.5T_0202,T1W,1.5T,0202,inr@0.5mm,0.1251,0.12859,0.89251
R_T1W_1.5T_0240,T1W,1.5T,0240,conv@1mm,0.1965,0.19725,0.80889
R_T1W_1.5T_0240,T1W,1.5T,0240,inr@1mm,0.14281,0.14513,0.91823
R_T1W_1.5T_0240,T1W,1.5T,0240,conv@0.5mm,0.18959,0.1907,0.7978
R_T1W_1.5T_0240,T1W,1.5T,0240,inr@0.5mm,0.14533,0.14883,0.90325
R_T1W_3T_0375,T1W,3T,0375,conv@1mm,0.17447,0.17466,0.94381
R_T1W_3T_0375,T1W,3T,0375,inr@1mm,0.19712,0.20005,0.91251
R_T1W_3T_0375,T1W,3T,0375,conv@0.5mm,0.17076,0.17128,0.91875
R_T1W_3T_0375,T1W,3T,0375,inr@0.5mm,0.20333,0.20737,0.88204
R_T1W_3T_0410,T1W,3T,0410,conv@1mm,0.15146,0.15172,0.94123
R_T1W_3T_0410,T1W,3T,0410,inr@1mm,0.18552,0.18996,0.89789
R_T1W_3T_0410,T1W,3T,0410,conv@0.5mm,0.15008,0.15104,0.90956
R_T1W_3T_0410,T1W,3T,0410,inr@0.5mm,0.19245,0.19908,0.862
R_T1W_5T_0546,T1W,5T,0546,conv@1mm,0.16815,0.16834,0.92385
R_T1W_5T_0546,T1W,5T,0546,inr@1mm,0.16581,0.16998,0.88707
R_T1W_5T_0546,T1W,5T,0546,conv@0.5mm,0.16686,0.1678,0.88749
R_T1W_5T_0546,T1W,5T,0546,inr@0.5mm,0.1787,0.18471,0.84741
R_T1W_5T_0553,T1W,5T,0553,conv@1mm,0.15345,0.15355,0.93336
R_T1W_5T_0553,T1W,5T,0553,inr@1mm,0.1587,0.16093,0.89691
R_T1W_5T_0553,T1W,5T,0553,conv@0.5mm,0.16481,0.16525,0.89592
R_T1W_5T_0553,T1W,5T,0553,inr@0.5mm,0.17088,0.1743,0.85745
R_T1W_5T_0620,T1W,5T,0620,conv@1mm,0.17478,0.17487,0.92366
R_T1W_5T_0620,T1W,5T,0620,inr@1mm,0.17274,0.17552,0.87764
R_T1W_5T_0620,T1W,5T,0620,conv@0.5mm,0.18759,0.18809,0.88157
R_T1W_5T_0620,T1W,5T,0620,inr@0.5mm,0.18604,0.19029,0.83446
R_T1W_7T_0903,T1W,7T,0903,conv@1mm,0.19872,0.19905,0.92957
R_T1W_7T_0903,T1W,7T,0903,inr@1mm,0.19838,0.20276,0.88751
R_T1W_7T_0903,T1W,7T,0903,conv@0.5mm,0.19121,0.19199,0.9012
R_T1W_7T_0903,T1W,7T,0903,inr@0.5mm,0.20531,0.211,0.85078
R_T1W_7T_0929,T1W,7T,0929,conv@1mm,0.1292,0.12936,0.95606
R_T1W_7T_0929,T1W,7T,0929,inr@1mm,0.17824,0.181,0.90638
R_T1W_7T_0929,T1W,7T,0929,conv@0.5mm,0.13113,0.13158,0.9303
R_T1W_7T_0929,T1W,7T,0929,inr@0.5mm,0.18611,0.1897,0.87432
R_T1W_7T_0950,T1W,7T,0950,conv@1mm,0.13703,0.13734,0.95526
R_T1W_7T_0950,T1W,7T,0950,inr@1mm,0.20961,0.21314,0.89352
R_T1W_7T_0950,T1W,7T,0950,conv@0.5mm,0.14185,0.14265,0.92612
R_T1W_7T_0950,T1W,7T,0950,inr@0.5mm,0.21812,0.2229,0.85824
R_T1W_7T_0955,T1W,7T,0955,conv@1mm,0.19599,0.19606,0.94413
R_T1W_7T_0955,T1W,7T,0955,inr@1mm,0.18432,0.18594,0.90129
R_T1W_7T_0955,T1W,7T,0955,conv@0.5mm,0.20508,0.20526,0.91603
R_T1W_7T_0955,T1W,7T,0955,inr@0.5mm,0.19222,0.19445,0.86891
R_T1W_7T_0986,T1W,7T,0986,conv@1mm,0.13382,0.13414,0.9502
R_T1W_7T_0986,T1W,7T,0986,inr@1mm,0.19667,0.2002,0.8865
R_T1W_7T_0986,T1W,7T,0986,conv@0.5mm,0.14323,0.14393,0.91664
R_T1W_7T_0986,T1W,7T,0986,inr@0.5mm,0.20467,0.20941,0.84692
