method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.16782303751648822,0.8481711292419006,0.22386438830031288,0.02765692854282313,0.003959182643300599,0.008149419737312298
mmfm_v2,task3,0.1T_to_3T,3,0.26561631088612425,0.8025140870973955,0.3034289979272419,0.07923200156043927,0.012876072683779568,0.010182540769471395
mmfm_v2,task3,0.1T_to_5T,3,0.47402794640148144,0.8448056870442145,0.3004272407955593,0.0907488708105705,0.008152168655918153,0.009919331537688996
mmfm_v2,task3,0.1T_to_7T,3,0.6263838994128128,0.8181118569119858,0.2913872046603097,0.5084101588402434,0.01835409911351765,0.004555829438443669
mmfm_v2,task3,1.5T_to_0.1T,3,0.1334258945231533,0.8994583881185982,0.1264557521376345,0.025293197082550442,0.012608582961922165,0.01670290780420972
mmfm_v2,task3,1.5T_to_3T,3,0.26021353223710625,0.8315767569277318,0.23627509342299569,0.08787253742707492,0.01676366995822118,0.014358649922964586
mmfm_v2,task3,1.5T_to_5T,3,0.5097869770658466,0.8596118030171622,0.2382095310423109,0.08096606274671214,0.005579225905104416,0.006807905723611219
mmfm_v2,task3,1.5T_to_7T,3,0.6211315829953381,0.8358674356325365,0.23740805221928488,0.5207872432045639,0.032806254676182735,0.031479295120308726
mmfm_v2,task3,3T_to_0.1T,3,0.19016222698366758,0.8841634688268615,0.1717762497564157,0.04415436549653859,0.022460790542878098,0.03338279856511716
mmfm_v2,task3,3T_to_1.5T,3,0.15582532919759837,0.8490103770999489,0.18306979139645893,0.007237545557797612,0.013968637363058943,0.015252689925496362
mmfm_v2,task3,3T_to_5T,3,0.6220574137329924,0.8385282526852954,0.2218374858299891,0.036155890508664135,0.019272589073671284,0.011376915420799827
mmfm_v2,task3,3T_to_7T,3,0.7757296981934786,0.8161817481917174,0.22767918590042324,0.7237662642544028,0.04757240131386808,0.037949099558375526
mmfm_v2,task3,5T_to_0.1T,3,0.3504691615663056,0.8736352097093999,0.13768343238366973,0.04004115852188365,0.015247443303971679,0.01939925900076378
mmfm_v2,task3,5T_to_1.5T,3,0.35766800880811545,0.8497970417005286,0.16879197706778845,0.027483460919814906,0.01874148791443736,0.008328356418071042
mmfm_v2,task3,5T_to_3T,3,0.4736134905688331,0.792037868175807,0.21515637901094223,0.04953105943824328,0.016322508210672035,0.019049566082078553
mmfm_v2,task3,5T_to_7T,3,0.5199073744647326,0.8569632253219246,0.17543787492646112,0.31222556114950034,0.010934279498681433,0.010576229382585988
mmfm_v2,task3,7T_to_0.1T,3,0.37284953421356953,0.8130087974062347,0.18210293269819686,0.29401978142137414,0.09382646230648815,0.041112600090126905
mmfm_v2,task3,7T_to_1.5T,3,0.37566174068132124,0.8063087135161527,0.21118283801608614,0.2686946638628032,0.07981274106785653,0.056232654221143756
mmfm_v2,task3,7T_to_3T,3,0.4518521241215461,0.7735808479255315,0.2811954877442784,0.2896551329650948,0.10694954287352192,0.0618429665499706
mmfm_v2,task3,7T_to_5T,3,0.5543714739009645,0.8166333304932959,0.2328019216656685,0.11843217876111403,0.06588598108126194,0.04745623677309012
