method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.21590102498566796,0.8078614298282534,0.24742350959115558,0.07028892975234612,0.04288470461376418,0.015208200429613218
mmfm_v2,task3,0.1T_to_3T,3,0.4463679815855823,0.7563822700397832,0.2910181282295121,0.08959914438215122,0.05378790993805635,0.030985195751119878
mmfm_v2,task3,0.1T_to_5T,3,0.3161288982565363,0.7945668663569343,0.27682895362377175,0.07671061243312208,0.03927096025531867,0.022387309731550613
mmfm_v2,task3,0.1T_to_7T,3,0.3285136384372036,0.8597982615250078,0.2343738337357839,0.049064529203981334,0.009081284979697108,0.016501931775379612
mmfm_v2,task3,1.5T_to_0.1T,3,0.21005381710488105,0.8380169843069124,0.1744021592868699,0.11645687789499554,0.0501328204048994,0.03517352592562031
mmfm_v2,task3,1.5T_to_3T,3,0.32927213817717643,0.8332679493862494,0.18895501279168658,0.11903568698272593,0.047099566430958396,0.03193109140204113
mmfm_v2,task3,1.5T_to_5T,3,0.2085507039982252,0.8606469161598111,0.194428494407071,0.11749475026341653,0.02224936073636155,0.019748479687544118
mmfm_v2,task3,1.5T_to_7T,3,0.3214165549378106,0.8989157713929038,0.15396829479270513,0.08724487088763364,0.024719550310033873,0.010002886558527036
mmfm_v2,task3,3T_to_0.1T,3,0.3433361464252031,0.8302678458409557,0.2028013033999337,0.1588825261584613,0.05567101270641748,0.05450706904049421
mmfm_v2,task3,3T_to_1.5T,3,0.2301750163726305,0.8512167609983576,0.1904119705160459,0.1630223361105669,0.026468650129542186,0.01305914212997217
mmfm_v2,task3,3T_to_5T,3,0.15054542700427545,0.8434341336741195,0.2190145702825652,0.046959916989914925,0.012219730283232335,0.019888541531755566
mmfm_v2,task3,3T_to_7T,3,0.6465524650689932,0.8631565177518317,0.1722535378403134,0.2330042698055461,0.0203430532935232,0.01961192296972305
mmfm_v2,task3,5T_to_0.1T,3,0.21869874213128174,0.8275019537078093,0.17334361415770316,0.08454240432808625,0.05960912663765633,0.04441630419854794
mmfm_v2,task3,5T_to_1.5T,3,0.18955571711787425,0.8767080267132056,0.15570049020979138,0.07249651744105198,0.016606338955217712,0.004900795916616547
mmfm_v2,task3,5T_to_3T,3,0.2999393980130583,0.8436228222680326,0.1803676509194904,0.04017296576534032,0.023141613018965418,0.011392437429778076
mmfm_v2,task3,5T_to_7T,3,0.4198843033693957,0.8903526474251966,0.13576113929351172,0.20730988086248991,0.019610856075136563,0.005797142710773118
mmfm_v2,task3,7T_to_0.1T,3,0.27739118307229055,0.8207581833693373,0.17440804714957872,0.015043932906503136,0.048566078349693315,0.03743223403480888
mmfm_v2,task3,7T_to_1.5T,3,0.26278371535663364,0.850312598896157,0.1947229348950916,0.06570055232673264,0.005819370182983684,0.007224045416443603
mmfm_v2,task3,7T_to_3T,3,0.5019270229029482,0.7803697604026478,0.22323813984791438,0.11844426077499219,0.04986500087633459,0.028459959955156853
mmfm_v2,task3,7T_to_5T,3,0.37839718367366654,0.8212984212803978,0.20814091993702785,0.17810654953454289,0.040864835983695606,0.023156587465626884
