method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.21693357304899366,0.7997378914217906,0.22589163349734412,0.08453698195857406,0.049274497476232665,0.013642167952006375
mmfm_v2,task3,0.1T_to_3T,3,0.44824177667192955,0.7534989670324276,0.2495285804073016,0.10930691410509645,0.05567602207964594,0.02337373834026448
mmfm_v2,task3,0.1T_to_5T,3,0.3009553066956035,0.7848878379855798,0.23736146820916068,0.0820237169945789,0.04177105148146965,0.017543566232466872
mmfm_v2,task3,0.1T_to_7T,3,0.40280322691669884,0.8352933993098443,0.20832637498776116,0.025553379353069384,0.0024193928174558997,0.01301932000211348
mmfm_v2,task3,1.5T_to_0.1T,3,0.24639605016279154,0.8162539869213453,0.18296217719713848,0.13496144445081124,0.04426152572830225,0.021856789861739393
mmfm_v2,task3,1.5T_to_3T,3,0.3216934928510019,0.8422100772431165,0.1247073749701182,0.11715244966213356,0.039735976939696716,0.023541700367174064
mmfm_v2,task3,1.5T_to_5T,3,0.20622193794300595,0.8659300154565059,0.12680468666884634,0.09760628340089435,0.01947162754270665,0.015287520762675578
mmfm_v2,task3,1.5T_to_7T,3,0.33788358581930433,0.8942023573354203,0.09721701923343871,0.11312392910965728,0.024750101420277767,0.0010446637319641715
mmfm_v2,task3,3T_to_0.1T,3,0.5504373982908832,0.7830538695072322,0.22074252267678576,0.19384250559037652,0.060156327546683486,0.043107092513493296
mmfm_v2,task3,3T_to_1.5T,3,0.38965202596742793,0.8615381154963379,0.13522219335039457,0.2269575019879051,0.03504946069357095,0.014921967607170914
mmfm_v2,task3,3T_to_5T,3,0.2870831685251891,0.8627596993090716,0.1343596459262901,0.08676900582077879,0.01481994697202515,0.010021425732139712
mmfm_v2,task3,3T_to_7T,3,0.9211123099836694,0.8255019213436787,0.11526818995674452,0.3151814585014294,0.03230191630885352,0.019025496484457862
mmfm_v2,task3,5T_to_0.1T,3,0.30598964868693007,0.7902454618753566,0.20490710023376676,0.11286441086963542,0.05232041163312683,0.03427778651994925
mmfm_v2,task3,5T_to_1.5T,3,0.21897391344918468,0.8687992648925308,0.1194151555498441,0.13170636589421034,0.021431699722687797,0.004396977183664826
mmfm_v2,task3,5T_to_3T,3,0.26572652004741965,0.8581733483093424,0.1105333507888847,0.04226613704470119,0.0184709679616301,0.009659692673303485
mmfm_v2,task3,5T_to_7T,3,0.4802568449794226,0.8732233237411585,0.10262635805540615,0.24549050652216825,0.025197456803564156,0.012908776848554506
mmfm_v2,task3,7T_to_0.1T,3,0.23821138989826204,0.8140769896846659,0.1752944164805942,0.1024950525476088,0.038977969754536344,0.026723223734594046
mmfm_v2,task3,7T_to_1.5T,3,0.1749730973704675,0.8670658421860553,0.13562951568100187,0.04822388323644725,0.005635100585068893,0.007795710615701275
mmfm_v2,task3,7T_to_3T,3,0.4131053736766617,0.8156174616693218,0.15269755000869434,0.07884936853058021,0.03539169208844402,0.025867454511008494
mmfm_v2,task3,7T_to_5T,3,0.2711297419617658,0.8519502737684569,0.14992025974724027,0.10744731259243122,0.020923959450436676,0.021744099876808712
