arm,modality,field,subject,nrmse_norm,ssim_norm,psnr_norm,nrmse_norm_fg,capacity,seconds
prod_sgd20,T1W,0.1T,0006,0.10703664907646913,0.8448221556773106,25.878163414405442,0.3380479950366887,1536,89.94651079177856
prod_sgd20,T1W,3T,0006,0.1442249467925797,0.7966746497691314,23.1580365434775,0.3935148059700537,1536,91.95114040374756
prod_sgd20,T1W,7T,0006,0.18316153421017434,0.7756198939217314,21.19665574606552,0.578556607801761,1536,123.41234302520752
prod_sgd200,T1W,0.1T,0006,0.10358232516273097,0.8478145623056874,26.163100391694194,0.3263135418950962,1536,1438.69216132164
prod_sgd200,T1W,3T,0006,0.14111360090170955,0.7994498252045368,23.347466807258805,0.3848441094019737,1536,1574.7152848243713
prod_sgd200,T1W,7T,0006,0.18051006481059845,0.778122394556168,21.323312756005,0.5716634308591585,1536,1471.04421210289
prod_adam,T1W,0.1T,0006,0.34709676028039294,0.549413292740866,15.659802302147474,0.6127386326150145,1536,246.58489084243774
prod_adam,T1W,3T,0006,0.5484812110934374,0.4123750749812219,11.555609194335704,0.7300591670554368,1536,246.89944863319397
prod_adam,T1W,7T,0006,0.4068088850737901,0.4808589957067972,14.265532604059183,0.7990872639234816,1536,152.75900888442993
mod_shift,T1W,0.1T,0006,0.10511789979780102,0.8159706935264655,26.035279997512323,0.3053531439624603,1536,140.43093824386597
mod_shift,T1W,3T,0006,0.1352106816194755,0.7843439961465267,23.718624248752338,0.3660623272248798,1536,140.1151523590088
mod_shift,T1W,7T,0006,0.17856067702740636,0.7384029187995466,21.4176247203535,0.5471976796137755,1536,140.17340469360352
mod_scale,T1W,0.1T,0006,0.0899025788658023,0.8418853797447805,27.39337050992019,0.2697025072065094,3072,192.8585867881775
mod_scale,T1W,3T,0006,0.12685289155587645,0.7912464734896549,24.27283686723996,0.34641932826475336,3072,192.7324733734131
mod_scale,T1W,7T,0006,0.16372346019112555,0.7554941532655607,22.171122906672682,0.5084102155745114,3072,192.92728328704834
mod_lora4,T1W,0.1T,0006,0.06584489862366462,0.897904011181056,30.098370836824625,0.20359078966815478,12812,462.5228626728058
mod_lora4,T1W,3T,0006,0.10685399734785479,0.8353282548736625,25.763028821367268,0.29857411793146343,12812,463.1645288467407
mod_lora4,T1W,7T,0006,0.13297773764856644,0.8243338082839268,23.977762398379593,0.4237187855454687,12812,462.43493366241455
mod_lora16,T1W,0.1T,0006,0.04627424649268254,0.9385348954478596,33.162026391049864,0.14086292428184613,46640,468.0511450767517
mod_lora16,T1W,3T,0006,0.08110244468791979,0.8863533192344867,28.15816538293179,0.2249924203487772,46640,470.63816928863525
mod_lora16,T1W,7T,0006,0.09362159375148246,0.8832401843428274,27.025820598955175,0.29494416086766456,46640,467.17579317092896
mod_lora64,T1W,0.1T,0006,0.032406948495774426,0.9651337911257253,36.25605072579573,0.09550361792493264,181952,481.83608412742615
mod_lora64,T1W,3T,0006,0.06311480927271546,0.916525755963449,30.3362188086067,0.1723739610705071,181952,482.478568315506
mod_lora64,T1W,7T,0006,0.06376952300853764,0.9235709508401464,30.36107782866962,0.1965846342751912,181952,481.30780148506165
