arm,modality,field,subject,nrmse_norm,ssim_norm,psnr_norm,nrmse_norm_fg,capacity,seconds
grid1536,T1W,0.1T,0006,0.2127792223464593,0.7062965100837254,19.910229157459142,0.6061180177618696,1536,0.6352043151855469
grid1536,T1W,3T,0006,0.24606105081924726,0.6761489496175402,18.517986804544204,0.6134846296933596,1536,0.42839598655700684
grid1536,T1W,7T,0006,0.25540187705759515,0.6880289592035354,18.30885950372698,0.772691957076274,1536,0.39309072494506836
grid129024,T1W,0.1T,0006,0.0601493254910315,0.931707035998632,30.884198272599413,0.17849076407914208,129024,0.458709716796875
grid129024,T1W,3T,0006,0.1026280516381743,0.8705696866041794,26.113522610955005,0.2778317477000345,129024,0.4315052032470703
grid129024,T1W,7T,0006,0.1234053583284098,0.8645237219604455,24.626660850596807,0.3942129624067203,129024,0.4560282230377197
siren_free_prod,T1W,0.1T,0006,0.017724687514201667,0.9891789554317455,41.49724175746367,0.050929655906254846,330241,771.6530420780182
siren_free_prod,T1W,3T,0006,0.03688887980636294,0.9629430247367429,35.000934944968826,0.09751810808760789,330241,771.3634176254272
siren_free_prod,T1W,7T,0006,0.03731142403324338,0.9607931532889786,35.016504704752286,0.11139598845285945,330241,455.0927679538727
siren_free_big,T1W,0.1T,0006,0.010127339939086792,0.9962100203327732,46.358905744735196,0.02842406217795798,1841153,1417.1206521987915
siren_free_big,T1W,3T,0006,0.020609873043067068,0.9856057410007041,40.05733796106274,0.05293874286296897,1841153,1417.6988644599915
siren_free_big,T1W,7T,0006,0.016398047174954078,0.9897418467507982,42.15749856913835,0.0470903580320511,1841153,1418.3571038246155
