method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.461217314488281,0.6635336704517347,0.3641346961259842,0.0939298188224887,0.023865160657558487,0.0037573368513935663
mmfm_v2,task3,0.1T_to_3T,3,0.7193879076057123,0.5884015507771347,0.41553084618515435,0.03959399599735638,0.026619562498513494,0.019177155332957743
mmfm_v2,task3,0.1T_to_5T,3,0.6597177609323785,0.6610865214548115,0.4105912860896852,0.04849708513222939,0.022744960041067956,0.023381218771683705
mmfm_v2,task3,0.1T_to_7T,3,0.6490633630197673,0.6767070018907947,0.40662932760185666,0.11636253513356815,0.07584367075833537,0.04357740784467093
mmfm_v2,task3,1.5T_to_0.1T,3,0.39558585885544506,0.7103687804583959,0.2901579681369993,0.06881405037216991,0.016456545327094327,0.009725795916858942
mmfm_v2,task3,1.5T_to_3T,3,0.6561338102293922,0.6054952777008585,0.38337099419699777,0.08091651168107447,0.037090493941673644,0.03973702212767523
mmfm_v2,task3,1.5T_to_5T,3,0.5008943633376148,0.7097847015405185,0.3693267689810859,0.06605473753517431,0.009790159497476495,0.014672382086764638
mmfm_v2,task3,1.5T_to_7T,3,0.6051817454146078,0.6970187295091583,0.3725113925006654,0.051576484611337535,0.06562172222518262,0.04497198700872518
mmfm_v2,task3,3T_to_0.1T,3,0.3065012676030661,0.7443415174964033,0.275925268067254,0.08464654195727106,0.05327662710246908,0.03902510541891449
mmfm_v2,task3,3T_to_1.5T,3,0.38571416410789167,0.7142106933218031,0.30031566951009964,0.09934951120097783,0.06289930771803892,0.040567370835114115
mmfm_v2,task3,3T_to_5T,3,0.4045928262350662,0.7607763724464068,0.34806116720040636,0.03127725846956373,0.021408514602729776,0.03328196824561635
mmfm_v2,task3,3T_to_7T,3,0.4680822058456717,0.7264718694804713,0.3556400332185958,0.02581847063155222,0.060818785777633194,0.03738654132922421
mmfm_v2,task3,5T_to_0.1T,3,0.32240072083520127,0.6924685326223363,0.33642018304930793,0.014203515940668885,0.021382558541811477,0.0036289276461689886
mmfm_v2,task3,5T_to_1.5T,3,0.4037503359352317,0.6584241854493837,0.34981391661696964,0.028296593056217477,0.02969610731972308,0.008301616394245934
mmfm_v2,task3,5T_to_3T,3,0.5971225035265766,0.6286074768969817,0.35949493481053246,0.006844877196656529,0.023696164667933492,0.014815143514931699
mmfm_v2,task3,5T_to_7T,3,0.5631876410015041,0.7287649852362897,0.36203429169125023,0.10098252842068017,0.04627022553238109,0.03138057684567706
mmfm_v2,task3,7T_to_0.1T,3,0.7595149272096747,0.6127404880120887,0.3394811388519075,0.032033939828077874,0.029093371503830606,0.022889943251952368
mmfm_v2,task3,7T_to_1.5T,3,0.7281183464030451,0.6015612663645582,0.37234237525198194,0.10443523276626514,0.04866784959772106,0.038968718623141836
mmfm_v2,task3,7T_to_3T,3,0.5450501688400232,0.6302897816145093,0.3571235617001851,0.046700078845701945,0.026985741127788638,0.0226549764946493
mmfm_v2,task3,7T_to_5T,3,0.49526939563170874,0.7226114702201506,0.362341958615515,0.07094995675637601,0.0049425726460782015,0.018074467597895362
