method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.3452906880732172,0.7050889234648231,0.38650696012708874,0.02537622892109208,0.03591223578202619,0.011098598355605222
mmfm_v2,task3,0.1T_to_3T,3,0.505598495949654,0.6806923478693068,0.38195469346311356,0.11139799958840983,0.007831092598736102,0.010520874691570875
mmfm_v2,task3,0.1T_to_5T,3,0.5958730407433479,0.673861045622714,0.39214879605505204,0.16249974020627225,0.023605852379489835,0.016732884544267478
mmfm_v2,task3,0.1T_to_7T,3,0.41022434143081593,0.7849557071203357,0.35301205648316275,0.057810333436626504,0.0377380977268468,0.009213399971742867
mmfm_v2,task3,1.5T_to_0.1T,3,0.24244428630652967,0.7606052079286935,0.2824933558702469,0.06554540459284494,0.05140941139599158,0.05198286175867167
mmfm_v2,task3,1.5T_to_3T,3,0.4354234616735939,0.6949935727219388,0.36399587988853455,0.09489708074397118,0.049045806171828875,0.03981580182661336
mmfm_v2,task3,1.5T_to_5T,3,0.4784577056799795,0.6952208625303484,0.379541794790162,0.1261570061499733,0.006172572646002204,0.02103812885882717
mmfm_v2,task3,1.5T_to_7T,3,0.45459522751118303,0.7705324440584675,0.35649025407102375,0.05669772126376012,0.029590679268756095,0.014168350394446668
mmfm_v2,task3,3T_to_0.1T,3,0.32191789076776006,0.7400228345183413,0.311410093638632,0.0810604588207022,0.026148017636587848,0.028054509910185734
mmfm_v2,task3,3T_to_1.5T,3,0.26145427384406383,0.7482706976994452,0.3467789093653361,0.03707569240658036,0.03222794561670297,0.01377573544103692
mmfm_v2,task3,3T_to_5T,3,0.2593799902095032,0.7612632387812397,0.31685193280378976,0.060693599995306935,0.00981609896163197,0.029363381218568567
mmfm_v2,task3,3T_to_7T,3,0.4796241802909937,0.776802767382793,0.3267325540383657,0.05043115209493534,0.03398522777176565,0.033960691741323906
mmfm_v2,task3,5T_to_0.1T,3,0.34920365936874487,0.7249653940470077,0.31270294123225745,0.13372845647532922,0.019403339644965382,0.026138164851308016
mmfm_v2,task3,5T_to_1.5T,3,0.26547979824121126,0.7309686553333442,0.37360155449973215,0.044248131040080754,0.04287145079569851,0.043350442778245415
mmfm_v2,task3,5T_to_3T,3,0.3484572899959692,0.7187814496990548,0.3724814193116293,0.032708459383589183,0.03705061888278477,0.03699569886033136
mmfm_v2,task3,5T_to_7T,3,0.5839439671703098,0.786042972344552,0.3130111624797185,0.1505950645311081,0.03412523291683731,0.04270858688474245
mmfm_v2,task3,7T_to_0.1T,3,0.2930654468009242,0.7365267988796692,0.3200797475046582,0.046950160875735156,0.03719663479951262,0.04830032842777773
mmfm_v2,task3,7T_to_1.5T,3,0.35003272753059694,0.711923739953404,0.3957633786731296,0.056189245463237045,0.019812135270799766,0.01950695089173742
mmfm_v2,task3,7T_to_3T,3,0.42527313436004605,0.701741544805749,0.391420430276129,0.007753633325067903,0.02461158937492444,0.03265140289618706
mmfm_v2,task3,7T_to_5T,3,0.3144203959659307,0.7387923272343526,0.3534528503815333,0.011155240079304834,0.029142527896348348,0.02533722294284102
