method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.5050604995475658,0.699619350740773,0.37295944790045416,0.04410257611436439,0.016013918742810013,0.03405539205979092
mmfm_v2,task3,0.1T_to_3T,3,0.5620116444019866,0.6604472328650014,0.3890688879622353,0.0329776991983394,0.023948983204032548,0.022973179603871744
mmfm_v2,task3,0.1T_to_5T,3,0.5739723934821912,0.6830281868593749,0.39316292670038006,0.04394363387602388,0.020518555674333933,0.02734145664732122
mmfm_v2,task3,0.1T_to_7T,3,0.5999013394313003,0.6804482384418629,0.3914794243044324,0.05084585683113443,0.020949314158350923,0.029469211293157986
mmfm_v2,task3,1.5T_to_0.1T,3,0.44798172209862175,0.4458748604409127,0.39366757737265695,0.1035545920671554,0.18304385281278462,0.042506850459385445
mmfm_v2,task3,1.5T_to_3T,3,0.40291629764475084,0.6090668998993265,0.3392447448439068,0.003553329337513743,0.061594797654556166,0.012454794607665508
mmfm_v2,task3,1.5T_to_5T,3,0.49413804890711605,0.5822541149717614,0.40552497771051194,0.03595379826380368,0.1454086482838115,0.08280367103609132
mmfm_v2,task3,1.5T_to_7T,3,0.5705479990214056,0.3761879424410175,0.5026092708110809,0.11789710716272263,0.25535432511158407,0.13531671815155547
mmfm_v2,task3,3T_to_0.1T,3,0.2629656727281202,0.7455936743096702,0.33467358416981163,0.03691632567895643,0.018601474860538546,0.03958989011696928
mmfm_v2,task3,3T_to_1.5T,3,0.3566693695931951,0.7515877635739869,0.30189022951655925,0.01317983063992056,0.011602998838206119,0.01697903069364484
mmfm_v2,task3,3T_to_5T,3,0.3639427095200192,0.7624782000359853,0.29124977787335715,0.010699171781515337,0.008820041279581466,0.012998163996825083
mmfm_v2,task3,3T_to_7T,3,0.44994292290179666,0.7277744414677123,0.3060445484187868,0.06024904639330503,0.019402875405495557,0.005457828063763698
mmfm_v2,task3,5T_to_0.1T,3,0.26526325797242745,0.7376733617381154,0.3279670049746832,0.05282721090462104,0.02454468910812419,0.03551442135806187
mmfm_v2,task3,5T_to_1.5T,3,0.5530632694467132,0.7010334007583524,0.31961487266752453,0.10746966256597654,0.017420858374244775,0.014416488314309826
mmfm_v2,task3,5T_to_3T,3,0.3814302880113311,0.7221530142130476,0.3052667538324992,0.03430536761197576,0.021887133050456434,0.009869310716944179
mmfm_v2,task3,5T_to_7T,3,0.3763481537852873,0.7608453466327284,0.2784342406524552,0.08655761805632053,0.026725227665558748,0.020985549059695664
mmfm_v2,task3,7T_to_0.1T,3,0.40926156623395954,0.7152860216898139,0.31622147891256547,0.044880351363075964,0.020588605753818996,0.033956097667230616
mmfm_v2,task3,7T_to_1.5T,3,0.4831237080979444,0.7165821976741498,0.33366907305187654,0.06652304214849183,0.02394105434812592,0.017360646710785334
mmfm_v2,task3,7T_to_3T,3,0.5749806984017384,0.6757010644179838,0.35970775882403055,0.13007018212061877,0.03416568916795288,0.022830365514226424
mmfm_v2,task3,7T_to_5T,3,0.5350897892764749,0.7118505424808683,0.3531087391906314,0.12439404635005237,0.019528000302576648,0.017034795356175265
