method,modality,subject,src_field,tgt_field,mae,mse,ssim,nrmse,lpips
mmfm_mlp_30k,T1W,0006,0.1T,1.5T,0.11106107383966446,0.025307606905698776,0.5100012924438653,0.29362166741561224,0.36307498831301926
mmfm_mlp_30k,T1W,0006,0.1T,3T,0.12827464938163757,0.029617439955472946,0.4659363034666183,0.32040637015388557,0.4020353239029646
mmfm_mlp_30k,T1W,0006,0.1T,5T,0.30320948362350464,0.12173207849264145,0.3559475570013463,1.8520365775237708,0.48435787968337535
mmfm_mlp_30k,T1W,0006,0.1T,7T,0.24895448982715607,0.08686091750860214,0.41920090886670563,1.1561329225226196,0.4235833764076233
mmfm_unet_5k,T1W,0006,0.1T,1.5T,0.20417150855064392,0.07272897660732269,0.02191849708359641,0.4977557622156891,0.46470704302191734
mmfm_unet_5k,T1W,0006,0.1T,3T,0.20822691917419434,0.07368256896734238,-0.019948211775420815,0.5053703063825233,0.5099872119724751
mmfm_unet_5k,T1W,0006,0.1T,5T,0.38851284980773926,0.19451037049293518,0.005573849840168515,2.341091684082559,0.577063386887312
mmfm_unet_5k,T1W,0006,0.1T,7T,0.26240724325180054,0.1090838760137558,-0.022694342969875984,1.295614590296015,0.4797763764858246
mmfm_unet_150k,T1W,0006,0.1T,1.5T,0.14253392815589905,0.03616659343242645,0.6899245292231356,0.35100746574130026,0.2840607987716794
mmfm_unet_150k,T1W,0006,0.1T,3T,0.16429220139980316,0.04908059164881706,0.5511069663679935,0.4124603794716135,0.3400919768959284
mmfm_unet_150k,T1W,0006,0.1T,5T,0.3315846920013428,0.17094308137893677,0.3370999094897195,2.194688088722553,0.4091613177210093
mmfm_unet_150k,T1W,0006,0.1T,7T,0.2330516278743744,0.09620879590511322,0.4830625930329127,1.2167544418859375,0.3675708808004856
mmfm_unet_150k,T1W,0007,0.1T,1.5T,0.17520669102668762,0.049154818058013916,0.6285515465529258,0.41556296900896245,0.3193685248494148
mmfm_unet_150k,T1W,0007,0.1T,3T,0.1829192340373993,0.06056244298815727,0.5198630038706064,0.4234773685296685,0.3428251571953297
mmfm_unet_150k,T1W,0007,0.1T,5T,0.34240055084228516,0.17474785447120667,0.3003151565383363,2.0203424424959713,0.43633828945457936
mmfm_unet_150k,T1W,0007,0.1T,7T,0.272489994764328,0.1264631450176239,0.3802386546746951,1.6039366905457253,0.3876120302826166
mmfm_unet_150k,T1W,0009,0.1T,1.5T,0.1057618036866188,0.021835431456565857,0.7225375316964099,0.2568498116123653,0.28058018945157526
mmfm_unet_150k,T1W,0009,0.1T,3T,0.1599954068660736,0.05140263959765434,0.5934794780449938,0.38148296465804066,0.35303815379738807
mmfm_unet_150k,T1W,0009,0.1T,5T,0.32028284668922424,0.1620016247034073,0.3829946524069449,2.04600879481874,0.4297001279890537
mmfm_unet_150k,T1W,0009,0.1T,7T,0.3213791251182556,0.1830442249774933,0.28241153857899337,4.157488031935218,0.4892488349229097
mmfm_unet_50k,T1W,0006,0.1T,1.5T,0.1697649359703064,0.04267118498682976,0.5614908325751068,0.3812676163890605,0.42972007021307945
mmfm_unet_50k,T1W,0006,0.1T,3T,0.12820038199424744,0.03189709782600403,0.46348805890192146,0.3325086502338758,0.4666800156235695
mmfm_unet_50k,T1W,0006,0.1T,5T,0.3966354727745056,0.2079533040523529,0.26720756976059523,2.4206386162571656,0.5687726516276598
mmfm_unet_50k,T1W,0006,0.1T,7T,0.291313111782074,0.12580618262290955,0.37073223225866825,1.3913825754894238,0.48534941077232363
mmfm_unet_50k,T1W,0007,0.1T,1.5T,0.19097113609313965,0.05120468884706497,0.5416298431230044,0.4241394262346921,0.46671060398221015
mmfm_unet_50k,T1W,0007,0.1T,3T,0.14827194809913635,0.04259253293275833,0.4584809353429293,0.3551364448482226,0.47561254985630513
mmfm_unet_50k,T1W,0007,0.1T,5T,0.3859119117259979,0.1933009922504425,0.2764002850603311,2.1248882554848283,0.5820605721324682
mmfm_unet_50k,T1W,0007,0.1T,7T,0.32496923208236694,0.15310364961624146,0.32515907056131743,1.7648102180520115,0.5051201786845922
mmfm_unet_50k,T1W,0009,0.1T,1.5T,0.14010663330554962,0.03455912321805954,0.558575830781279,0.3231318294367614,0.39630981907248497
mmfm_unet_50k,T1W,0009,0.1T,3T,0.11296389251947403,0.027148962020874023,0.4725114909703695,0.27724202189129565,0.44554976373910904
mmfm_unet_50k,T1W,0009,0.1T,5T,0.3928048014640808,0.20715221762657166,0.2674810795759869,2.31362308232344,0.5725657235831022
mmfm_unet_50k,T1W,0009,0.1T,7T,0.4048141539096832,0.23544803261756897,0.15578745414801215,4.715204379405901,0.5614533644169569
mmfm_unet_100k,T1W,0006,0.1T,1.5T,0.1274641454219818,0.02668469026684761,0.7397722493422645,0.3015043811603029,0.2757124062627554
mmfm_unet_100k,T1W,0006,0.1T,3T,0.13515309989452362,0.03259066492319107,0.6281416307990882,0.3361042149231345,0.31728841122239826
mmfm_unet_100k,T1W,0006,0.1T,5T,0.3414992094039917,0.17214545607566833,0.35357464635479385,2.202392972267731,0.40384761355817317
mmfm_unet_100k,T1W,0006,0.1T,7T,0.24297261238098145,0.09877656400203705,0.5114528645967594,1.2328848840777817,0.3574824817478657
mmfm_unet_100k,T1W,0007,0.1T,1.5T,0.1587454080581665,0.03935779258608818,0.6844256859281288,0.37185117736011725,0.3139391403645277
mmfm_unet_100k,T1W,0007,0.1T,3T,0.16320861876010895,0.04824582859873772,0.5685123429960655,0.37797093368155643,0.33936380632221697
