modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T1W,0.1T_to_7T,7T,0006,ns50,724617.804732665,666817.5484017229,714032.7582231096,0.3835,0.42071,0.37499,0.37498,0.9202,1.1096
T1W,0.1T_to_7T,7T,0007,ns50,764036.7593311733,578432.933617879,497434.91620167723,0.45857,0.49677,0.3459,0.34588,0.7571,1.0448
T1W,0.1T_to_7T,7T,0009,ns50,558045.7214758679,229016.77285488276,105526.6012830897,1.39562,1.49386,0.33069,0.33068,0.4104,1.0439
T1W,7T_to_0.1T,0.1T,0006,ns50,3304409.866663614,3485355.8872310934,4064236.846109953,0.31291,0.3476,0.30899,0.30648,1.0548,1.2313
T1W,7T_to_0.1T,0.1T,0007,ns50,2552057.0593464808,3112658.4312635004,4172328.7992550493,0.34585,0.34086,0.30017,0.29637,1.2197,1.0132
T1W,7T_to_0.1T,0.1T,0009,ns50,561510.345894736,1262428.8370528677,3038726.1154443105,0.59489,0.78975,0.25683,0.25559,2.2483,0.5109
T1W,1.5T_to_7T,7T,0006,ns50,828156.5429839452,720457.5511118057,714032.7582231096,0.37661,0.47236,0.3496,0.34955,0.87,1.1649
T1W,1.5T_to_7T,7T,0007,ns50,910587.9178795719,629475.8258306368,497434.91620167723,0.54743,0.72753,0.35386,0.35383,0.6913,1.1611
T1W,1.5T_to_7T,7T,0009,ns50,794844.0871296694,269782.03825320397,105526.6012830897,1.84908,2.53218,0.3637,0.3637,0.3394,1.2525
T1W,7T_to_1.5T,1.5T,0006,ns50,1495754.2908492587,1771942.4431169273,2278349.510741159,0.31788,0.28301,0.28047,0.2786,1.1846,1.2313
T1W,7T_to_1.5T,1.5T,0007,ns50,1201335.8636690676,1643506.8094358158,2481928.582217498,0.39957,0.39377,0.30673,0.30349,1.3681,1.0132
T1W,7T_to_1.5T,1.5T,0009,ns50,271806.0026226939,768812.2720442556,2347655.3011132665,0.67883,0.83402,0.27149,0.26997,2.8285,0.5109
T2W,0.1T_to_7T,7T,0006,ns50,1575693.5601583885,1307627.0986998745,1244475.9123391546,0.40578,0.42903,0.35779,0.35764,0.8299,1.0403
T2W,0.1T_to_7T,7T,0007,ns50,1056792.899672908,810117.6436395091,706741.0565468612,0.45029,0.3619,0.34827,0.34825,0.7666,0.8471
T2W,0.1T_to_7T,7T,0009,ns50,947106.0331172243,873956.5258709574,870119.0455511197,0.28224,0.2851,0.27049,0.27043,0.9228,0.8364
T2W,7T_to_0.1T,0.1T,0006,ns50,2003236.6707688484,2392097.3827929134,3046546.1901859995,0.29526,0.25501,0.2498,0.24796,1.1941,1.2574
T2W,7T_to_0.1T,0.1T,0007,ns50,1341603.6870081953,1593611.160506991,2031185.3539286666,0.30226,0.36091,0.26087,0.25924,1.1878,0.881
T2W,7T_to_0.1T,0.1T,0009,ns50,1514665.1669396574,1610266.842558691,1781409.011151804,0.20592,0.21515,0.19753,0.19677,1.0631,0.9706
T2W,1.5T_to_7T,7T,0006,ns50,602489.67080208,810802.1128993467,1244475.9123391546,0.42555,0.44347,0.35102,0.35076,1.3458,0.9562
T2W,1.5T_to_7T,7T,0007,ns50,732616.7092681461,678397.2400213219,706741.0565468612,0.34179,0.334,0.33338,0.33319,0.926,0.9459
T2W,1.5T_to_7T,7T,0009,ns50,560611.2610411528,669647.2976578531,870119.0455511197,0.32417,0.38806,0.2841,0.28404,1.1945,0.8652
T2W,7T_to_1.5T,1.5T,0006,ns50,1653173.4081593424,1239615.023214222,1053998.0622526873,0.46504,0.7226,0.34367,0.34309,0.7498,1.2574
T2W,7T_to_1.5T,1.5T,0007,ns50,1060531.045292833,1101311.8878430768,1262138.848272205,0.3084,0.33869,0.30638,0.30537,1.0385,0.881
T2W,7T_to_1.5T,1.5T,0009,ns50,1238606.433869395,1043015.2050426407,941559.8851580386,0.31619,0.29819,0.25918,0.25899,0.8421,0.9706
T2FLAIR,0.1T_to_7T,7T,0006,ns50,572380.8647987061,614187.1481061863,717328.423282181,0.29241,0.38653,0.28504,0.28472,1.073,0.7808
T2FLAIR,0.1T_to_7T,7T,0007,ns50,667311.4526447109,474110.1853114284,382671.7109971353,0.51568,0.39024,0.34606,0.34413,0.7105,0.8471
T2FLAIR,0.1T_to_7T,7T,0009,ns50,926229.2341491375,613089.2340948047,421776.31009726715,0.53744,0.56256,0.19453,0.19443,0.6619,1.0181
T2FLAIR,7T_to_0.1T,0.1T,0006,ns50,2693735.4623471857,2397689.9824048537,2259008.3832891113,0.26393,0.24816,0.23507,0.23458,0.8901,0.9629
T2FLAIR,7T_to_0.1T,0.1T,0007,ns50,1550183.2174266619,1942414.8529347715,2660831.9270433867,0.35013,0.53178,0.29204,0.29181,1.253,0.6708
T2FLAIR,7T_to_0.1T,0.1T,0009,ns50,1627466.2764836345,2380673.240059292,3579186.2731723343,0.35273,0.54822,0.16438,0.16428,1.4628,0.6872
T2FLAIR,1.5T_to_7T,7T,0006,ns50,1085074.7212389892,858300.5644754071,717328.423282181,0.34585,0.39568,0.23139,0.23127,0.791,1.052
T2FLAIR,1.5T_to_7T,7T,0007,ns50,703666.9965040175,507676.6889537134,382671.7109971353,0.4307,0.23624,0.207,0.20696,0.7215,0.8054
T2FLAIR,1.5T_to_7T,7T,0009,ns50,1113021.7798126515,674671.1341610838,421776.31009726715,0.6631,0.78853,0.17432,0.17423,0.6062,1.0796
T2FLAIR,7T_to_1.5T,1.5T,0006,ns50,2337380.1411273372,2881970.4226478776,3704485.241900683,0.2739,0.2946,0.20192,0.20172,1.233,0.9629
T2FLAIR,7T_to_1.5T,1.5T,0007,ns50,1339589.6346523955,1768457.6373786859,2403060.007326249,0.2926,0.51336,0.16875,0.16863,1.3201,0.6708
T2FLAIR,7T_to_1.5T,1.5T,0009,ns50,1408027.230774344,2229140.219223114,3614964.803524517,0.39524,0.58001,0.15412,0.15409,1.5832,0.6872
