modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T1W,0.1T_to_7T,7T,0006,n100,723851.2878183691,666532.2887429625,714032.7582231096,0.38314,0.4202,0.37476,0.37475,0.9208,1.1096
T1W,0.1T_to_7T,7T,0007,n100,763053.9746508,578119.7078350957,497434.91620167723,0.45779,0.49592,0.34564,0.34562,0.7576,1.0448
T1W,0.1T_to_7T,7T,0009,n100,557282.2893827513,228876.87657950915,105526.6012830897,1.39397,1.49215,0.3305,0.33048,0.4107,1.0439
T1W,7T_to_0.1T,0.1T,0006,n100,3293069.355535236,3477702.054368489,4064236.846109953,0.31446,0.34818,0.31039,0.30782,1.0561,1.2313
T1W,7T_to_0.1T,0.1T,0007,n100,2539463.1232008156,3103823.458984017,4172328.7992550493,0.34761,0.34261,0.30128,0.29743,1.2222,1.0132
T1W,7T_to_0.1T,0.1T,0009,n100,559279.4808946083,1259769.39019014,3038726.1154443105,0.59574,0.7902,0.25726,0.25601,2.2525,0.5109
T1W,1.5T_to_7T,7T,0006,n100,826064.8901560892,719708.3152537558,714032.7582231096,0.3755,0.47074,0.34904,0.34898,0.8712,1.1649
T1W,1.5T_to_7T,7T,0007,n100,907953.8045066412,628714.292333227,497434.91620167723,0.54539,0.72506,0.35327,0.35324,0.6925,1.1611
T1W,1.5T_to_7T,7T,0009,n100,793281.0188339924,269546.06138566264,105526.6012830897,1.84628,2.52869,0.36344,0.36344,0.3398,1.2525
T1W,7T_to_1.5T,1.5T,0006,n100,1498455.5862075482,1773911.8420744948,2278349.510741159,0.31702,0.28242,0.27978,0.27794,1.1838,1.2313
T1W,7T_to_1.5T,1.5T,0007,n100,1205152.43671198,1646421.6449451547,2481928.582217498,0.39855,0.39275,0.30618,0.30297,1.3662,1.0132
T1W,7T_to_1.5T,1.5T,0009,n100,273193.7971793631,770895.1722117127,2347655.3011132665,0.67796,0.83357,0.27095,0.26944,2.8218,0.5109
T2W,0.1T_to_7T,7T,0006,n100,1577963.6651684642,1308554.828146329,1244475.9123391546,0.40619,0.42952,0.35782,0.35766,0.8293,1.0403
