modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T1W,0.1T_to_1.5T,1.5T,0006,Vectorise,1637135.9194983651,1909765.4969503807,2278349.510741159,0.20522,0.15659,0.14896,0.14877,1.1665,1.1096
T1W,0.1T_to_1.5T,1.5T,0006,UNet,1662154.6670518029,1924907.1119914388,2278349.510741159,0.19951,0.15261,0.14688,0.14673,1.1581,1.1096
T1W,0.1T_to_1.5T,1.5T,0006,INR,1446177.0546433644,1624087.252345431,2278349.510741159,0.45725,0.44675,0.44662,0.44026,1.123,1.1096
T1W,0.1T_to_1.5T,1.5T,0007,Vectorise,1721694.9312724047,2048718.1595209178,2481928.582217498,0.20684,0.17994,0.13326,0.13313,1.1899,1.0448
T1W,0.1T_to_1.5T,1.5T,0007,UNet,1756810.9970409053,2070585.9806089015,2481928.582217498,0.19827,0.17149,0.12935,0.12926,1.1786,1.0448
T1W,0.1T_to_1.5T,1.5T,0007,INR,1525141.4263589354,1750178.9542397035,2481928.582217498,0.45184,0.44416,0.43679,0.42994,1.1476,1.0448
T1W,0.1T_to_1.5T,1.5T,0009,Vectorise,1255333.7569333198,1689091.9394963786,2347655.3011132665,0.30945,0.28385,0.17865,0.17817,1.3455,1.0439
T1W,0.1T_to_1.5T,1.5T,0009,UNet,1276835.8628406678,1705404.3246597333,2347655.3011132665,0.30169,0.27576,0.17247,0.17209,1.3356,1.0439
T1W,0.1T_to_1.5T,1.5T,0009,INR,1128995.265478385,1427047.2623839679,2347655.3011132665,0.51496,0.50494,0.48132,0.47427,1.264,1.0439
T1W,0.1T_to_3T,3T,0006,Vectorise,2663400.586366902,3150211.7927384987,3803023.1198128695,0.20892,0.15494,0.14231,0.14224,1.1828,1.1096
T1W,0.1T_to_3T,3T,0006,UNet,2741465.7612040844,3196842.6692162617,3803023.1198128695,0.19913,0.14855,0.14058,0.14055,1.1661,1.1096
T1W,0.1T_to_3T,3T,0006,INR,1786155.0653007256,2108829.4735236187,3803023.1198128695,0.60053,0.58965,0.58763,0.57139,1.1807,1.1096
T1W,0.1T_to_3T,3T,0007,Vectorise,2787625.9419612223,2423199.794822623,2147316.1520779505,0.20306,0.24296,0.13801,0.13798,0.8693,1.0448
T1W,0.1T_to_3T,3T,0007,UNet,2896631.3767412337,2472921.136803316,2147316.1520779505,0.21375,0.25702,0.12971,0.1297,0.8537,1.0448
T1W,0.1T_to_3T,3T,0007,INR,1857459.0327769686,1615961.7024990453,2147316.1520779505,0.59993,0.60969,0.58762,0.56901,0.87,1.0448
T1W,0.1T_to_3T,3T,0009,Vectorise,2036423.2242634445,2691829.618078405,3624040.6030706316,0.27637,0.24817,0.13482,0.13459,1.3218,1.0439
T1W,0.1T_to_3T,3T,0009,UNet,2105607.938456462,2740151.405601834,3624040.6030706316,0.2623,0.23357,0.12664,0.12655,1.3014,1.0439
T1W,0.1T_to_3T,3T,0009,INR,1359257.750042126,1761753.0091163593,3624040.6030706316,0.63467,0.62752,0.60821,0.59214,1.2961,1.0439
T1W,0.1T_to_5T,5T,0006,Vectorise,881373.3685052039,636070.6871940056,482299.0247689652,0.43564,0.5685,0.2196,0.21928,0.7217,1.1096
T1W,0.1T_to_5T,5T,0006,UNet,922032.4500309036,650587.2224378741,482299.0247689652,0.46248,0.60015,0.21953,0.21931,0.7056,1.1096
