method,task,pair,n_subjects,nrmse_mean,ssim_mean,nrmse_std,ssim_std
identity,task3,0.1T_to_1.5T,3,0.2178825758432975,0.8847221496967768,0.06801608273367962,0.023721239716287507
identity,task3,0.1T_to_3T,3,0.23538995638937887,0.8716658140117061,0.04674986131707555,0.03269823374321045
identity,task3,0.1T_to_5T,3,0.21003453297547728,0.879708166729705,0.036534085055879705,0.028906231880055817
identity,task3,0.1T_to_7T,3,1.5107404611166715,0.8350007884689169,0.4664391477748767,0.02816347096999136
identity,task3,1.5T_to_0.1T,3,0.23858638926316275,0.8834994240757252,0.08980502195533781,0.024388739990492687
identity,task3,1.5T_to_3T,3,0.1696655453420104,0.9495387078828741,0.05117545619152194,0.00977491284368371
identity,task3,1.5T_to_5T,3,0.21190894869836954,0.9440971768637502,0.057361247651667405,0.002020336306715585
identity,task3,1.5T_to_7T,3,1.6051259449208948,0.8499869314147391,0.2597624062283594,0.006537702440924675
identity,task3,3T_to_0.1T,3,0.2671349273143471,0.8706161545726195,0.08191638511236975,0.034084269061957086
identity,task3,3T_to_1.5T,3,0.18577634805128493,0.9497076897613493,0.08994938699445534,0.009907021749775874
identity,task3,3T_to_5T,3,0.1393036706520233,0.952504995478381,0.054129113164298505,0.006660869180445178
identity,task3,3T_to_7T,3,1.6942575392529076,0.8438034812081749,0.4619587767845719,0.03188820883047666
identity,task3,5T_to_0.1T,3,0.2152168423117334,0.8779407901924258,0.05776299884612434,0.030563277918857365
identity,task3,5T_to_1.5T,3,0.19680386306881656,0.9439571091891884,0.03870971544188493,0.0022515573572474456
identity,task3,5T_to_3T,3,0.12481227360786669,0.9522150507058521,0.04109959818118948,0.006630371314646722
identity,task3,5T_to_7T,3,1.488947732641253,0.8553999698227023,0.49368056170202623,0.034078640758757155
identity,task3,7T_to_0.1T,3,0.6026447564852039,0.8335485484933104,0.08255187337818368,0.02971624318111445
identity,task3,7T_to_1.5T,3,0.6212434964995306,0.8503961904144518,0.03457725863919793,0.006142699194436872
identity,task3,7T_to_3T,3,0.6246917337081838,0.8436168770008755,0.06396898473943176,0.03179759811628825
identity,task3,7T_to_5T,3,0.5880080483334639,0.856168248965037,0.0886509591197059,0.03366973363696236
