method,task,pair,n_subjects,nrmse_mean,ssim_mean,nrmse_std,ssim_std
identity,task3,0.1T_to_1.5T,3,0.5715233414813936,0.8815375777356816,0.17603092968040726,0.01754894478781083
identity,task3,0.1T_to_3T,3,0.574170182036504,0.865695866104974,0.18483162418949065,0.015855105461020143
identity,task3,0.1T_to_5T,3,0.6413731863617085,0.86850073315364,0.09505375793617359,0.009137313061786981
identity,task3,0.1T_to_7T,3,0.7305476543886419,0.8695261109821651,0.12447943871959537,0.020373915497544432
identity,task3,1.5T_to_0.1T,3,0.3862512112495433,0.8863031017614854,0.06755758457310738,0.015566645392900673
identity,task3,1.5T_to_3T,3,0.2437877592260221,0.9153347465097124,0.019011983197801726,0.006726001394971228
identity,task3,1.5T_to_5T,3,0.269772389536023,0.9262042897736387,0.015175428569214592,0.00559748546952262
identity,task3,1.5T_to_7T,3,0.42131028026262746,0.9180579181690254,0.1013857053524097,0.011349717876374994
identity,task3,3T_to_0.1T,3,0.3899818937697603,0.8705074021859476,0.07069418835311188,0.01552287031193036
identity,task3,3T_to_1.5T,3,0.2451671324492206,0.9150830922960762,0.012875713948181702,0.007074889029583494
identity,task3,3T_to_5T,3,0.20409515542692555,0.9595337037497695,0.03139998918925509,0.004220392544288469
identity,task3,3T_to_7T,3,0.3806580254194305,0.9276723981254674,0.08259169970174372,0.013027217854491468
identity,task3,5T_to_0.1T,3,0.4242092842903857,0.8722881969225385,0.03724962311938748,0.009028285343404614
identity,task3,5T_to_1.5T,3,0.257985064993007,0.925467041558205,0.0059952584651689735,0.0057080760865668035
identity,task3,5T_to_3T,3,0.19363918679968664,0.9592305238876578,0.0267232630859623,0.004240890213097024
identity,task3,5T_to_7T,3,0.30532800820943173,0.9439546554424738,0.07779881338671846,0.012776017975935755
identity,task3,7T_to_0.1T,3,0.4639788223837509,0.8741066918791346,0.050144532865360254,0.01935259586770092
identity,task3,7T_to_1.5T,3,0.38164525746071537,0.917602205938037,0.055071391461916606,0.011901766545713025
identity,task3,7T_to_3T,3,0.34465146636810934,0.9275551607775038,0.0531692561490157,0.013193474648855126
identity,task3,7T_to_5T,3,0.28703702724088004,0.9442859316355348,0.037361853634165824,0.012781283317468719
