modality,pair,subject,method,hf_ratio
T1W,0.1T_to_1.5T,0006,identite,0.17287966370116503
T1W,0.1T_to_1.5T,0006,Vectorise,0.055165549162400324
T1W,0.1T_to_1.5T,0006,UNet,0.05272579579541621
T1W,0.1T_to_1.5T,0006,INR,1.1415540800056059
T1W,0.1T_to_1.5T,0007,identite,0.16454474344220302
T1W,0.1T_to_1.5T,0007,Vectorise,0.05026890079078301
T1W,0.1T_to_1.5T,0007,UNet,0.04851856618074171
T1W,0.1T_to_1.5T,0007,INR,0.8455908557999641
T1W,0.1T_to_1.5T,0009,identite,0.1775511300304179
T1W,0.1T_to_1.5T,0009,Vectorise,0.04262286723873591
T1W,0.1T_to_1.5T,0009,UNet,0.040756772276902886
T1W,0.1T_to_1.5T,0009,INR,1.279654786033598
T1W,0.1T_to_3T,0006,identite,0.0939124024359212
T1W,0.1T_to_3T,0006,Vectorise,0.03168620131322771
T1W,0.1T_to_3T,0006,UNet,0.028280656731921237
T1W,0.1T_to_3T,0006,INR,0.6316094240879327
T1W,0.1T_to_3T,0007,identite,0.09966039189605068
T1W,0.1T_to_3T,0007,Vectorise,0.03140963653038237
T1W,0.1T_to_3T,0007,UNet,0.028667738014567498
T1W,0.1T_to_3T,0007,INR,0.5431791485018124
T1W,0.1T_to_3T,0009,identite,0.08795804260894123
T1W,0.1T_to_3T,0009,Vectorise,0.023044480751420817
T1W,0.1T_to_3T,0009,UNet,0.020634495439073256
T1W,0.1T_to_3T,0009,INR,0.6526291660170588
T1W,0.1T_to_5T,0006,identite,0.04387590799450499
T1W,0.1T_to_5T,0006,Vectorise,0.015725621570124117
T1W,0.1T_to_5T,0006,UNet,0.013399831935032606
T1W,0.1T_to_5T,0006,INR,0.3192793725446405
T1W,0.1T_to_5T,0007,identite,0.03638576607963846
T1W,0.1T_to_5T,0007,Vectorise,0.011848336033470937
T1W,0.1T_to_5T,0007,UNet,0.01047024682519688
T1W,0.1T_to_5T,0007,INR,0.21905994717585586
T1W,0.1T_to_5T,0009,identite,0.03416643713617621
T1W,0.1T_to_5T,0009,Vectorise,0.008897478389758776
T1W,0.1T_to_5T,0009,UNet,0.007931656546202826
T1W,0.1T_to_5T,0009,INR,0.259194625362889
T1W,0.1T_to_7T,0006,identite,0.0818313425152001
T1W,0.1T_to_7T,0006,Vectorise,0.030713580169300952
T1W,0.1T_to_7T,0006,UNet,0.025321516317922222
T1W,0.1T_to_7T,0006,INR,0.7611132530914864
T1W,0.1T_to_7T,0007,identite,0.07899378339943514
T1W,0.1T_to_7T,0007,Vectorise,0.026837750134246992
T1W,0.1T_to_7T,0007,UNet,0.023112697342553962
T1W,0.1T_to_7T,0007,INR,0.6647421305410817
T1W,0.1T_to_7T,0009,identite,0.030808463778434637
T1W,0.1T_to_7T,0009,Vectorise,0.007795072393333058
T1W,0.1T_to_7T,0009,UNet,0.007217116555211774
T1W,0.1T_to_7T,0009,INR,0.3156591044280899
T1W,1.5T_to_0.1T,0006,identite,5.818409224397415
T1W,1.5T_to_0.1T,0006,Vectorise,1.8902828612525522
T1W,1.5T_to_0.1T,0006,UNet,1.9939331098162225
T1W,1.5T_to_0.1T,0006,INR,6.802423540826244
T1W,1.5T_to_0.1T,0007,identite,6.020064565500558
T1W,1.5T_to_0.1T,0007,Vectorise,1.8726099419688371
T1W,1.5T_to_0.1T,0007,UNet,2.0003208652991455
T1W,1.5T_to_0.1T,0007,INR,6.953851849535198
T1W,1.5T_to_0.1T,0009,identite,5.635483895787379
T1W,1.5T_to_0.1T,0009,Vectorise,2.6898526494040866
T1W,1.5T_to_0.1T,0009,UNet,2.870916249423088
T1W,1.5T_to_0.1T,0009,INR,7.808215044888502
T1W,1.5T_to_3T,0006,identite,0.5440513606079378
T1W,1.5T_to_3T,0006,Vectorise,0.2030534330386248
T1W,1.5T_to_3T,0006,UNet,0.19413780696190708
T1W,1.5T_to_3T,0006,INR,0.5723367002284897
T1W,1.5T_to_3T,0007,identite,0.6073010338804029
T1W,1.5T_to_3T,0007,Vectorise,0.21721238309065954
T1W,1.5T_to_3T,0007,UNet,0.20665936227658643
T1W,1.5T_to_3T,0007,INR,0.5103975265070925
T1W,1.5T_to_3T,0009,identite,0.4952050806306636
T1W,1.5T_to_3T,0009,Vectorise,0.2795372152044323
T1W,1.5T_to_3T,0009,UNet,0.2662066683784005
T1W,1.5T_to_3T,0009,INR,0.591996961364088
T1W,1.5T_to_5T,0006,identite,0.255240943469525
T1W,1.5T_to_5T,0006,Vectorise,0.10075242580690472
T1W,1.5T_to_5T,0006,UNet,0.09151901247492279
T1W,1.5T_to_5T,0006,INR,0.2516798834169185
T1W,1.5T_to_5T,0007,identite,0.22217640002007738
T1W,1.5T_to_5T,0007,Vectorise,0.08051556905273395
T1W,1.5T_to_5T,0007,UNet,0.07312774228145144
T1W,1.5T_to_5T,0007,INR,0.17910036550544298
T1W,1.5T_to_5T,0009,identite,0.19249503607802598
T1W,1.5T_to_5T,0009,Vectorise,0.11410178034614774
T1W,1.5T_to_5T,0009,UNet,0.10256688941468475
T1W,1.5T_to_5T,0009,INR,0.22851599979190138
T1W,1.5T_to_7T,0006,identite,0.48155197914878733
T1W,1.5T_to_7T,0006,Vectorise,0.19764637851912226
T1W,1.5T_to_7T,0006,UNet,0.1734476328470222
T1W,1.5T_to_7T,0006,INR,0.5010913215055651
T1W,1.5T_to_7T,0007,identite,0.4810760341282908
T1W,1.5T_to_7T,0007,Vectorise,0.19051095800616108
T1W,1.5T_to_7T,0007,UNet,0.16609027301141527
T1W,1.5T_to_7T,0007,INR,0.4243479670283675
T1W,1.5T_to_7T,0009,identite,0.17072249013197338
T1W,1.5T_to_7T,0009,Vectorise,0.10434220686805196
T1W,1.5T_to_7T,0009,UNet,0.09408140402842885
T1W,1.5T_to_7T,0009,INR,0.21148851504564323
T1W,3T_to_0.1T,0006,identite,10.716648465462551
T1W,3T_to_0.1T,0006,Vectorise,2.8704718052291884
T1W,3T_to_0.1T,0006,UNet,3.2490267050303046
T1W,3T_to_0.1T,0006,INR,7.829125771666811
T1W,3T_to_0.1T,0007,identite,9.914336371268062
T1W,3T_to_0.1T,0007,Vectorise,2.720445056395563
T1W,3T_to_0.1T,0007,UNet,3.0308180113596594
T1W,3T_to_0.1T,0007,INR,6.8393526659065484
T1W,3T_to_0.1T,0009,identite,11.409404969021875
T1W,3T_to_0.1T,0009,Vectorise,2.9925299381301627
T1W,3T_to_0.1T,0009,UNet,3.433581153148563
T1W,3T_to_0.1T,0009,INR,8.06234955727822
T1W,3T_to_1.5T,0006,identite,1.870135600299833
T1W,3T_to_1.5T,0006,Vectorise,0.5377080615521876
T1W,3T_to_1.5T,0006,UNet,0.5671386738160581
T1W,3T_to_1.5T,0006,INR,1.2934432609620414
T1W,3T_to_1.5T,0007,identite,1.6410481319013497
T1W,3T_to_1.5T,0007,Vectorise,0.4752201071138217
T1W,3T_to_1.5T,0007,UNet,0.4960044362970817
T1W,3T_to_1.5T,0007,INR,1.0818149329336109
T1W,3T_to_1.5T,0009,identite,2.0405834051810587
T1W,3T_to_1.5T,0009,Vectorise,0.5703462521626577
T1W,3T_to_1.5T,0009,UNet,0.6062908597027418
T1W,3T_to_1.5T,0009,INR,1.4798612933086641
T1W,3T_to_5T,0006,identite,0.4701197370006236
T1W,3T_to_5T,0006,Vectorise,0.1557795628054939
T1W,3T_to_5T,0006,UNet,0.14914942346184826
T1W,3T_to_5T,0006,INR,0.2851315684659478
T1W,3T_to_5T,0007,identite,0.36622683287700925
T1W,3T_to_5T,0007,Vectorise,0.11236802412151377
T1W,3T_to_5T,0007,UNet,0.10850391482194137
T1W,3T_to_5T,0007,INR,0.17962826863004927
T1W,3T_to_5T,0009,identite,0.3905988649387164
T1W,3T_to_5T,0009,Vectorise,0.12927928080678022
T1W,3T_to_5T,0009,UNet,0.12297153525999249
T1W,3T_to_5T,0009,INR,0.24725976124348184
T1W,3T_to_7T,0006,identite,0.8816370874742105
T1W,3T_to_7T,0006,Vectorise,0.31230067120828353
T1W,3T_to_7T,0006,UNet,0.2836995755760984
T1W,3T_to_7T,0006,INR,0.4769391166165258
T1W,3T_to_7T,0007,identite,0.7915949106064768
T1W,3T_to_7T,0007,Vectorise,0.2665536840400737
T1W,3T_to_7T,0007,UNet,0.2431170034689225
T1W,3T_to_7T,0007,INR,0.387991216665002
T1W,3T_to_7T,0009,identite,0.34864037379590623
T1W,3T_to_7T,0009,Vectorise,0.12139235319142987
T1W,3T_to_7T,0009,UNet,0.10892968512699541
T1W,3T_to_7T,0009,INR,0.21181842349149305
T1W,5T_to_0.1T,0006,identite,22.79660237153625
T1W,5T_to_0.1T,0006,Vectorise,5.477812280920862
T1W,5T_to_0.1T,0006,UNet,6.802263562355305
T1W,5T_to_0.1T,0006,INR,8.445511865067063
T1W,5T_to_0.1T,0007,identite,27.11634583621762
T1W,5T_to_0.1T,0007,Vectorise,7.494997054437561
T1W,5T_to_0.1T,0007,UNet,8.814205965375452
