modality,pair,subject,method,hf_ratio
T1W,0.1T_to_1.5T,0006,identite,0.17041347052512243
T1W,0.1T_to_1.5T,0006,Vectorise,0.15081477842517627
T1W,0.1T_to_1.5T,0006,UNet,0.14867618777874284
T1W,0.1T_to_1.5T,0006,INR,0.2300576698714488
T1W,0.1T_to_1.5T,0007,identite,0.15814423536502442
T1W,0.1T_to_1.5T,0007,Vectorise,0.13083794942870045
T1W,0.1T_to_1.5T,0007,UNet,0.12840512805393028
T1W,0.1T_to_1.5T,0007,INR,0.2462956368726819
T1W,0.1T_to_1.5T,0009,identite,0.24529367142231945
T1W,0.1T_to_1.5T,0009,Vectorise,0.16833352867979057
T1W,0.1T_to_1.5T,0009,UNet,0.1635088723716399
T1W,0.1T_to_1.5T,0009,INR,0.19747290974076243
T1W,0.1T_to_3T,0006,identite,0.07349462146327182
T1W,0.1T_to_3T,0006,Vectorise,0.0640235726914194
T1W,0.1T_to_3T,0006,UNet,0.06256831169782068
T1W,0.1T_to_3T,0006,INR,0.1862760987614011
T1W,0.1T_to_3T,0007,identite,0.0758765138206416
T1W,0.1T_to_3T,0007,Vectorise,0.06491738514758048
T1W,0.1T_to_3T,0007,UNet,0.06154992018217659
T1W,0.1T_to_3T,0007,INR,0.1908677474558889
T1W,0.1T_to_3T,0009,identite,0.12489613742371437
T1W,0.1T_to_3T,0009,Vectorise,0.08882815079236708
T1W,0.1T_to_3T,0009,UNet,0.08374093344043274
T1W,0.1T_to_3T,0009,INR,0.17099719409328373
T1W,0.1T_to_5T,0006,identite,0.031994379311919514
T1W,0.1T_to_5T,0006,Vectorise,0.028515386097595987
T1W,0.1T_to_5T,0006,UNet,0.027414321981688392
T1W,0.1T_to_5T,0006,INR,0.0905930921610154
T1W,0.1T_to_5T,0007,identite,0.02957337797294207
T1W,0.1T_to_5T,0007,Vectorise,0.026061709114235557
T1W,0.1T_to_5T,0007,UNet,0.024034016181987597
T1W,0.1T_to_5T,0007,INR,0.08485081781716917
T1W,0.1T_to_5T,0009,identite,0.04910595058098492
T1W,0.1T_to_5T,0009,Vectorise,0.03595269154684837
T1W,0.1T_to_5T,0009,UNet,0.033030551532901735
T1W,0.1T_to_5T,0009,INR,0.06680807096011065
T1W,0.1T_to_7T,0006,identite,0.08665902520247457
T1W,0.1T_to_7T,0006,Vectorise,0.08002425947020637
T1W,0.1T_to_7T,0006,UNet,0.0753536273349609
T1W,0.1T_to_7T,0006,INR,0.2017180698937648
T1W,0.1T_to_7T,0007,identite,0.08624007757091885
T1W,0.1T_to_7T,0007,Vectorise,0.07901286072991634
T1W,0.1T_to_7T,0007,UNet,0.07032256544499191
T1W,0.1T_to_7T,0007,INR,0.21827861393056738
T1W,0.1T_to_7T,0009,identite,0.05894573568477415
T1W,0.1T_to_7T,0009,Vectorise,0.043938737632728445
T1W,0.1T_to_7T,0009,UNet,0.03910760109083794
T1W,0.1T_to_7T,0009,INR,0.0749305035642148
T1W,1.5T_to_0.1T,0006,identite,5.813725667598846
T1W,1.5T_to_0.1T,0006,Vectorise,2.3313779147060205
T1W,1.5T_to_0.1T,0006,UNet,2.3692342236661315
T1W,1.5T_to_0.1T,0006,INR,2.442485511950405
T1W,1.5T_to_0.1T,0007,identite,6.099162806237571
T1W,1.5T_to_0.1T,0007,Vectorise,2.148518652905245
T1W,1.5T_to_0.1T,0007,UNet,2.179377104270627
T1W,1.5T_to_0.1T,0007,INR,1.6699130843683365
