modality,pair,method,hf_ratio
T1W,3T_to_7T,Vectorise,0.3123
T1W,3T_to_7T,UNet,0.2837
T1W,3T_to_7T,INR,0.2485
T1W,3T_to_0.1T,Vectorise,2.8705
T1W,3T_to_0.1T,UNet,3.249
T1W,3T_to_0.1T,INR,2.4249
T2W,3T_to_7T,Vectorise,0.6828
T2W,3T_to_7T,UNet,0.6587
T2W,3T_to_7T,INR,0.2628
T2W,3T_to_0.1T,Vectorise,6.0858
T2W,3T_to_0.1T,UNet,6.7594
T2W,3T_to_0.1T,INR,2.9619
T2FLAIR,3T_to_7T,Vectorise,0.582
T2FLAIR,3T_to_7T,UNet,0.5337
T2FLAIR,3T_to_7T,INR,0.2768
T2FLAIR,3T_to_0.1T,Vectorise,1.0049
T2FLAIR,3T_to_0.1T,UNet,1.1435
T2FLAIR,3T_to_0.1T,INR,0.7889
