field,inr_ceiling_nrmse,inr_ceiling_ssim,inr_deployed_nrmse,inr_deployed_ssim,inr_nrmse,inr_ssim,modality,set,subject,vae_nrmse,vae_ssim
0.1T,,,,,0.10703666711721936,0.8448221129801116,T1W,A,0006,0.02883063619618128,0.9801396995221053
3T,,,,,0.14422494324038432,0.7966746527670395,T1W,A,0006,0.0676766253613508,0.9425363902461176
7T,,,,,0.18316153140712021,0.7756198983027973,T1W,A,0006,0.07949850763101694,0.9426976127476907
0.1T,,,,,0.11218985823691373,0.826846646035674,T1W,A,0007,0.029168749614528845,0.9788721396746549
3T,,,,,0.12282124117788552,0.7772177556691501,T1W,A,0007,0.05561906755487272,0.9301875082980366
7T,,,,,0.16620595251905662,0.757229896629165,T1W,A,0007,0.07372492353590461,0.930912432491728
0.1T,,,,,0.09814619772687275,0.8471074641606351,T1W,A,0009,0.026982408028157327,0.9766422023548091
3T,,,,,0.12245596022676979,0.8212951940626794,T1W,A,0009,0.05690973329569999,0.9490476484388665
7T,,,,,0.10693441092877833,0.794215613805802,T1W,A,0009,0.04809870309198816,0.9446865008365235
0.1T,0.032406948495774426,0.9651337911257253,0.10703666711721936,0.8448221129801116,,,T1W,B,0006,0.02882805199691896,0.9801389233726684
3T,0.06311480927271546,0.916525755963449,0.14422494324038432,0.7966746527670395,,,T1W,B,0006,0.06767789408218546,0.9425381529192318
7T,0.06376952300853764,0.9235709508401464,0.18316153140712021,0.7756198983027973,,,T1W,B,0006,0.07949532678596836,0.942696659170071
