method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.22256132881655488,0.8755774226968027,0.15476808888168278,0.049471839301201796,0.012162808839221726,0.014605341497746869
mmfm_v2,task3,0.1T_to_3T,3,0.3165919785928004,0.8445925497169946,0.16548809683374754,0.04152452405520254,0.019704799486631713,0.020082650907216913
mmfm_v2,task3,0.1T_to_5T,3,0.2537283048678519,0.8625780930898164,0.15726836394742158,0.035176590114440166,0.013144788985103111,0.017766980687597612
mmfm_v2,task3,0.1T_to_7T,3,0.5780610901916374,0.884952312091927,0.1572611814027811,0.17834478873913384,0.01283255622751887,0.02254323915500914
mmfm_v2,task3,1.5T_to_0.1T,3,0.30965727121085806,0.8828650431044732,0.1282472965288771,0.11998467732664907,0.026246385143637356,0.025838423424871148
mmfm_v2,task3,1.5T_to_3T,3,0.2774041897835554,0.8458344313048695,0.1591592236027981,0.018836388651868687,0.014529209160826732,0.015629535754720227
mmfm_v2,task3,1.5T_to_5T,3,0.2088118378788478,0.8669933651949538,0.1491287172161535,0.0172970608115444,0.007188134095274796,0.01255372123995239
mmfm_v2,task3,1.5T_to_7T,3,0.5956133015619175,0.8844834725595453,0.14112003188091587,0.1375455842228058,0.008088285373422138,0.012973562730463186
mmfm_v2,task3,3T_to_0.1T,3,0.42328621851215,0.8852027537285133,0.13580087811648572,0.14772529300465237,0.02816912342973244,0.026850303517768022
mmfm_v2,task3,3T_to_1.5T,3,0.21140621144441826,0.8834007943865654,0.14946313493188343,0.036066679192068726,0.012380515465890248,0.012544210933300595
mmfm_v2,task3,3T_to_5T,3,0.19691650289747842,0.8762366261588626,0.14516535868493072,0.014224101773310552,0.00730073798246959,0.012364123932702567
mmfm_v2,task3,3T_to_7T,3,0.6045054952475702,0.8935343076848534,0.13891825313592338,0.1932014174969022,0.009861095476655993,0.011789918044917191
mmfm_v2,task3,5T_to_0.1T,3,0.3673305663198492,0.8759796202849187,0.14033286498655692,0.09952770844456577,0.021001752255036636,0.016402638734619824
mmfm_v2,task3,5T_to_1.5T,3,0.2209573650519988,0.8757866224415572,0.15319648713366837,0.045609966223305175,0.010866561807243377,0.007979754461324708
mmfm_v2,task3,5T_to_3T,3,0.28265402249017946,0.8481067290105323,0.15975351119094147,0.013717661742453145,0.01580218510039037,0.016274217619272974
mmfm_v2,task3,5T_to_7T,3,0.6484719448552778,0.8869723484664936,0.1409291011371888,0.21262174822199492,0.012000366811680237,0.014034664463100349
mmfm_v2,task3,7T_to_0.1T,3,0.6427821580929683,0.8505251082302628,0.18090054019262172,0.16220079880698376,0.02411988827198708,0.02218659291915324
mmfm_v2,task3,7T_to_1.5T,3,0.2680260488692158,0.8621678604220101,0.1735782472593056,0.035185094808970134,0.004208884046786384,0.003273556736680908
mmfm_v2,task3,7T_to_3T,3,0.36862699501449603,0.8355946393679182,0.1719072667375248,0.038212553065377866,0.014117924121564634,0.012779178648861876
mmfm_v2,task3,7T_to_5T,3,0.2959891098754788,0.8618051729538773,0.15291728087513354,0.04175207034935164,0.010455999214380158,0.011634099231869801
