method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.6098406626061221,0.8415451803596418,0.16549379960137536,0.05017859969080916,0.01106529274230063,0.014691196672217886
mmfm_v2,task3,0.1T_to_3T,3,0.5182046277576746,0.8110439452403858,0.17969648020040718,0.017366363710903207,0.012881411097986553,0.014856570637453994
mmfm_v2,task3,0.1T_to_5T,3,0.4209821261693191,0.8387517937405268,0.180190543915506,0.032418252794717196,0.010679529447196733,0.014608560609450977
mmfm_v2,task3,0.1T_to_7T,3,0.40709523759058647,0.8621660977082809,0.1628398447877932,0.05031442933723576,0.017093868285990285,0.012706074711573551
mmfm_v2,task3,1.5T_to_0.1T,3,0.3174430584297688,0.8687959611339173,0.13491253514790938,0.09068703997396332,0.016617744750826745,0.024047678897797447
mmfm_v2,task3,1.5T_to_3T,3,0.3491480827668703,0.820258004970832,0.17186023904809514,0.021451333255097862,0.009305312565237553,0.012417313751441455
mmfm_v2,task3,1.5T_to_5T,3,0.3544530152892961,0.8474309976339196,0.16949794102558693,0.00769167298452479,0.00911798226559787,0.012731500794477204
mmfm_v2,task3,1.5T_to_7T,3,0.39605450033021844,0.8635459141831442,0.15800001663161126,0.03997657193153936,0.013723571763120494,0.01179309902398272
mmfm_v2,task3,3T_to_0.1T,3,0.320011165322567,0.8825824289925751,0.14784543347959733,0.09780870141471931,0.02057418224653438,0.012575619062490433
mmfm_v2,task3,3T_to_1.5T,3,0.27644547237683803,0.8857017021258805,0.13833224750897738,0.0144072295270881,0.009535724262459027,0.01087612265837499
mmfm_v2,task3,3T_to_5T,3,0.33068223062195695,0.8658374729073959,0.15660038846342086,0.023876159184160074,0.009030615140592843,0.012507998991275169
mmfm_v2,task3,3T_to_7T,3,0.3521991344396255,0.8850007294993487,0.14121305173457707,0.04787462380866667,0.015507353529564335,0.01243644805811311
mmfm_v2,task3,5T_to_0.1T,3,0.33983309491750263,0.8793957353872178,0.1493798195998252,0.07844119098470942,0.019032272099629034,0.007724141699420144
mmfm_v2,task3,5T_to_1.5T,3,0.28873533657154815,0.8814464817917815,0.1408333463658427,0.01096391801306438,0.008403800119135824,0.009302371554259314
mmfm_v2,task3,5T_to_3T,3,0.3247682224229637,0.8392610772881577,0.1614388849060887,0.02558275170243126,0.011080479672060292,0.013019670245352765
mmfm_v2,task3,5T_to_7T,3,0.34792492285521726,0.8839982750054131,0.1423566771443889,0.04297109661904541,0.015435440876715122,0.012991801750217576
mmfm_v2,task3,7T_to_0.1T,3,0.34740174377306277,0.8672316575856042,0.17279390268198627,0.0747789452571059,0.02733351729866649,0.011360991633594766
mmfm_v2,task3,7T_to_1.5T,3,0.47314302701640215,0.85532788028606,0.16466206836135713,0.058881138793637204,0.014722594121229171,0.014017960164395413
mmfm_v2,task3,7T_to_3T,3,0.43408309264543293,0.8254596621278042,0.17477709191644286,0.004304423273882352,0.011661480330077457,0.016257757601726028
mmfm_v2,task3,7T_to_5T,3,0.3914597344644119,0.8526174272827202,0.17044567877327874,0.0168592904856943,0.011120074870980231,0.017205638661092686
