method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.2427398709172793,0.8645822804430844,0.14671260079089343,0.03403220021219048,0.0038367921111155945,0.008703713589739133
mmfm_v2,task3,0.1T_to_3T,3,0.30711027264189883,0.8253343438243871,0.16249893402556317,0.08011499557092237,0.012370538691118616,0.009313270438576363
mmfm_v2,task3,0.1T_to_5T,3,0.5871775870953249,0.8699773610958842,0.16158911373478557,0.1001391862148242,0.010702098581426494,0.014347049154563864
mmfm_v2,task3,0.1T_to_7T,3,0.7933286962462097,0.8463369247038816,0.1734704708211615,0.47030170455946746,0.003013168359585758,0.014334288187301912
mmfm_v2,task3,1.5T_to_0.1T,3,0.18883908530223903,0.8891946915210082,0.13215102640637974,0.012144132300620976,0.002677804357634297,0.007275494869801101
mmfm_v2,task3,1.5T_to_3T,3,0.3020273425402456,0.8302184977110079,0.15653483931359943,0.07697088253823822,0.012248721804229663,0.010399641058477533
mmfm_v2,task3,1.5T_to_5T,3,0.5603305136597801,0.876453065867834,0.1563376494290958,0.07533729311534958,0.007755950442115544,0.013977183183602327
mmfm_v2,task3,1.5T_to_7T,3,0.8065962013222356,0.8495582978351307,0.1727378886135532,0.501028837429797,0.0010801254943922814,0.010619058151548946
mmfm_v2,task3,3T_to_0.1T,3,0.19858925993709922,0.8931321762092633,0.13558228374150563,0.022450320207296322,0.003828392625085652,0.00838042968505486
mmfm_v2,task3,3T_to_1.5T,3,0.20615712671469563,0.8752273343530707,0.1412436921489648,0.004634619216603688,0.006092304953402095,0.009518988754465356
mmfm_v2,task3,3T_to_5T,3,0.7991280352894954,0.8659663478421032,0.1534813253750902,0.09289783785266846,0.011221715756634415,0.014109950853928485
mmfm_v2,task3,3T_to_7T,3,0.9571169221020933,0.8440954831014933,0.17275191223633732,0.6048551611850859,0.003350510023627969,0.01124181971555545
mmfm_v2,task3,5T_to_0.1T,3,0.23393743839562506,0.8788409856250815,0.15076891302397957,0.004311351154095509,0.006421916460326916,0.006201157424696677
mmfm_v2,task3,5T_to_1.5T,3,0.2550526510066413,0.867608638735906,0.1475797107836674,0.005430250695768552,0.0055989362616918024,0.008389130546728997
mmfm_v2,task3,5T_to_3T,3,0.3348949693889831,0.8290800309869181,0.15695996464787898,0.07697074968191979,0.0126607520347666,0.010723543496288387
mmfm_v2,task3,5T_to_7T,3,0.699179784329924,0.8560808547858648,0.17099500407880405,0.42312987287893816,0.003409888717469963,0.012839202221527202
mmfm_v2,task3,7T_to_0.1T,3,0.2615642051112646,0.8665504182115084,0.15881850603805395,0.018356248298471167,0.008620105737072024,0.008397547823956077
mmfm_v2,task3,7T_to_1.5T,3,0.34572235960417,0.849121130322153,0.15699639376676688,0.0077576009867589175,0.010820242446148244,0.011323247461457794
mmfm_v2,task3,7T_to_3T,3,0.4248321605489498,0.8132887411995192,0.16923144022289413,0.058733112432741555,0.011590172135671553,0.0161679847186558
mmfm_v2,task3,7T_to_5T,3,0.437394503418081,0.8764629746772042,0.16613129023632045,0.0661379939743528,0.011520292810303688,0.022688512714792608
