method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.22251478628364865,0.8755754891219288,0.15477295357820184,0.050386478854128176,0.012163700375777678,0.01461621776472969
mmfm_v2,task3,0.1T_to_3T,3,0.35354721317205584,0.8416867764856474,0.1674221573312282,0.039944653925228585,0.019944106753321728,0.019870253203489
mmfm_v2,task3,0.1T_to_5T,3,0.24263187864422864,0.8631559409274603,0.15697602457583607,0.03384197238341726,0.013039371391172358,0.01788899521007044
mmfm_v2,task3,0.1T_to_7T,3,0.45974833171675816,0.8930719784611373,0.15651980539944713,0.10164916257063313,0.013782755679882297,0.02136045907538464
mmfm_v2,task3,1.5T_to_0.1T,3,0.30965727121085806,0.8828650431044732,0.1282472965288771,0.11998467732664907,0.026246385143637356,0.025838423424871148
mmfm_v2,task3,1.5T_to_3T,3,0.3237385203855521,0.8425141791061325,0.16160660131788393,0.019292420839321697,0.01489627422314591,0.015720346926797597
mmfm_v2,task3,1.5T_to_5T,3,0.20725256777540904,0.867066738950625,0.14906663393907313,0.01609616190220134,0.007153522670761465,0.012535173403441296
mmfm_v2,task3,1.5T_to_7T,3,0.4085181454618286,0.8972624131372374,0.1425909603022264,0.0674671723040296,0.010866203925732953,0.014541159057930565
mmfm_v2,task3,3T_to_0.1T,3,0.42328621851215,0.8852027537285133,0.13580087811648572,0.14772529300465237,0.02816912342973244,0.026850303517768022
mmfm_v2,task3,3T_to_1.5T,3,0.2732291205020471,0.8795928593322055,0.15465290713956395,0.14081852207274956,0.011401740930606828,0.014072083813757344
mmfm_v2,task3,3T_to_5T,3,0.19298545862510666,0.8762695706918283,0.14577269971885068,0.042291552639006746,0.007558253995685096,0.012698311000519831
mmfm_v2,task3,3T_to_7T,3,0.5924722664705788,0.8943351588840359,0.13887414816440644,0.18986692329475774,0.009795867689289976,0.0118495024257011
mmfm_v2,task3,5T_to_0.1T,3,0.3673305663198492,0.8759796202849187,0.14033286498655692,0.09952770844456577,0.021001752255036636,0.016402638734619824
mmfm_v2,task3,5T_to_1.5T,3,0.22897106280841642,0.875227017779804,0.15382525325567722,0.07110010993466906,0.010247562242530503,0.007933438038571255
mmfm_v2,task3,5T_to_3T,3,0.3142935397053536,0.8457847862033533,0.16129131494903373,0.013651952440107343,0.01597737668939309,0.016305269844119733
mmfm_v2,task3,5T_to_7T,3,0.4093345814854177,0.9033302538908891,0.1407595851425281,0.1314914815516733,0.01106895978147457,0.014299849457682815
mmfm_v2,task3,7T_to_0.1T,3,0.6427821580929683,0.8505251082302628,0.18090054019262172,0.16220079880698376,0.02411988827198708,0.02218659291915324
mmfm_v2,task3,7T_to_1.5T,3,0.41384646764327887,0.8550687254958107,0.18517862314862507,0.15776851224221078,0.005559211808088463,0.007912535326721712
mmfm_v2,task3,7T_to_3T,3,0.265142188838826,0.8437646890240992,0.17012966666268284,0.017934731071278992,0.011620161404837733,0.01051202212753858
mmfm_v2,task3,7T_to_5T,3,0.23385360857074575,0.8652843456635798,0.15531344359130042,0.01585630320407413,0.007022258933323558,0.010472936692873119
