method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.2300548610051635,0.9253644705642144,0.10620193745122748,0.034956295490919484,0.003922909438312387,0.01095689100667014
mmfm_v2,task3,0.1T_to_3T,3,0.22235349175435856,0.8962173458615839,0.13395040823992213,0.07701712979132984,0.0071916713935509646,0.00917012739238541
mmfm_v2,task3,0.1T_to_5T,3,0.947725493224682,0.8849403256455237,0.14487756866335333,0.12348306815401262,0.014667632803728561,0.013129892067048376
mmfm_v2,task3,0.1T_to_7T,3,1.0457389044189107,0.870989113040917,0.13983093857773,0.6391253957018528,0.014236869390529254,0.0037320473774437434
mmfm_v2,task3,1.5T_to_0.1T,3,0.2356019707141351,0.9116161414133956,0.08729861010325078,0.05842682636652497,0.006399059724869026,0.003597601820496073
mmfm_v2,task3,1.5T_to_3T,3,0.22590887456614436,0.8913460982322204,0.09968577270345184,0.01677370155678697,0.005017448349819471,0.004166945685409839
mmfm_v2,task3,1.5T_to_5T,3,0.8151342466829964,0.889646344637474,0.10791929476955975,0.08848895601872642,0.009953132788817617,0.009621918242272438
mmfm_v2,task3,1.5T_to_7T,3,1.000813782789027,0.8673073345853101,0.12064143468600563,0.6789561632551052,0.021017007080481768,0.01200567210864906
mmfm_v2,task3,3T_to_0.1T,3,0.3220144607199394,0.9060403730825412,0.09090381217277003,0.15150469062381863,0.014233974619508698,0.012235668967726132
mmfm_v2,task3,3T_to_1.5T,3,0.2381069640660043,0.9304273435596621,0.06134780905610677,0.07846499846004704,0.002022749031810181,0.006844209226170109
mmfm_v2,task3,3T_to_5T,3,0.9656424928303308,0.8867026102728507,0.09086507372384683,0.1368482150563534,0.0074414901690833925,0.006183104860550802
mmfm_v2,task3,3T_to_7T,3,1.1649206501459954,0.8730870160140114,0.1022272243784313,0.9003878726294929,0.032042660061584495,0.01538395161028176
mmfm_v2,task3,5T_to_0.1T,3,0.28528187559519486,0.9043827813728237,0.10293007922101259,0.04069136050206999,0.009425931089269169,0.01501954206659536
mmfm_v2,task3,5T_to_1.5T,3,0.3289902321184515,0.9134125314352514,0.0679185957340716,0.03258583640776064,0.01071290842457293,0.00689221943851071
mmfm_v2,task3,5T_to_3T,3,0.40178911598752437,0.8845349751647054,0.07099243903520407,0.060733830946743256,0.009465322707899359,0.005878858957304246
mmfm_v2,task3,5T_to_7T,3,0.5600333776216817,0.9035087129922714,0.07342482364758444,0.29233896240486934,0.004386054045758652,0.00568679760648005
mmfm_v2,task3,7T_to_0.1T,3,0.4241058761886179,0.867554201013616,0.11439163970842518,0.11181729933597201,0.008777370453574648,0.0035752787203571813
mmfm_v2,task3,7T_to_1.5T,3,0.46149240422972276,0.871382434686918,0.10772055102294277,0.13895684361731472,0.024345322081306655,0.010387353652389847
mmfm_v2,task3,7T_to_3T,3,0.47843636702517944,0.8571161598601424,0.10917467921924336,0.1668996768211661,0.03448884696966471,0.0025285836382745027
mmfm_v2,task3,7T_to_5T,3,0.5599961471543765,0.8954376600401952,0.09816972568240767,0.0954666470475043,0.0059945682981190785,0.011868304670085499
